From    To
O09053  Wrn
O35082  Kl
O60566  BUB1B
O70325  Gpx4
P02340  Tp53
P05017  Igf1
P09925  Surf1
P15208  Insr
P16882  Ghr
P19070  Cr2
P22518  Clk1
P28033  Cebpb
P29754  Agtr1a
P32082  Ghrhr
P34884  Mif
P35569  Irs1
P35700  Prdx1
P37238  Pparg
P48678  Lmna
P70279  Surf6
P70406  Ucp2
P81122  Irs2
P84309  Adcy5
P97458  Prop1
P97478  Coq7
P98083  Shc1
Q00286  Pou1f1
Q60751  Igf1r
Q62388  Atm
Q6P902  Txndc2
Q8BSK8  Rps6kb1
Q8R3F5  Mcat
Q8R4K8  Pappa
Q9D6Y7  Msra
Q9D820  Prorsd1
Q9Z1S0  Bub1b
Q9Z2V4  Pck1
Q9Z321  Top3b
