lifespan,organism,uniprot_id,protein_name,Gene/intervention,Type,Strain,alpha,ln(R0),r2,MRDT(yr),IMR,delta age changes,PMID
extened,Mus musculus (Mouse),P28033,,C/EBP,WT,C57BL/6J,2.53,-5.7,0.86,0.27,0.52,,PMC1448866
extened,Mus musculus (Mouse),P28033,,C/EBP,beta/beta,C57BL/6J,1.54,-5,0.84,0.45,0.38,NR,PMC1448866
extened,Mus musculus (Mouse),P28033,,C/EBP,Lep ob/ob,C57BL/6J,3.26,-5.7,0.94,0.21,0.19,NR,PMC1448866
extened,Mus musculus (Mouse),P19070,,CR,AL,Fisher344,4.13,-8.61,0.84,0.17,0.031,,PMC1448866
extened,Mus musculus (Mouse),P19070,,CR,CR,(Male rats),1.85,-6.68,0.97,0.37,0.034,Delayed,PMC1448866
extened,Mus musculus (Mouse),unknown,,FO,AL,NZB,9.1,-6.26,0.92,0.08,0.73,,PMC1448866
extened,Mus musculus (Mouse),unknown,,FO,FO,#NAME?,4.92,-5.34,0.79,0.14,0.56,NR,PMC1448866
extened,Mus musculus (Mouse),P16882,,GHR,WT,Ola-BALB/cJ,1.94,-4.34,0.81,0.36,0.52,,PMC1448866
extened,Mus musculus (Mouse),P16882,,GHR,KO,(Males),1.51,-4.18,0.77,0.46,0.59,Delayed,PMC1448866
extened,Mus musculus (Mouse),P32082,,GHRHR,WT,C57BL/6J,2.38,-6.56,0.91,0.29,0.19,,PMC1448866
extened,Mus musculus (Mouse),P32082,,GHRHR,KO,C57BL/6J,2.5,-7.31,0.84,0.28,0.15,NR,PMC1448866
extened,Mus musculus (Mouse),Q60751,,IGF1R,WT,129/J,1.79,-2.8,0.97,0.39,0.3,,PMC1448866
extened,Mus musculus (Mouse),Q60751,,IGF1R,KO,(Females),2.2,-4.26,0.97,0.32,0.06,NR,PMC1448866
extened,Mus musculus (Mouse),P15208,,INSR,WT,C57BL/6,1.95,-4.97,0.83,0.36,0.078,,PMC1448866
extened,Mus musculus (Mouse),P15208,,INSR,KO,129/Sv,2.43,-6.61,0.81,0.29,0.035,NR,PMC1448866
extened,Mus musculus (Mouse),unknown,,p66,WT,129/Sv,6.22,-13.37,0.92,0.11,1.7,,PMC1448866
extened,Mus musculus (Mouse),unknown,,p66,KO,129/Sv,2.81,-7.05,0.77,0.25,0.29,NR,PMC1448866
extened,Mus musculus (Mouse),Q00286,,PIT1,WT,C3H/HeJ,3.05,-7.63,0.9,0.23,0.02,,PMC1448866
extened,Mus musculus (Mouse),Q00286,,PIT1,KO,DW/J,2.28,-8.35,0.92,0.3,0.0035,Delayed,PMC1448866
extened,Mus musculus (Mouse),P97458,,PROP1,WT,Ames stock,0.92,-2.06,0.45,0.75,1.29,,PMC1448866
extened,Mus musculus (Mouse),P97458,,PROP1,KO,(Females),1.98,-6.86,0.76,0.35,0.74,Unclear,PMC1448866
extened,Mus musculus (Mouse),Q6P902,,TRX,WT,C57BL,1.71,-3.27,0.64,0.41,1.13,,PMC1448866
