To,lifespan
Cebpb,extened
Cr2,extened
Ghr,extened
Ghrhr,extened
Igf1r,extened
Insr,extened
Pou1f1,extened
Prop1,extened
Txndc2,extened
Atm,reduced
Bub1b,reduced
Kl,reduced
Lmna,reduced
Msra,reduced
Prorsd1,reduced
Top3b,reduced
Wrn,reduced
Clk1,extened
Igf1,extened
Shc1,extened
Pappa,extened
Irs1,extened
Surf6,extened
Pck1,extened
Ucp2,extened
Rps6kb1,extened
Agtr1a,extened
Irs2,extened
Mif,extened
Mcat,extened
Gpx4,extened
BUB1B,reduced
Prdx1,reduced
Adcy5,extened
Coq7,extened
Pparg,extened
Surf1,extened
