TR:mock:CellLine,TR:DNAdamage,TR:MTORi,TR:AMPK,TR:IGF1,TR:DNAdamagex,DA:PTEN,DA:CDKN1A,DA:NFKB1,DA:MTOR,DA:EIF4EBP1,DA:IRS1,DA:E2F1,DA:IKBKB,DA:BCL2,DA:AKT1,DA:BAX,DA:MAPK14,DA:MDM2,DA:TP53,DA:HDAC1,DA:TSC2,DA:RB1,DA:ABL1,DA:CASP9,DA:CASP3,DA:IGF1R,DA:BCL2L11,DA:NFKBIE,DA:FOXO3,DV:PTEN,DV:CDKN1A,DV:NFKB1,DV:MTOR,DV:EIF4EBP1,DV:IRS1,DV:E2F1,DV:IKBKB,DV:BCL2,DV:AKT1,DV:BAX,DV:MAPK14,DV:MDM2,DV:TP53,DV:HDAC1,DV:TSC2,DV:RB1,DV:ABL1,DV:CASP9,DV:CASP3,DV:IGF1R,DV:BCL2L11,DV:NFKBIE,DV:FOXO3
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764.5,617.0,1278.5,831.5,925.0,1144.5,1367.0,894.0,1253.5,532.0,467.5,636.0,29888.0,1470.5,2390.5,689.0,2445.0,985.0,1344.0,564.5,707.5,918.5,1664.0,2427.0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764.5,617.0,1278.5,831.5,925.0,1144.5,1367.0,894.0,1253.5,532.0,467.5,636.0,29888.0,1470.5,2390.5,689.0,2445.0,985.0,1344.0,564.5,707.5,918.5,1664.0,2427.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764.5,617.0,1278.5,831.5,925.0,1144.5,1367.0,894.0,1253.5,532.0,467.5,636.0,29888.0,1470.5,2390.5,689.0,2445.0,985.0,1344.0,564.5,707.5,918.5,1664.0,2427.0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764.5,617.0,1278.5,831.5,925.0,1144.5,1367.0,894.0,1253.5,532.0,467.5,636.0,29888.0,1470.5,2390.5,689.0,2445.0,985.0,1344.0,564.5,707.5,918.5,1664.0,2427.0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764.5,617.0,1278.5,831.5,925.0,1144.5,1367.0,894.0,1253.5,532.0,467.5,636.0,29888.0,1470.5,2390.5,689.0,2445.0,985.0,1344.0,564.5,707.5,918.5,1664.0,2427.0
1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1869.5,713.5,1120.0,788.0,1000.5,1273.5,1475.5,1088.0,1639.0,620.5,548.5,711.5,42204.5,1522.0,1594.0,657.5,2762.5,1048.0,1564.5,622.5,751.0,788.5,1756.5,2829.5
1,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2212.5,1180.0,1656.5,1264.5,1524.0,1978.0,1901.5,1752.5,2405.5,1027.0,893.5,1069.0,42276.5,1846.5,3107.5,1193.0,2882.5,1746.5,2141.5,958.5,1310.5,1353.0,2560.5,3178.5
1,1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1798.5,924.0,1378.0,824.0,1152.0,1202.5,1899.5,1373.0,1937.0,768.5,606.5,821.0,40407.0,1735.0,1890.0,899.5,2450.5,901.0,1726.0,770.5,973.5,1011.5,1934.0,2234.0
1,1,0,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2943.0,1091.5,1449.5,1246.5,1362.5,1513.5,1866.0,1375.5,1736.5,868.5,786.0,978.5,34195.5,1600.0,2441.5,1099.0,1974.0,1321.5,1426.0,806.5,995.0,1195.0,1902.5,3359.0
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1596.5,568.0,1063.5,935.0,734.5,1396.5,1104.0,1019.0,1241.0,633.0,398.0,639.5,24798.0,1156.5,2571.0,592.0,1261.5,804.5,2441.5,497.5,700.0,732.0,1424.5,2392.5
