Source,Regulation Type,Target
AMPK,1,FOXO3
AMPK,-1,MTOR
AMPK,1,NAD+
AMPK,1,PPARGC1A
AMPK,1,TSC2
AMPK,1,TP53
AMPK,-1,ULK1
AKT1,-1,BCL2L11
AKT1,-1,FOXO3
AKT1,-1,TSC2
AKT1,1,BCL2
AKT1,-1,PTEN
AKT1,1,MTOR
AKT1,-1,CASP9
AKT1,1,IKBKB
AKT1,-1,BAX
AKT1,1,MDM2
AKT1,-1,CDKN1A
BCL2L11,1,BAX
FOXO3,1,BCL2L11
FOXO3,1,SOD2
FOXO3,1,SIRT1
FOXO3,1,CDKN1A
FOXO3,1,ATM/ATR
FOXO3,1,ATG5
TSC2,-1,RHEB
BCL2,-1,BAX
PTEN,-1,PDK1
MTOR,1,PPARGC1A
MTOR,1,S6K1
MTOR,-1,EIF4EBP1
MTOR,-1,ATG13
MTOR,-1,ULK1
NAD+,1,SIRT1
PPARGC1A,-1,AKT1
CDKN2A,-1,CDK4
CDKN2A,-1,MDM2
CDK4,-1,RB1
RB1,-1,E2F1
MAP2K3/MAP2K6,1,MAPK14
SOD2,-1,ROS
SIRT1,1,FOXO3
SIRT1,1,PPARGC1A
SIRT1,1,TSC2
SIRT1,-1,NFKB1
SIRT1,-1,TP53
IGF1,1,IGF1R
IGF1R,1,IRS1
IRS1,1,PIK3CA
PIK3CA,1,PDK1
MAPK14,1,CDKN2A
MAPK14,1,FOXO3
MAPK14,1,TP53
PDK1,1,AKT1
PDK1,1,SGK1
PDK1,1,IKBKB
E2F1,1,HDAC1
E2F1,1,PPARGC1A
RHEB,1,MTOR
ROS,1,MAP2K3/MAP2K6
HDAC1,-1,SIRT1
ABL1,1,CASP9
ABL1,-1,MTOR
ABL1,-1,MDM2
CASP9,1,CASP3
IKBKB,-1,NFKBIE
IKBKB,-1,IRS1
IKBKB,-1,PTEN
NFKBIE,-1,IKBKB
NFKBIE,-1,NFKB1
NFKB1,1,BCL2
NFKB1,1,TNF
NFKB1,1,IL6
NFKB1,1,IL1B
ATM/ATR,1,TP53
ATM/ATR,1,ABL1
ATM/ATR,1,E2F1
TP53,1,CDKN1A
TP53,1,MDM2
TP53,1,BAX
TP53,1,AMPK
TP53,-1,BCL2
TP53,-1,IGF1
TP53,1,HDAC1
CDKN1A,-1,CDK4
MDM2,-1,TP53
MDM2,-1,FOXO3
MDM2,-1,RB1
BAX,1,CASP3
ULK1,1,ATG13
ULK1,1,ATG5
DNAdamage,1,ROS
DNAdamage,1,ATM/ATR
SGK1,-1,FOXO3
DNAdamagex,1,ROS
DNAdamagex,1,ATM/ATR
DNAdamagex,1,BAX
