,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
c-Jun (Phospho-Ser63),944.5,1113,1863,1618.5,1485,849,1195,914.5,901.5,875.5,1131.5,2069,1585,1373.5,1888.5,1450,912,1090,1481,1384,1370,877
GSK3 beta (Phospho-Ser9),989,743.5,1331.5,1033,1290.5,642.5,997.5,642,574.5,1773,1097.5,2089.5,1398.5,1213.5,1679.5,1252,842,1001.5,1252.5,1100,1009,614
c-Jun (Phospho-Ser73),1531.5,1771,1660,2146,2120,1489,1858,654.5,1027.5,1551.5,1698.5,2626,2060,1551.5,2115,1389,1232,1700.5,1989,1939,1979.5,1464.5
Elk1 (Phospho-Ser383),796,1915.5,4072,2081,1901,1370.5,1904,1485,1206.5,1388,1353,2008.5,1491.5,2707,1976.5,3139,1737.5,1502,2509,2296.5,1934.5,1301
PDK1 (Phospho-Ser241),1971.5,2320.5,1284,1016.5,2760.5,771.5,2535,2193,942.5,795,974,2946,2167,1255,1439,1162.5,809.5,842,1136.5,3399,1130.5,2096
Raf1 (Phospho-Ser259),1073,961.5,1078,809.5,1323,812.5,1181,853.5,939,871,1236,1512,823.5,1138,1151.5,1071.5,762,917.5,1186.5,1460.5,1423.5,920.5
GSK3 alpha (Phospho-Ser21),720,1090,1662.5,1133,2741.5,710.5,1200,797,760.5,924.5,1166.5,1435,1030.5,972.5,1440.5,1191,837.5,649,1181.5,1120.5,901.5,711.5
MEK2 (Phospho-Thr394),608.5,1080,1047,933,1441,655.5,872.5,784,796.5,587,1112.5,861,713.5,986,1087,1255.5,673,731.5,1003,1031,946.5,800
PTEN (Phospho-Ser380),1174,1273.5,1750.5,1395.5,1507,983,1176,957,1041,909.5,1213,1962,1508,1522.5,1968,1561.5,1088.5,1333.5,1422.5,1396.5,3769.5,973.5
NFkB-p65 (Phospho-Thr254),885,1055.5,1526,892.5,1339,872.5,1096,825.5,903,875.5,1167.5,1687.5,1306.5,1227,1348,1124,781,909.5,1293.5,1146,1283,830
NFkB-p65 (Phospho-Ser276),986.5,998,1859,1365,1431.5,894.5,1330.5,965.5,1017,944,1152.5,1665,1305.5,1540,1688,1175.5,922,977,1387.5,1417.5,1392.5,831
NFkB-p65 (Phospho-Thr435),763,826,1530,948.5,1257.5,708,1136.5,796,707.5,699,934.5,989,952,1269,1159,1005.5,682,630,1244.5,1181.5,1190.5,787
NFkB-p65 (Phospho-Ser468),3367.5,3931.5,5589,2791,2275.5,2907.5,2762,1909,2265,2114,2720,2022.5,2976.5,2409.5,1637.5,2752.5,980,3887,2407,1988,1165.5,2168
NFkB-p65 (Phospho-Ser536),1139.5,1434,1874.5,1614.5,1325.5,961,1224,866,981,760.5,1115.5,2018,1570.5,1291.5,1445,1132.5,1507,978.5,1636,1282,1485,1030.5
