,Senescence,Quiescence,Proliferation
AKT1,1.0,0.0,1.0
AMPK,0.3568,0.9738,0.2268
ATM/ATR,0.8202,0.8914,0.3998
CDK2/4/6,0.0834,0.0529,0.6058
CDKN1A,0.5992,0.897,0.2136
CDKN2A,1.0,0.9966,0.0
DNAdamage,1.0,1.0,0.0
E2F1,0.0,0.0,1.0
EIF4EBP1,0.0,1.0,0.0
FOXO3,0.3528,0.8016,0.0678
IGF1,1.0,0.0,1.0
IGF1R,1.0,0.0,1.0
IKBKB,1.0,0.0,0.0
IL1B,1.0,0.0,0.0
IL6,1.0,0.0,0.0
INSR,0.7146,0.0778,0.7146
IRS1,1.0,0.0,1.0
KRAS,0.8896,0.3536,0.8896
MAP2K3/MAP2K6,1.0,0.9966,0.0
MAPK1,0.9122,0.6006,0.7372
MAPK14,1.0,0.9966,0.0
MDM2,0.0,0.0,1.0
MTOR,1.0,0.0,1.0
NAD+,0.5572,0.744,0.5264
NFKB1,1.0,0.0,0.0
NFKBIE,0.0,1.0,1.0
PDK1,1.0,0.0,1.0
PIK3CA,0.9998,0.0056,0.9998
PPARGC1A,0.8854,0.8604,0.873
PTEN,0.334,0.718,0.2722
RB1,1.0,1.0,0.0
RHEB,0.3578,0.2178,0.3676
ROS,0.62,0.5928,0.2338
S6K1,1.0,0.0,1.0
SGK1,0.7614,0.4976,0.7614
SIRT1,0.577,0.6424,0.5744
SOD2,0.6068,0.7166,0.5438
TP53,1.0,1.0,0.0
TSC2,0.4622,0.8738,0.4284
ULK1,0.0,1.0,0.0
lowNutrition,0.0,1.0,0.0
