,input,interaction,output,Senescence,Quiescence,Proliferation
0,AKT1,inhibit,CDKN1A,-8.858160149799991,8.858160149799991,-8.858160149799991
1,AKT1,inhibit,FOXO3,-8.727899242200007,8.727899242200007,-8.727899242200007
2,AKT1,activate,IKBKB,7.412393003200012,-7.412393003200012,7.412393003200012
3,AKT1,activate,MDM2,8.9266471286,-8.9266471286,8.9266471286
4,AKT1,activate,MTOR,9.169929387000018,-9.169929387000018,9.169929387000018
5,AKT1,inhibit,PTEN,-8.244079073999995,8.244079073999995,-8.244079073999995
6,AKT1,inhibit,TSC2,-8.62246117579998,8.62246117579998,-8.62246117579998
7,AMPK,activate,FOXO3,-2.498981647081921,8.268278661923285,-4.767610237309922
8,AMPK,inhibit,MTOR,2.9348352833600013,-9.710369813240005,5.599141057360003
9,AMPK,activate,NAD+,-2.5086201855033603,8.300169300918242,-4.785998845527361
10,AMPK,activate,PPARGC1A,-2.4987984187868704,8.267672421935888,-4.767260670478862
11,AMPK,activate,TP53,-2.4732362433084707,8.18309589441029,-4.718492609440462
12,AMPK,activate,TSC2,-2.4884421961043244,8.233407210294896,-4.747502848992329
13,AMPK,activate,ULK1,-2.7954839726131255,9.249303814414098,-5.333283668421131
14,ATM/ATR,activate,TP53,5.699782352515538,6.967191795048661,-1.7836295806435258
15,CDK2/4/6,inhibit,RB1,7.686444421754735,8.249182191470338,-1.952054296259364
16,CDKN1A,inhibit,CDK2/4/6,-1.7329006204364812,-6.935096232996808,5.003051791260166
17,CDKN2A,inhibit,CDK2/4/6,-9.040359576399991,-8.978885131280473,9.040359576399991
18,CDKN2A,inhibit,MDM2,-12.604270546799992,-12.518561507081753,12.604270546799992
19,DNAdamage,activate,ATM/ATR,8.790273463200014,8.790273463200014,-8.790273463200014
20,DNAdamage,activate,MAP2K3/MAP2K6,10.142903397800005,10.142903397800005,-10.142903397800005
21,DNAdamage,activate,ROS,9.087676413000015,9.087676413000015,-9.087676413000015
22,FOXO3,activate,ATM/ATR,-2.5505581081497577,5.225871775937275,-7.488799010477754
23,FOXO3,activate,CDKN1A,-2.5695714111795067,5.264828380514532,-7.544624754835482
24,FOXO3,activate,SOD2,-2.5735830909337616,5.273047963489283,-7.556403613461765
25,IGF1,activate,IGF1R,11.35548687719998,-11.35548687719998,11.35548687719998
26,IGF1R,activate,IRS1,10.864363358599968,-10.864363358599968,10.864363358599968
27,IGF1R,activate,KRAS,9.02182761200002,-9.02182761200002,9.02182761200002
28,IKBKB,inhibit,IRS1,-6.499863002200006,6.499863002200006,6.499863002200006
29,IKBKB,inhibit,NFKBIE,-11.091286897800023,11.091286897800023,11.091286897800023
30,IKBKB,inhibit,PTEN,-8.497353422199984,8.497353422199984,8.497353422199984
31,INSR,activate,IRS1,4.186011038955361,-8.235479313359523,4.186011038955361
32,INSR,activate,KRAS,3.7423399706336924,-7.3626092059717845,3.7423399706336924
33,IRS1,activate,PIK3CA,9.575458272399988,-9.575458272399988,9.575458272399988
34,KRAS,activate,MAPK1,6.725098337495668,-2.5270903403731153,6.725098337495668
35,KRAS,activate,PIK3CA,6.6847698629763475,-2.51193610867489,6.6847698629763475
36,lowNutrition,activate,AMPK,-9.889679833999985,9.889679833999985,-9.889679833999985
37,lowNutrition,inhibit,INSR,9.970216503400028,-9.970216503400028,9.970216503400028
38,MAP2K3/MAP2K6,activate,MAPK14,10.943590566199996,10.869174150349837,-10.943590566199996
39,MAPK1,inhibit,FOXO3,-7.158621489027119,-1.74710655457576,-4.119420226097119
40,MAPK14,activate,CDKN2A,11.038705707000014,10.963642508192414,-11.038705707000014
41,MAPK14,activate,FOXO3,8.804164080999996,8.744295765249197,-8.804164080999996
42,MAPK14,activate,TP53,9.548533294199975,9.483603267799417,-9.548533294199975
43,MDM2,inhibit,FOXO3,8.776130863200008,8.776130863200008,-8.776130863200008
44,MDM2,inhibit,RB1,9.605401976600017,9.605401976600017,-9.605401976600017
45,MDM2,inhibit,TP53,9.244760582200028,9.244760582200028,-9.244760582200028
46,MTOR,inhibit,EIF4EBP1,-9.940882396800006,9.940882396800006,-9.940882396800006
47,MTOR,activate,PPARGC1A,8.591734639799975,-8.591734639799975,8.591734639799975
48,MTOR,activate,S6K1,9.650598325599997,-9.650598325599997,9.650598325599997
49,MTOR,inhibit,ULK1,-9.717215635599995,9.717215635599995,-9.717215635599995
50,NAD+,activate,SIRT1,0.9919164426142386,4.231251958004792,0.4578075888988788
51,NFKB1,activate,IL1B,11.46127048079999,-11.46127048079999,-11.46127048079999
52,NFKB1,activate,IL6,11.357475578600006,-11.357475578600006,-11.357475578600006
53,NFKB1,activate,MAPK1,8.597407246000012,-8.597407246000012,-8.597407246000012
