,PDK1 Inhibition
AKT1,0.0
AMPK,0.7430237401082882
ATM/ATR,0.8763015410245731
CDK2/4/6,0.04789670970428988
CDKN1A,0.8842149104539775
CDKN2A,0.9979175343606831
DNAdamage,1.0
E2F1,0.0
EIF4EBP1,1.0
FOXO3,0.7234485630987089
IGF1,1.0
IGF1R,1.0
IKBKB,0.0
IL1B,0.0
IL6,0.0
INSR,0.7280299875052062
IRS1,1.0
KRAS,0.8983756768013328
MAP2K3/MAP2K6,0.9979175343606831
MAPK1,0.7409412744689713
MAPK14,0.9979175343606831
MDM2,0.0
MTOR,0.0
NAD+,0.6713869221157851
NFKB1,0.0
NFKBIE,1.0
PDK1,0.0
PIK3CA,0.9995835068721366
PPARGC1A,0.806747188671387
PTEN,0.7109537692628072
RB1,1.0
RHEB,0.22407330279050397
ROS,0.5939192003331945
S6K1,0.0
SGK1,0.49271137026239065
SIRT1,0.6184922948771345
SOD2,0.7030403998334027
TP53,1.0
TSC2,0.8304872969596002
ULK1,1.0
lowNutrition,0.0
