,input,interaction,output,PDK1 Inhibition
0,AKT1,inhibit,CDKN1A,8.887379508954602
1,AKT1,inhibit,FOXO3,8.677198870470619
2,AKT1,activate,IKBKB,-7.411160476884632
3,AKT1,activate,MDM2,-9.062668799250307
4,AKT1,activate,MTOR,-10.239256262390677
5,AKT1,inhibit,PTEN,8.191512897959198
6,AKT1,inhibit,TSC2,8.627773336526461
7,AMPK,activate,FOXO3,4.228209924273367
8,AMPK,inhibit,MTOR,-4.494215334429759
9,AMPK,activate,NAD+,4.21276815007648
10,AMPK,activate,PPARGC1A,4.2063694426950775
11,AMPK,activate,TP53,4.033958318558093
12,AMPK,activate,TSC2,4.186647977113688
13,AMPK,activate,ULK1,4.293766810796929
14,ATM/ATR,activate,TP53,6.685988068039119
15,CDK2/4/6,inhibit,RB1,8.31843758378147
16,CDKN1A,inhibit,CDK2/4/6,-6.797363164840373
17,CDKN2A,inhibit,CDK2/4/6,-9.040181185789589
18,CDKN2A,inhibit,MDM2,-12.505050657799128
19,DNAdamage,activate,ATM/ATR,8.795817522282388
20,DNAdamage,activate,MAP2K3/MAP2K6,10.192091348604766
21,DNAdamage,activate,ROS,9.091289939191988
22,FOXO3,activate,ATM/ATR,3.836939886073954
23,FOXO3,activate,CDKN1A,3.870794399929161
24,FOXO3,activate,SOD2,3.8985085964086195
25,IGF1,activate,IGF1R,11.291681275301961
26,IGF1R,activate,IRS1,10.812068789670988
27,IGF1R,activate,KRAS,9.07481913036233
28,IKBKB,inhibit,IRS1,6.388083261141191
29,IKBKB,inhibit,NFKBIE,11.088463329862568
30,IKBKB,inhibit,PTEN,8.377729162432333
31,INSR,activate,IRS1,4.4665894711968415
32,INSR,activate,KRAS,4.062817413198652
33,IRS1,activate,PIK3CA,9.54357821615995
34,KRAS,activate,MAPK1,6.883251121469772
35,KRAS,activate,PIK3CA,6.923767684237315
36,lowNutrition,activate,AMPK,-8.791746945439398
37,lowNutrition,inhibit,INSR,9.934797054560587
38,MAP2K3/MAP2K6,activate,MAPK14,10.851261643387184
39,MAPK1,inhibit,FOXO3,-4.165866793988727
40,MAPK14,activate,CDKN2A,11.03953386188403
41,MAPK14,activate,FOXO3,8.77833068745097
42,MAPK14,activate,TP53,9.60004809802663
43,MDM2,inhibit,FOXO3,8.72236828279884
44,MDM2,inhibit,RB1,9.666615383173678
45,MDM2,inhibit,TP53,9.318338262807183
46,MTOR,inhibit,EIF4EBP1,9.933992745939168
47,MTOR,activate,PPARGC1A,-8.609648552686402
48,MTOR,activate,S6K1,-9.52227852311536
49,MTOR,inhibit,ULK1,10.341987956268197
50,NAD+,activate,SIRT1,2.960463847492571
51,NFKB1,activate,IL1B,-11.510759231570164
52,NFKB1,activate,IL6,-11.378940969179482
53,NFKB1,activate,MAPK1,-8.565960905872553
54,NFKBIE,inhibit,NFKB1,-10.157412483965015
55,PDK1,activate,AKT1,-10.622636762598914
56,PDK1,activate,IKBKB,-8.304523637234471
57,PDK1,activate,SGK1,-8.732907481049548
58,PIK3CA,activate,PDK1,11.347653050504084
59,PTEN,inhibit,PDK1,-3.4590167965296623
60,RB1,inhibit,E2F1,-10.16648539067053
61,RHEB,activate,MTOR,-4.637798620260271
62,ROS,activate,MAP2K3/MAP2K6,1.571910685232673
63,SGK1,inhibit,FOXO3,0.1278364132959667
64,SIRT1,activate,FOXO3,2.0242724543180244
65,SIRT1,inhibit,NFKB1,-1.7932635294007528
66,SIRT1,activate,PPARGC1A,2.0755547646234467
67,SIRT1,inhibit,TP53,-2.0641982727840897
68,SIRT1,activate,TSC2,2.0711342616574293
69,SOD2,inhibit,ROS,-3.5365926652585333
70,TP53,activate,CDKN1A,8.772798837984158
71,TP53,inhibit,IGF1R,-8.109913157434406
72,TP53,activate,MDM2,4.7131619121199515
73,TP53,activate,PTEN,8.885969553102877
74,TSC2,inhibit,RHEB,-5.976053514855924
75,E2F1,inhibit,IKBKB,10.653754425655979
76,TP53,activate,AMPK,8.500481461474378
