,input,interaction,output,Senescence,Quiescence,Proliferation
0,AKT1,inhibit,CDKN1A,-8.887379508954602,8.887379508954602,-8.887379508954602
1,AKT1,inhibit,FOXO3,-8.677198870470619,8.677198870470619,-8.677198870470619
2,AKT1,activate,IKBKB,7.411160476884632,-7.411160476884632,7.411160476884632
3,AKT1,activate,MDM2,9.062668799250307,-9.062668799250307,9.062668799250307
4,AKT1,activate,MTOR,10.239256262390677,-10.239256262390677,10.239256262390677
5,AKT1,inhibit,PTEN,-8.191512897959198,8.191512897959198,-8.191512897959198
6,AKT1,inhibit,TSC2,-8.627773336526461,8.627773336526461,-8.627773336526461
7,AMPK,activate,FOXO3,4.228209924273367,7.749906622125735,-0.48187825186663036
8,AMPK,inhibit,MTOR,-4.494215334429759,-8.237469237656603,0.5121942069230144
9,AMPK,activate,NAD+,4.21276815007648,7.721603318777713,-0.48011839242516846
10,AMPK,activate,PPARGC1A,4.2063694426950775,7.709875096765016,-0.479389148139199
11,AMPK,activate,TP53,4.033958318558093,7.393861905223447,-0.4597398940601767
12,AMPK,activate,TSC2,4.186647977113688,7.673727526174963,-0.47714154323575014
13,AMPK,activate,ULK1,4.293766810796929,7.870066159635504,-0.4893496022587759
14,ATM/ATR,activate,TP53,5.9533784180824245,6.8931907973198,-1.7871235400458743
15,CDK2/4/6,inhibit,RB1,7.751358467061222,8.34142727770256,-1.7203954284283196
16,CDKN1A,inhibit,CDK2/4/6,-1.941577446000476,-6.996310379421068,4.918417249356043
17,CDKN2A,inhibit,CDK2/4/6,-9.077990391920034,-9.021276582724365,9.077990391920034
18,CDKN2A,inhibit,MDM2,-12.557351162432331,-12.478900405482525,12.557351162432331
19,DNAdamage,activate,ATM/ATR,8.795817522282388,8.795817522282388,-8.795817522282388
20,DNAdamage,activate,MAP2K3/MAP2K6,10.192091348604766,10.192091348604766,-10.192091348604766
21,DNAdamage,activate,ROS,9.091289939191988,9.091289939191988,-9.091289939191988
22,FOXO3,activate,ATM/ATR,-1.2122298428509508,5.084928721339387,-7.012338412479985
23,FOXO3,activate,CDKN1A,-1.2229257237427638,5.129794628797081,-7.07421045504295
24,FOXO3,activate,SOD2,-1.2316816534785853,5.166523042025216,-7.124860538264029
25,IGF1,activate,IGF1R,11.291681275301961,-11.291681275301961,11.291681275301961
26,IGF1R,activate,IRS1,10.812068789670988,-10.812068789670988,10.812068789670988
27,IGF1R,activate,KRAS,9.07481913036233,-9.07481913036233,9.07481913036233
28,IKBKB,inhibit,IRS1,-6.388083261141191,6.388083261141191,6.388083261141191
29,IKBKB,inhibit,NFKBIE,-11.088463329862568,11.088463329862568,11.088463329862568
30,IKBKB,inhibit,PTEN,-8.377729162432333,8.377729162432333,8.377729162432333
31,INSR,activate,IRS1,4.4665894711968415,-8.358029065280663,4.4665894711968415
32,INSR,activate,KRAS,4.062817413198652,-7.602477515656655,4.062817413198652
33,IRS1,activate,PIK3CA,9.54357821615995,-9.54357821615995,9.54357821615995
34,KRAS,activate,MAPK1,6.883251121469772,-2.6086550251257625,6.883251121469772
35,KRAS,activate,PIK3CA,6.923767684237315,-2.624010230565631,6.923767684237315
36,lowNutrition,activate,AMPK,-8.791746945439398,8.791746945439398,-8.791746945439398
37,lowNutrition,inhibit,INSR,9.934797054560587,-9.934797054560587,9.934797054560587
38,MAP2K3/MAP2K6,activate,MAPK14,10.896645422740539,10.828569753710507,-10.896645422740539
39,MAPK1,inhibit,FOXO3,-7.147143981043753,-1.8686991063786937,-4.165866793988727
40,MAPK14,activate,CDKN2A,11.085705061640967,11.016448262005559,-11.085705061640967
41,MAPK14,activate,FOXO3,8.815044743023746,8.759973659664581,-8.815044743023746
42,MAPK14,activate,TP53,9.640198863806749,9.579972715136568,-9.640198863806749
43,MDM2,inhibit,FOXO3,8.72236828279884,8.72236828279884,-8.72236828279884
44,MDM2,inhibit,RB1,9.666615383173678,9.666615383173678,-9.666615383173678
45,MDM2,inhibit,TP53,9.318338262807183,9.318338262807183,-9.318338262807183
46,MTOR,inhibit,EIF4EBP1,-9.933992745939168,9.933992745939168,-9.933992745939168
47,MTOR,activate,PPARGC1A,8.609648552686402,-8.609648552686402,8.609648552686402
48,MTOR,activate,S6K1,9.52227852311536,-9.52227852311536,9.52227852311536
49,MTOR,inhibit,ULK1,-10.341987956268197,10.341987956268197,-10.341987956268197
50,NAD+,activate,SIRT1,2.960463847492571,3.9676690446953895,1.8525381305694695
51,NFKB1,activate,IL1B,11.510759231570164,-11.510759231570164,-11.510759231570164
52,NFKB1,activate,IL6,11.378940969179482,-11.378940969179482,-11.378940969179482
53,NFKB1,activate,MAPK1,8.565960905872553,-8.565960905872553,-8.565960905872553
54,NFKBIE,inhibit,NFKB1,10.157412483965015,-10.157412483965015,-10.157412483965015
55,PDK1,activate,AKT1,10.622636762598914,-10.622636762598914,10.622636762598914
56,PDK1,activate,IKBKB,8.304523637234471,-8.304523637234471,8.304523637234471
57,PDK1,activate,SGK1,8.732907481049548,-8.732907481049548,8.732907481049548
58,PIK3CA,activate,PDK1,11.347653050504084,-11.328732411820459,11.347653050504084
59,PTEN,inhibit,PDK1,2.4619458147066995,-3.4590167965296623,3.814137968137841
60,RB1,inhibit,E2F1,-10.16648539067053,-10.16648539067053,10.16648539067053
61,RHEB,activate,MTOR,-2.98569224383548,-4.763806733716399,-2.6426701572049085
62,ROS,activate,MAP2K3/MAP2K6,1.8855957443700149,1.4778051674914714,-4.478725566572031
63,SGK1,inhibit,FOXO3,-4.686117664534993,0.1278364132959667,-4.686117664534993
64,SIRT1,activate,FOXO3,2.0242724543180244,2.408492885014591,1.931774943224407
65,SIRT1,inhibit,NFKB1,-1.7932635294007528,-2.133636923381915,-1.7113217864052885
66,SIRT1,activate,PPARGC1A,2.0755547646234467,2.4695089202988987,1.980713949368246
67,SIRT1,inhibit,TP53,-2.0641982727840897,-2.4559968904654284,-1.969876383342287
68,SIRT1,activate,TSC2,2.0711342616574293,2.4642493763481186,1.9764954377504123
69,SOD2,inhibit,ROS,-2.136464697269002,-3.8739291964062703,-0.7363367292794688
70,TP53,activate,CDKN1A,8.772798837984158,8.772798837984158,-8.772798837984158
71,TP53,inhibit,IGF1R,-8.109913157434406,-8.109913157434406,8.109913157434406
72,TP53,activate,MDM2,4.7131619121199515,4.7131619121199515,-4.7131619121199515
73,TP53,activate,PTEN,8.885969553102877,8.885969553102877,-8.885969553102877
74,TSC2,inhibit,RHEB,-1.2991420684469395,-6.706585576533333,-0.026359404287330104
75,E2F1,inhibit,IKBKB,10.653754425655979,10.653754425655979,-10.653754425655979
76,TP53,activate,AMPK,8.500481461474378,8.500481461474378,-8.500481461474378
