,Quiescent,Senescent,IGF
4E-BP1 (Ab-65),1.3544166666666668,0.9285572916666667,0.7619791666666667
AKT1 (Phospho-Ser473),0.7683333333333333,1.0619947916666665,1.0472083333333333
E2F1 (Phospho-Thr433),0.7458072916666667,0.8004583333333333,0.81775
IGF1R (Phospho-Tyr1165/1166),0.7367968749999999,1.0019010416666667,0.9187708333333333
IkB-alpha (Ab-32/36),0.8521197916666666,1.0604635416666666,1.0395416666666668
IKK-beta (Ab-188),1.4259895833333334,1.047697916666667,1.0736875000000001
IRS-1 (Phospho-Ser636),0.8363645833333333,0.9463020833333333,0.74525
MKK6/MAP2K6 (Phospho-Ser207),1.2137968749999999,0.9926927083333332,1.02925
mTOR (Phospho-Ser2481),0.8579583333333333,0.9820312499999999,1.0264791666666666
p38 MAPK (Phospho-Tyr322),0.8908125000000001,1.0642343749999998,1.07
p53 (Phospho-Ser15),0.8360989583333334,1.0268229166666667,1.0010416666666666
P70S6K (Phospho-Ser411),0.9562656249999999,1.0529010416666666,0.9777500000000001
Rb (Phospho-Thr821),0.6233697916666667,1.0043229166666667,1.0660208333333332
Tuberin/TSC2 (Phospho-Ser939),0.8686145833333333,0.9934166666666666,0.9816250000000001
