,Quiescent,Senescent,IGF
4E-BP1 (Ab-65),1.3544166666666668,0.9285572916666667,0.7619791666666667
AKT1 (Phospho-Ser473),0.9001718750000001,1.2649114583333334,1.0551875000000002
E2F1 (Phospho-Thr433),1.1240625,0.8596875,1.0821458333333331
IGF1R (Phospho-Tyr1165/1166),1.1703593749999999,1.0760520833333334,1.064
IkB-alpha (Ab-32/36),0.9114427083333333,1.0604635416666666,1.0230833333333331
IKK-beta (Ab-188),0.9811562500000001,1.047697916666667,1.0049375
IRS-1 (Phospho-Ser636),1.0048489583333333,0.9463020833333333,1.0563333333333333
MKK6/MAP2K6 (Phospho-Ser207),0.9102604166666667,0.9926927083333332,1.02925
mTOR (Phospho-Ser2481),0.8579583333333333,1.1339010416666666,1.0264791666666666
p38 MAPK (Phospho-Tyr322),0.8908125000000001,1.0756145833333333,1.07
p53 (Phospho-Ser15),0.926296875,1.0268229166666667,0.9583541666666667
P70S6K (Phospho-Ser411),1.0784427083333332,1.0529010416666666,1.0598541666666668
Rb (Phospho-Thr821),1.0287604166666666,1.1192031249999999,1.0660208333333332
Tuberin/TSC2 (Phospho-Ser939),0.8686145833333333,0.9934166666666666,0.9816250000000001
