,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),0.30181505915625323,-0.17483655424375014,-0.12697850491250304
AKT1 (Phospho-Ser473),-0.8435979403770171,0.898810985168911,-0.05521304479189352
E2F1 (Phospho-Thr433),0.24934461585244883,-0.6171963953879652,0.36785177953551873
IGF1R (Phospho-Tyr1165/1166),-0.04384040190912982,0.43970938841652113,-0.3958689865073913
IkB-alpha (Ab-32/36),-0.37644988750354624,0.6812299782701076,-0.30478009076656193
IKK-beta (Ab-188),0.14987801626387087,0.2504990854743046,-0.40037710173817564
IRS-1 (Phospho-Ser636),0.1614295661552645,0.17820075264682714,-0.33963031880209105
MKK6/MAP2K6 (Phospho-Ser207),0.23606576024724069,0.15294607738558189,-0.3890118376328233
mTOR (Phospho-Ser2481),-0.9151830749598281,0.44943776098772453,0.4657453139721038
p38 MAPK (Phospho-Tyr322),-1.0204267936390208,0.8389711467384605,0.18145564690056015
p53 (Phospho-Ser15),0.029614034131193973,0.22537755228875048,-0.2549915864199446
P70S6K (Phospho-Ser411),-0.22875262393129306,0.11692926563580369,0.11182335829548933
Rb (Phospho-Thr821),-0.726616370485155,0.3598814113850193,0.3667349591001348
Tuberin/TSC2 (Phospho-Ser939),-0.3376312465606044,0.6332194929033973,-0.29558824634279685
