,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),0.4760235189821761,-0.39257008833159257,-0.46323532877686624
AKT1 (Phospho-Ser473),-1.0114884349900248,0.9602020162863067,0.03505702553943052
E2F1 (Phospho-Thr433),0.6829763830772736,-0.8813010604093694,0.4608394821848335
IGF1R (Phospho-Tyr1165/1166),-0.18724338515342354,0.8443414792804393,-0.5859974070713381
IkB-alpha (Ab-32/36),-0.7403358845224554,0.7415445739397921,-0.3963599457884099
IKK-beta (Ab-188),0.4382977661282598,0.5457597157186592,-0.5273343443740024
IRS-1 (Phospho-Ser636),0.00016842642054047674,0.19336278750060765,-0.5055684962616315
MKK6/MAP2K6 (Phospho-Ser207),0.5914610734140278,0.23855390522951786,-0.3733721800379758
mTOR (Phospho-Ser2481),-0.9705599099486188,0.6331521600828758,0.4879339321917262
p38 MAPK (Phospho-Tyr322),-1.073567409669768,0.880268507250112,0.19329890241965653
p53 (Phospho-Ser15),0.1245870038022433,0.3681307955274728,-0.18277828055674644
P70S6K (Phospho-Ser411),-0.6891799794610216,0.12172184359699424,0.058717109365453296
Rb (Phospho-Thr821),-0.9597282570786891,0.4441198147598152,0.6998519972222259
Tuberin/TSC2 (Phospho-Ser939),-0.5906479368195852,1.0070887294002429,-0.3410528129271554
