,Proliferation_0.5,Proliferation_1,Proliferation_3,Proliferation_6,Proliferation_24,Quiescence_1,Quiescence_6,Quiescence_24,Quiescence_96,Senescence_1,Senescence_6,Senescence_24,Senescence_96
c-Jun (Phospho-Ser63),1.0015859843734674,1.0591794424622065,1.095230250072521,1.2985960121895403,1.016607265985321,1.1003540521909072,1.2244714463018864,1.485242934706947,1.0809625668449199,1.1885175185209764,1.1387852957893847,1.1023861383164093,1.3404374289718257
GSK3 beta (Phospho-Ser9),0.8026601154426405,0.8714677218641201,0.995513120942281,0.9925583498456686,0.749309618785432,0.6841620809080134,0.6982339831825758,0.5981407366417726,0.8643661850705194,0.9225346572332396,0.9448158324258967,0.9101202278664274,0.8585282005022784
c-Jun (Phospho-Ser73),1.0530859126000425,1.048391371523651,0.9554477977961612,1.1647794962901035,1.0067007777322963,1.1545235115322725,1.108749897666803,1.3672052067381315,1.0765601503759397,1.0284823178128206,1.0472994273104608,1.1181555979133226,1.505978766995716
Elk1 (Phospho-Ser383),2.8986510144001976,2.13907024074753,1.4020926843335106,1.5919597948412751,2.5551235976883104,1.2109593206197014,3.4904569957748532,1.3213936546664247,1.0800485057983944,2.901913191407706,3.4219948344252518,2.7768907112930874,3.0378961984104187
PDK1 (Phospho-Ser241),1.2191421729801568,1.1987923428409648,1.2267570460448967,1.1022171345084728,1.155164186977737,4.869287446127744,1.161447131273653,1.1920756256394156,4.463807531380754,1.1283944004292508,5.043791737773804,1.1867850202936707,1.645887998487105
Raf1 (Phospho-Ser259),0.7590217842218692,1.0858577540833305,1.0549058533919402,0.7334883477897377,0.7039681889947955,0.7046656960656602,0.7479662008069704,0.7537089414632622,0.5835136949516648,1.0403831029472532,1.1825843835143472,1.0984400080256822,1.3461179256578772
GSK3 alpha (Phospho-Ser21),2.1603054974897526,2.1966494101550946,0.7958828087513594,1.0976880867308179,1.3491186197333465,2.168954948146282,2.170441088947927,1.333086299110349,2.3825622675532516,1.3617794698290993,2.315385505913262,1.7900235786637153,2.853046855151889
MEK2 (Phospho-Thr394),1.0330825096694516,2.164636661940007,0.6972531129720102,1.0818531584871165,1.1708649154751318,2.3771298688220703,1.1423330086900878,1.2411039612549881,1.6292768559329356,1.0936368150719824,1.3808007990960647,1.2068919392631132,1.9233445300073002
PTEN (Phospho-Ser380),0.9004133364569656,0.9590875707764227,0.9325874019167679,1.1156545843817243,0.9759375295191914,1.0090818651519529,0.9930282229709164,1.0772091614358077,1.0222991372662427,0.9377074047224276,1.0635630153835376,4.352595613656007,1.2898429254361459
NFkB-p65 (Phospho-Thr254),1.0423741393422183,1.044841437840286,0.9788745613595518,1.1024720482376213,0.9283918550041538,1.1122078140081413,1.1583954154727794,0.9300923366891091,1.0990431329803798,1.1223967009225513,1.0371921455634359,1.3280608004786916,1.4086990734669
NFkB-p65 (Phospho-Ser276),1.1206350694969487,1.167597044246129,0.9249005589326209,1.219601709336594,1.1386990003319033,1.1162403234294374,1.4273061944100192,1.2765662608446586,1.0701444432015215,1.095974028768539,1.2667101543473938,1.3233120693978435,1.2665407684410188
NFkB-p65 (Phospho-Thr435),0.88033391564373,1.07979828557988,0.6392311849669076,1.3161315526413557,1.3351197887757094,1.3392788105550788,1.6771126179510645,1.1693883646159893,1.1797843758611188,1.2097113408407743,1.4639486722289725,1.2242245867403965,1.5561342553089825
NFkB-p65 (Phospho-Ser468),0.7218555072580738,0.8028257168285415,0.2761666498107704,0.7551177251152582,0.2869797427866995,1.848677368027864,1.7527465516092489,0.23396666547953987,0.21069136321909424,0.3268799462275758,0.7273465364318277,0.34318881467206686,1.4943653163942876
NFkB-p65 (Phospho-Ser536),0.8645699328632389,0.8339129107964166,0.7569719570495183,1.058273144583971,0.6160123121582564,1.1898730764255903,1.0173196031080693,1.1812989427365803,0.6187985520569984,1.0493321429895694,0.764717313551251,1.0296875766645406,1.1303974539264305
NFkB-p100/p52 (Phospho-Ser865),0.5428798523210309,0.5751836508313808,0.8122058161786114,0.43543593979898715,0.45968072042570607,0.5109968337216683,0.4516545491166858,1.0719221072808909,0.8280265395631936,0.5068852927628704,0.6101637173197095,0.5481023401870111,0.7229428494561666
NFkB-p100/p52 (Phospho-Ser869),1.4622321095431103,1.6735102149338732,1.096387269256453,1.5117421700012819,1.3642328597170117,1.708584398883484,2.453960505715889,1.3673825010656604,1.430027468800868,1.324283535456241,1.5903379426183821,1.8201351282868063,1.8962200432801515
MKK4/SEK1 (Phospho-Ser80),0.9340772650840139,1.1646456818544433,1.029809870250975,1.206774511670568,0.9344742316599284,1.0336497038165822,1.040263767319543,1.1730641321959145,0.990048878239111,0.9935746387708021,0.9312075261115039,1.009133174587366,1.2423414687444514
ASK1 (Phospho-Ser966),1.0538425333978918,1.2056351824282465,1.070241025620433,1.274696943121846,1.119631696241559,1.153447169585764,1.0738428369554895,1.280597273343304,1.0081307068841694,1.095256829933168,1.1150721190209392,1.0507294883588498,1.3885127493512863
HDAC4 (Phospho-Ser632),0.845747135507357,1.0272189085088865,0.9992472127865323,1.142008363223081,1.0655367287653306,1.1169483769359911,1.1529396892753394,1.1737774021418315,1.2520243352759062,0.9961996478769786,1.0625605281811576,1.0233005131993314,1.28809386320676
HDAC5 (Phospho-Ser498),0.9670688169933137,1.1224481022527537,1.1051285232111632,1.3164371492967573,0.6923012987362602,1.3050938844822422,1.2247535530590716,1.5248561452225107,0.9626730691967735,1.1052144887436894,1.0399457332181252,1.1382482664432232,1.6919784933559232
HDAC8 (Phospho-Ser39),1.0249455659123032,1.067878644689197,1.1508478783851344,1.2500473320559202,0.8651996641245163,1.0606174804776531,1.053145658578531,0.9733155056297604,1.079578761859331,0.9624977717964353,1.0115442151700373,1.027672641071772,1.1087994054863837
HSP27 (Phospho-Ser15),1.2016752587333681,1.1707740234405561,0.9439507186210052,0.8652863167405456,0.9648251610063684,1.075792886353501,1.0561128526645767,1.156386967312668,1.1383321646592972,1.0715188098012036,1.0830432772513403,0.9672381872776582,1.4446393758199718
SMC1 (Phospho-Ser957),1.9932275656916212,1.5589065842643213,1.5334166039956838,0.9869819207858709,1.4691395824805566,1.5032230764646284,1.6392214490380679,1.6718475169547145,1.632782894736842,1.644104693477652,1.5612136815005515,1.5152839085072232,1.4536878375861426
BCR (Phospho-Tyr177),0.8789624259369132,0.9373394069992634,1.053435343646931,1.28680309880437,0.9864296115364742,1.0337771941703084,0.9294593452017472,1.066389049280747,0.9574325927523726,0.9150806822927262,1.2830687511681607,1.2055598406704733,1.0969093979096758
MSK1 (Phospho-Ser376),0.9016121972244926,0.8427423888114403,0.7919556086184605,0.808555263383354,0.8812617775368492,0.7512919678126185,0.9537339631895506,1.2917528937819904,1.0308477062588903,0.8689751148928156,0.983246854798896,0.9280536681344266,1.1475739102857745
Paxillin (Phospho-Tyr31),0.9781050261962508,1.267946280009508,1.047008981318892,1.2171941771429702,1.1554137026916398,1.2589868609893642,1.015024725912978,0.8980573770007155,1.056164270473481,1.0025546681327218,1.0126153579629122,1.561261577588825,1.1927984978832438
Ezrin (Phospho-Thr566),0.8097075396761932,1.305977492709284,1.0229706731443677,0.9341329022818982,0.8550432110176541,1.0352389411495553,0.9121325908124596,1.29617285399068,0.8728751061120544,1.0317414122472486,1.128586865822745,1.2407041915851156,1.2929353997560669
Rac1/cdc42 (Phospho-Ser71),1.114634197671226,1.0191265626719535,1.0362725628852838,0.9431516113494577,0.8258824394617819,1.1229255391219939,1.0501412864848658,0.7571675417127117,1.104941679222736,0.9319093457166566,1.1489525466471724,1.3872924454008007,1.0392112446925303
Raf1 (Phospho-Ser338),0.9952551636449035,0.936064294755949,1.0217576860021838,1.1438206809168963,1.3049653829807653,1.165651641904853,1.391798851126253,1.2688335763535248,1.1050421808108788,1.1974773344500733,1.4022901045451908,1.4051838610827376,1.1741190121207963
MEK1 (Phospho-Ser217),1.1000511795049845,1.0379799224635697,1.0826211365784855,1.3843759896124375,0.9435746937335735,1.1563638874189777,1.11696384942997,0.8243023351047637,1.2927412501991609,1.2701300601560352,1.1219459875918945,1.4411678420390255,1.1258115740491017
p21Cip1 (Phospho-Thr145),1.272873013594969,1.2554336522462561,1.1828831419932297,1.1282208928502677,1.6237011762931686,1.166632358430494,1.2310068240084453,1.3195159486580155,1.3439642486149583,1.3463723400598164,1.4931198099146359,1.3152373780307511,1.2209243978590545
p27Kip1 (Phospho-Ser10),0.9151675241323071,1.0404671631070257,0.9657895230555065,1.083670915930141,1.2329490973429158,1.0936840449468939,1.3532196596051167,1.1314672089306188,1.165148835202761,1.1567774196657066,1.184440599143449,1.0937304291766439,1.1201117119427761
p27Kip1 (Phospho-Thr187),1.6374496900568767,1.5073182893934538,1.452824743499159,1.3190033941123283,2.0375847585826405,1.242549563766302,1.327078253750734,1.4406953573093129,1.7931196878064726,1.5159914560775036,1.5815311621234514,1.4302986949542884,1.5732749196271671
Histone H3.1 (Phospho-Ser10),0.8651236240448864,0.7025177675450477,0.886018063606464,1.309741053893076,1.122476177783701,1.2937281277163495,0.9478687723506809,1.1220623558135578,0.862269935173852,1.0974182147757712,1.018852563657853,1.1941432221351218,1.1211247328708898
ASK1 (Phospho-Ser83),0.7920703169485467,0.788396854190506,0.6464306198694385,1.0290215432975252,0.8378247356877685,1.0677040494464947,0.8181742621428529,1.0341205326826592,0.8962179042331714,0.8348038298028576,0.8438094280385873,0.8789240072047346,0.9561147870114102
NFkB-p105/p50 (Ab-893),1.5765100587657244,1.2624449096189743,1.189377587778344,0.9481191317092867,1.321705641310041,1.1704161264902513,1.339005453369073,1.3283412098558074,1.3002098660630068,1.4959346738491721,1.4018977037994942,1.1419495791550884,1.1728911693373147
NFkB-p105/p50 (Ab-907),1.3328024532784075,1.2709523167093881,1.1862793703031742,1.0985144408699639,1.1827460698520869,1.2131616687311304,1.441989431101179,1.4143158691397588,1.2636887827677301,1.2583854732777005,1.282114563468002,1.1397996110074762,1.270057168362253
Rel (Ab-503),1.1597992990810204,1.1618219872323587,1.3256985757298916,0.9815713408358714,1.1276007586144612,1.0578217996946995,1.2299422829040814,1.226988507966318,1.441643417282461,1.245281376855399,1.2449756620871275,1.0145902417822994,1.0907678111796415
c-Jun (Ab-91),1.233581471986258,1.142664951227508,1.1695716951383566,1.0856718236281113,1.1746636699651687,1.107685722394629,1.2225114772957255,1.312192226896736,1.3416784875758168,1.21342320664143,1.2129568737686471,1.020226807568606,1.1756711563907076
c-Jun (Ab-93),1.6368039712238505,1.2473168854122796,1.3145212070329528,0.949334794367531,1.2063280980632276,1.0691961078595824,1.3311667003531134,1.217565115998297,1.51058705503385,1.3452710375612174,1.1867883756384685,1.0855845552240198,0.8247212559576298
c-Jun (Ab-170),1.2068257600060803,1.172425043228606,1.1875990663436977,1.3106037786531783,1.4155871882485738,1.0271975441672858,1.430500181317643,1.4086050123794471,1.1260026737967914,1.4997025233702532,1.4209048492846603,1.1105394660417793,1.1535695942475603
c-Jun (Ab-239),1.5453608136424672,1.1062525917679429,1.094605383468136,1.1001566697355074,1.0741412160019912,1.0339026851471957,1.122058296269738,1.1426500235172643,1.0566517444075545,1.2250409834127785,1.0618060581765378,1.0455175278574997,1.009912510499684
c-Jun (Ab-243),1.1126636422955738,1.2785986579488022,0.996777337558578,0.9905651089336965,1.1833721206577255,1.1892186568630716,1.0967593526776707,1.2851064186719776,1.1429098715097603,1.0859125286591456,1.1033243718779517,0.9934929489546518,1.1215954279931364
JunB (Ab-79),1.0572958138649762,1.039264315366645,1.068396253678927,0.7924637745413167,1.214787560417933,0.9713141005381306,1.159533009174843,1.1627888765139915,1.0112074694311537,1.1215626216442676,1.1785657234351608,0.9857794943820225,1.2238190246664824
JunB (Ab-259),1.2617392451928393,1.3610858401465182,1.1400292446290163,1.109625394051986,1.3947506751046153,1.171255736337088,1.353081775267465,1.382608767503608,1.372655954184021,1.426118021324286,1.421797317570732,1.3162638428582976,1.6590143791094893
JunD (Ab-255),1.4338326472177505,1.9357363196171176,1.1194159052157566,1.4584055957850786,1.7426547760857667,1.1981024970351517,1.4664331476771515,1.4956071373264277,1.3414902424600827,1.5164649674516912,1.4887264402395133,1.7704156672137357,3.2079603884974293
ATF2 (Ab-62/44),0.7972973352565516,1.0480832229570167,0.9760899123816589,0.6382387561107531,1.4999525150774775,1.7877410502504902,1.7551860029059148,1.1686295329032705,1.5650127665125986,1.3184433881093842,1.3642513546994344,1.023758534392208,1.2432798032140233
ATF2 (Ab-69/51),1.5184567539550187,1.3211986756079934,1.0489236609630292,1.2397286692824367,1.872154206824694,1.1452278310851527,1.5289259355734999,1.56515074172042,1.4582283359914938,1.6433531922754654,1.6287152510764131,1.4083702190443763,1.3132946149895302
