,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),1.2109737294874807,0.9421549905366802,0.7801325200000002,1
AKT1 (Phospho-Ser473),0.7766035167542872,1.0578358013028288,1.0477051168711247,1
E2F1 (Phospho-Thr433),0.8084436672729973,0.8094417096567236,0.82357156,1
IGF1R (Phospho-Tyr1165/1166),0.7395312117333334,1.000478881656817,0.9205766597322845,1
IkB-alpha (Ab-32/36),0.8519180544,1.0466976430680823,1.043705199099775,0
IKK-beta (Ab-188),1.3820208896385542,1.0463747236720307,1.0754357804992658,0
IRS-1 (Phospho-Ser636),0.8537388578760076,1.014421288248775,0.75543144,0
MKK6/MAP2K6 (Phospho-Ser207),1.230082478261423,0.9755685013641225,1.0277435551313443,0
mTOR (Phospho-Ser2481),0.8104709552,0.9777246554666666,1.0289523508052976,1
p38 MAPK (Phospho-Tyr322),0.91079543655914,1.0519770875294119,1.0752221191997933,1
p53 (Phospho-Ser15),0.851020341454171,1.0231869982374333,1.0027872028376894,0
P70S6K (Phospho-Ser411),0.9573092668043011,1.0977903764887413,0.9881249102945301,1
Rb (Phospho-Thr821),0.6147455189333334,0.9896024538666667,1.061749660087421,1
Tuberin/TSC2 (Phospho-Ser939),0.8855940223999998,0.988755065479651,0.9844976533333334,0
