,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),1.4802242768770735,0.9714452439350068,0.7491332737701135,1
AKT1 (Phospho-Ser473),0.9379080925560551,1.2281340204863906,1.1321948988290496,1
E2F1 (Phospho-Thr433),1.0616410191935253,0.8703060964264726,1.070030995410628,1
IGF1R (Phospho-Tyr1165/1166),1.0620842709241434,1.1301782071773752,1.0728680255612935,1
IkB-alpha (Ab-32/36),0.9175116786880129,1.0306075260621332,1.0102830966666665,0
IKK-beta (Ab-188),1.0853501345071717,1.015757322026913,1.0331260033333334,0
IRS-1 (Phospho-Ser636),0.9350208193333333,1.0454749683910542,1.0331766166666665,1
MKK6/MAP2K6 (Phospho-Ser207),0.9380191093708422,1.0470980435883108,1.1410828265428865,1
mTOR (Phospho-Ser2481),0.8453957525333333,1.1904895925987538,1.0688654120693155,1
p38 MAPK (Phospho-Tyr322),0.9119809148165465,1.1281638562666667,1.1329392298060823,1
p53 (Phospho-Ser15),0.9447380503074828,1.0498987884907067,0.9780421659420289,0
P70S6K (Phospho-Ser411),1.046806307820928,1.158140751249531,1.1807392133448333,1
Rb (Phospho-Thr821),0.9194388389333333,1.0863855921870127,1.1856171543761937,1
Tuberin/TSC2 (Phospho-Ser939),0.905026189769134,0.9755379977620477,0.9849527666666666,1
