,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
c-Jun (Phospho-Ser63) ,1.292,1.017,1.272,2.112,1.541,1.587,2.072,0.824,0.926,0.933,1.059
GSK3 beta (Phospho-Ser9) ,1.264,1.011,1.325,1.389,0.921,1.005,1.205,0.859,0.955,1.155,1.163
c-Jun (Phospho-Ser73) ,1.269,0.766,1.007,1.309,1.278,1.196,1.197,0.697,0.859,0.729,0.931
Elk1 (Phospho-Ser383) ,0.805,0.999,0.903,1.159,0.931,1.405,1.085,0.799,0.919,0.726,0.786
PDK1 (Phospho-Ser241) ,2.178,2.133,0.852,1.389,1.439,1.319,1.531,1.427,1.418,1.435,1.874
Raf1 (Phospho-Ser259) ,1.202,0.781,0.953,1.409,1.51,1.688,1.326,0.828,0.887,0.991,0.884
GSK3 alpha (Phospho-Ser21) ,1.452,1.048,1.072,2.182,1.938,2.118,2.062,1.185,0.688,1.249,0.825
MEK2 (Phospho-Thr394) ,1.094,1.906,1.089,2.129,2.095,2.578,2.613,1.971,1.303,1.173,1.438
PTEN (Phospho-Ser380) ,1.151,0.927,1.239,1.285,1.23,1.252,1.09,0.943,0.954,0.995,0.901
NFkB-p65 (Phospho-Thr254) ,0.983,0.992,0.92,1.112,1.154,1.188,1.305,0.971,0.882,0.847,0.843
NFkB-p65 (Phospho-Ser276) ,1.068,0.922,1.139,1.416,1.278,1.258,1.069,0.986,0.752,0.903,0.906
NFkB-p65 (Phospho-Thr435) ,1.012,0.852,0.961,1.571,2.125,1.705,1.315,0.823,0.719,0.956,0.8
NFkB-p65 (Phospho-Ser468) ,0.78,0.367,0.692,0.546,0.716,0.652,0.367,0.664,0.413,0.462,0.39
NFkB-p65 (Phospho-Ser536) ,1.104,0.953,0.964,1.169,1.1,0.983,0.969,1.036,0.851,0.854,0.909
