,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),0.25993910183980257,-0.16213012400745822,-0.0978089778323444,True
AKT1 (Phospho-Ser473),-0.8342666940971215,0.8809250924541376,-0.04665839835701548,True
E2F1 (Phospho-Thr433),0.2483665666900452,-0.5185792549696827,0.27021268827963735,True
IGF1R (Phospho-Tyr1165/1166),-0.03683090580325321,0.4481920199683794,-0.41136111416512605,False
IkB-alpha (Ab-32/36),-0.34062989399959026,0.6546915924650997,-0.31406169846550863,False
IKK-beta (Ab-188),0.16226035095330146,0.24581898525955573,-0.4080793362128583,True
IRS-1 (Phospho-Ser636),0.11326449678401392,0.19092852122729043,-0.30419301801130444,False
MKK6/MAP2K6 (Phospho-Ser207),0.23399209567131798,0.16041359561724086,-0.39440569128855857,False
mTOR (Phospho-Ser2481),-0.9676540646838251,0.5454820900523124,0.4221719746315135,True
p38 MAPK (Phospho-Tyr322),-1.0366727557691309,0.8061723242316035,0.23050043153752595,True
p53 (Phospho-Ser15),0.023385741134341442,0.19857589767313144,-0.22196163880747266,True
P70S6K (Phospho-Ser411),-0.2061411748163201,0.16169370070712163,0.04444747410919886,True
Rb (Phospho-Thr821),-0.7639534279752996,0.38564015909891586,0.3783132688763866,False
Tuberin/TSC2 (Phospho-Ser939),-0.5451683942134437,0.6499920726930357,-0.10482367847959706,False
