,0,1,2,3,4,5,6,7
AKT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AMPK,0.2478,0.7883,0.2478,0.7879,0.3554,0.9733285714285714,0.3554,0.9733285714285714
ATM/ATR,0.4016,0.42841,0.4002,0.42541,0.8205,0.8460833333333334,0.8193,0.8436833333333333
CDK2/4/6,0.6016,0.56381,0.602,0.56421,0.0834,0.08032333333333333,0.0834,0.08052333333333334
CDKN1A,0.2214,0.32479,0.2208,0.32359,0.6005,0.6340566666666667,0.5985,0.6298566666666667
CDKN2A,0.0,0.0,0.0,0.0,1.0,0.9995619047619048,1.0,0.9995619047619048
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.9974,0.97411,0.9976,0.97431,0.0,0.00037809523809523814,0.0,0.00037809523809523814
EIF4EBP1,0.0,0.3033,0.0,0.3033,0.0,0.39912857142857144,0.0,0.39912857142857144
FOXO3,0.072,0.14520999999999998,0.0694,0.13921,0.3605,0.5128380952380952,0.3519,0.49783809523809525
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.6016,0.4441,1.0,1.0,0.0014,0.0005433333333333334,1.0,1.0
IKBKB,0.0026,0.025889999999999996,0.0024,0.025689999999999998,1.0,0.9996219047619048,1.0,0.9996219047619048
IL1B,0.0026,0.02489,0.0024,0.02469,1.0,0.9473219047619048,1.0,0.9473219047619048
IL6,0.0026,0.02489,0.0024,0.02469,1.0,0.9473219047619048,1.0,0.9473219047619048
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.8034,0.3664,1.0,0.8313,0.2139,0.00026000000000000003,1.0,0.5384833333333333
KRAS,0.7674,0.524,0.8896,0.7382,0.594,0.3536,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,1.0,0.9995619047619048,1.0,0.9995619047619048
MAPK1,0.707,0.65249,0.7372,0.7036899999999999,0.8678,0.8146,0.9122,0.881
MAPK14,0.0,0.0,0.0,0.0,1.0,0.9995619047619048,1.0,0.9995619047619048
MDM2,1.0,1.0,1.0,1.0,0.0,0.00043809523809523813,0.0,0.00043809523809523813
MTOR,1.0,0.6967,1.0,0.6967,1.0,0.6008714285714286,1.0,0.6008714285714286
NAD+,0.5302,0.6839,0.5302,0.6839,0.557,0.744,0.557,0.744
NFKB1,0.0026,0.02489,0.0024,0.02469,1.0,0.9473219047619048,1.0,0.9473219047619048
NFKBIE,0.9974,0.97411,0.9976,0.97431,0.0,0.00037809523809523814,0.0,0.00037809523809523814
PDK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIK3CA,0.7982,0.361,0.9998,0.8163,0.3017,0.00586,0.9998,0.6282833333333334
PPARGC1A,0.8752,0.9064,0.8752,0.9064,0.8853,0.9174714285714286,0.8853,0.9174714285714286
PTEN,0.2788,0.3515,0.2786,0.3515,0.3338,0.3339114285714286,0.3338,0.3339114285714286
RB1,0.0026,0.025889999999999996,0.0024,0.025689999999999998,1.0,0.9996219047619048,1.0,0.9996219047619048
RHEB,0.3652,0.3158,0.3652,0.3158,0.358,0.2954,0.358,0.2954
ROS,0.2336,0.231,0.2336,0.231,0.6188,0.6121619047619048,0.62,0.6127619047619047
S6K1,1.0,0.6967,1.0,0.6967,1.0,0.6008714285714286,1.0,0.6008714285714286
SGK1,0.7614,0.7614,0.7614,0.7614,0.7614,0.7614,0.7614,0.7614
SIRT1,0.5744,0.6198,0.5744,0.6198,0.5768,0.6424,0.5768,0.6424
SOD2,0.5448,0.5623100000000001,0.5444,0.5615100000000001,0.6093,0.6454380952380953,0.6063,0.6418380952380952
TP53,0.0212,0.27771,0.021,0.27671,0.9986,0.9993852380952379,0.9986,0.9993852380952379
TSC2,0.4342,0.5886,0.4342,0.5884,0.462,0.6466,0.462,0.6466
ULK1,0.0,0.3777,0.0,0.3777,0.0,0.5011428571428571,0.0,0.5011428571428571
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
