,0,1,2,3,4,5,6,7
AKT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AMPK,0.5160349854227405,0.8334027488546439,0.5160349854227405,0.8329862557267805,0.7401082882132445,0.9446064139941691,0.7401082882132445,0.9446064139941691
ATM/ATR,0.4014993752603082,0.4148271553519367,0.40024989587671805,0.41232819658475633,0.8348604748021657,0.8446480633069554,0.8331945022907122,0.8425655976676385
CDK2/4/6,0.5851728446480633,0.5718450645564348,0.5855893377759267,0.5718450645564348,0.07871720116618076,0.07830070803831737,0.07871720116618076,0.07830070803831737
CDKN1A,0.23740108288213244,0.2778009162848813,0.23698458975426906,0.2773844231570179,0.6099541857559351,0.6251561849229488,0.6082882132444815,0.6218242399000417
CDKN2A,0.0,0.0,0.0,0.0,1.0,0.9998264611967237,1.0,0.9998264611967237
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.9950020824656394,0.9862557267805081,0.9950020824656394,0.9862557267805081,0.0,0.0001735388032764126,0.0,0.0001735388032764126
EIF4EBP1,0.0,0.12911286963765098,0.0,0.12911286963765098,0.0,0.17284464806330696,0.0,0.17284464806330696
FOXO3,0.0982923781757601,0.13785922532278216,0.09496043315285298,0.13327780091628488,0.43794252394835487,0.5016312647507983,0.4275301957517701,0.48580452589198947
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.5872553102873802,0.5337359433569346,1.0,1.0,0.0029154518950437317,0.0008329862557267805,1.0,1.0
IKBKB,0.0049979175343606835,0.013744273219491879,0.0049979175343606835,0.013744273219491879,1.0,0.9998264611967237,1.0,0.9998264611967237
IL1B,0.0049979175343606835,0.013327780091628489,0.0049979175343606835,0.013327780091628489,1.0,0.979834791059281,1.0,0.979834791059281
IL6,0.0049979175343606835,0.013327780091628489,0.0049979175343606835,0.013327780091628489,1.0,0.979834791059281,1.0,0.979834791059281
INSR,0.7280299875052062,0.07330279050395669,0.7280299875052062,0.07330279050395669,0.7280299875052062,0.07330279050395669,0.7280299875052062,0.07330279050395669
IRS1,0.802582257392753,0.44189920866305704,1.0,0.8304872969596002,0.22053311120366514,0.00041649312786339027,1.0,0.5287033180619187
KRAS,0.7675968346522283,0.5476884631403582,0.8983756768013328,0.7313619325281133,0.592253227821741,0.34902124114952104,0.8983756768013328,0.7313619325281133
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,1.0,0.9998264611967237,1.0,0.9998264611967237
MAPK1,0.7101207830070804,0.6609745939192003,0.7409412744689713,0.7009579341940858,0.8679716784673053,0.8159100374843815,0.9133694294044148,0.882548937942524
MAPK14,0.0,0.0,0.0,0.0,1.0,0.9998264611967237,1.0,0.9998264611967237
MDM2,1.0,1.0,1.0,1.0,0.0,0.0001735388032764126,0.0,0.0001735388032764126
MTOR,1.0,0.870887130362349,1.0,0.870887130362349,1.0,0.8271553519366931,1.0,0.8271553519366931
NAD+,0.6151603498542274,0.6913785922532278,0.6151603498542274,0.6913785922532278,0.6709704289879217,0.7296959600166597,0.6709704289879217,0.7296959600166597
NFKB1,0.0049979175343606835,0.013327780091628489,0.0049979175343606835,0.013327780091628489,1.0,0.979834791059281,1.0,0.979834791059281
NFKBIE,0.9950020824656394,0.9862557267805081,0.9950020824656394,0.9862557267805081,0.0,0.0001735388032764126,0.0,0.0001735388032764126
PDK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIK3CA,0.7963348604748022,0.4277384423157018,0.9995835068721366,0.8129945855893378,0.310079133694294,0.001665972511453561,0.9995835068721366,0.6149173955296403
PPARGC1A,0.9104539775093711,0.931695127030404,0.9104539775093711,0.931695127030404,0.9314868804664723,0.939192003331945,0.9314868804664723,0.939192003331945
PTEN,0.280716368179925,0.307371928363182,0.280716368179925,0.307371928363182,0.34943773427738445,0.3498542274052478,0.34943773427738445,0.3498542274052478
RB1,0.0049979175343606835,0.013744273219491879,0.0049979175343606835,0.013744273219491879,1.0,0.9998264611967237,1.0,0.9998264611967237
RHEB,0.3377759266972095,0.31403581840899625,0.3377759266972095,0.31403581840899625,0.32278217409412746,0.3036234902124115,0.32278217409412746,0.3036234902124115
ROS,0.23198667221990837,0.2307371928363182,0.23198667221990837,0.2307371928363182,0.6118284048313203,0.6083229210051369,0.6126613910870471,0.609572400388727
S6K1,1.0,0.870887130362349,1.0,0.870887130362349,1.0,0.8271553519366931,1.0,0.8271553519366931
SGK1,0.7671803415243649,0.7671803415243649,0.7671803415243649,0.7671803415243649,0.7671803415243649,0.7671803415243649,0.7671803415243649,0.7671803415243649
SIRT1,0.6130778842149105,0.6305705955851728,0.6130778842149105,0.6305705955851728,0.6180758017492711,0.6409829237817576,0.6180758017492711,0.6409829237817576
SOD2,0.5439400249895877,0.5558100791336943,0.5435235318617243,0.5549770928779675,0.6245314452311537,0.6424059419686241,0.62161599333611,0.6386575038178536
TP53,0.043731778425655975,0.1322365680966264,0.043731778425655975,0.13098708871303624,0.9970845481049563,0.9991670137442732,0.9970845481049563,0.9991670137442732
TSC2,0.5135360266555602,0.6022490628904623,0.5135360266555602,0.6022490628904623,0.5714285714285714,0.6351520199916701,0.5714285714285714,0.6351520199916701
ULK1,0.0,0.14369012911286963,0.0,0.14369012911286963,0.0,0.1924198250728863,0.0,0.1924198250728863
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
