,0,1,2,3,4,5,6,7
AKT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPK,0.2912166666666667,0.8575166666666666,0.29081666666666667,0.8569833333333332,0.3568,0.9738,0.3568,0.9738
ATM/ATR,0.49715,0.5467333333333333,0.4913166666666666,0.54025,0.8709,0.8914,0.8685,0.8882
CDK2/4/6,0.42505,0.38825000000000004,0.42645,0.3899166666666667,0.0541,0.0529,0.0545,0.0531
CDKN1A,0.6633833333333334,0.7498666666666667,0.66025,0.746,0.8781,0.897,0.8757,0.8946
CDKN2A,0.0,0.0,0.0,0.0,0.9981,0.9966,0.9983,0.9969
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.4139,0.432425,0.41466666666666663,0.4336916666666666,0.0001,0.0,0.0001,0.0
EIF4EBP1,0.5835166666666667,0.9263333333333332,0.5832166666666667,0.9260333333333333,0.6318,1.0,0.6318,1.0
FOXO3,0.37525,0.5120666666666666,0.36401666666666666,0.49715,0.6643,0.8016,0.6493,0.7813
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.4115666666666668,0.26435,1.0,1.0,0.0002,0.0,1.0,1.0
IKBKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.7176666666666667,0.22005,1.0,0.838,0.5176,0.0,1.0,0.838
KRAS,0.7110666666666667,0.4520666666666666,0.8896,0.7382,0.594,0.3536,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9981,0.9966,0.9983,0.9969
MAPK1,0.6910333333333333,0.6250333333333334,0.7372,0.7002,0.6596,0.6006,0.7372,0.7002
MAPK14,0.0,0.0,0.0,0.0,0.9981,0.9966,0.9983,0.9969
MDM2,0.27210000000000006,0.34005,0.27143333333333336,0.3397166666666667,0.0,0.0,0.0,0.0
MTOR,0.4164833333333333,0.07366666666666666,0.4167833333333333,0.07396666666666667,0.3682,0.0,0.3682,0.0
NAD+,0.5405666666666668,0.7051499999999999,0.5405666666666668,0.7050166666666666,0.5572,0.744,0.5572,0.744
NFKB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFKBIE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PDK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3CA,0.7081000000000001,0.2195333333333333,0.9998,0.8202,0.5012,0.0056,0.9998,0.8202
PPARGC1A,0.7904666666666667,0.8486333333333334,0.7904666666666667,0.8488166666666668,0.793,0.8604,0.793,0.8604
PTEN,0.5698333333333333,0.6259,0.5690666666666666,0.6251,0.7178,0.718,0.7178,0.718
RB1,0.5861,0.567575,0.5853333333333333,0.5663083333333334,0.9999,1.0,0.9999,1.0
RHEB,0.27703333333333335,0.2298166666666667,0.27703333333333335,0.2298166666666667,0.2708,0.2178,0.2708,0.2178
ROS,0.2232,0.2175,0.224,0.2191666666666667,0.6007,0.5928,0.6019,0.5943
S6K1,0.4164833333333333,0.07366666666666666,0.4167833333333333,0.07396666666666667,0.3682,0.0,0.3682,0.0
SGK1,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976
SIRT1,0.5757666666666666,0.6281499999999999,0.5757666666666666,0.6280166666666666,0.577,0.6424,0.577,0.6424
SOD2,0.6141000000000001,0.6482500000000001,0.6121666666666667,0.64415,0.6833,0.7166,0.6799,0.7095
TP53,0.3266833333333334,0.5668833333333333,0.32278333333333337,0.5641833333333333,0.9998,1.0,0.9998,1.0
TSC2,0.7080666666666666,0.8409166666666666,0.7078666666666666,0.8406666666666666,0.7236,0.8738,0.7236,0.8738
ULK1,0.418425,0.899425,0.418225,0.8989916666666667,0.4802,1.0,0.4802,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
