,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IKBKB,0.0026,0.025889999999999996,0.0024,0.025689999999999998,1.0,0.9996219047619048,1.0,0.9996219047619048
PTEN,0.2788,0.3515,0.2786,0.3515,0.334,0.3339114285714286,0.334,0.3339114285714286
E2F1,0.9974,0.97411,0.9976,0.97431,0.0,0.00037809523809523814,0.0,0.00037809523809523814
EIF4EBP1,0.0,0.3033,0.0,0.3033,0.0,0.39912857142857144,0.0,0.39912857142857144
IL1B,0.0026,0.02489,0.0024,0.02469,1.0,0.9473219047619048,1.0,0.9473219047619048
IL6,0.0026,0.02489,0.0024,0.02469,1.0,0.9473219047619048,1.0,0.9473219047619048
S6K1,1.0,0.6967,1.0,0.6967,1.0,0.6008714285714286,1.0,0.6008714285714286
ULK1,0.0,0.3777,0.0,0.3777,0.0,0.5011428571428571,0.0,0.5011428571428571
