,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.7685126118326104,0.33319901875901914,1.0,0.8035394949494957,0.48714970760234266,0.1452,1.0,0.7632274853801209
AKT1,0.7685126118326104,0.33319901875901914,1.0,0.8035394949494957,0.48714970760234266,0.1452,1.0,0.7632274853801209
IKBKB,0.023471911976912004,0.031299473304473246,0.0024,0.054898282828282935,0.4798502923976575,0.1452,1.0,0.7565610860484506
PTEN,0.32732340548340544,0.4929279653679654,0.2786,0.3902067171717172,0.48318666666666676,0.5728,0.334,0.4007358730158731
E2F1,0.8515708658008653,0.6086295743145735,0.9976,0.8513250505050505,0.0001236842105263158,0.0,0.0,0.0003740016708437761
EIF4EBP1,0.1372989682539683,0.6876190115440127,0.0,0.4180820202020198,0.3228670760233907,0.9184,0.0,0.5395330158730138
IL1B,0.023471911976912004,0.029339949494949467,0.0024,0.05268161616161625,0.4798502923976575,0.1378,1.0,0.7179944193817842
IL6,0.023471911976912004,0.029339949494949467,0.0024,0.05268161616161625,0.4798502923976575,0.1378,1.0,0.7179944193817842
S6K1,0.8627010317460306,0.31238098845598866,1.0,0.5819179797979799,0.6771329239766108,0.0816,1.0,0.4604669841269857
ULK1,0.09928309523809534,0.6888556782106792,0.0,0.4718688383838381,0.24505818713450273,0.9348,0.0,0.6202473015872998
