,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKBKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTEN,0.5796890184645287,0.6000277662085243,0.5785783701235596,0.5990559489101763,0.7109537692628072,0.7109537692628072,0.7109537692628072,0.7109537692628072
E2F1,0.40635846175204776,0.41805497709287803,0.4085103429126753,0.4202068582535055,0.0,0.0,0.0,0.0
EIF4EBP1,0.8994516173816466,0.9746980424822991,0.8988268776898515,0.9746980424822991,1.0,1.0,1.0,1.0
IL1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6K1,0.10054838261835347,0.02530195751770096,0.10117312231014856,0.02530195751770096,0.0,0.0,0.0,0.0
ULK1,0.8713556851311953,0.9686588921282799,0.8709391920033319,0.9686588921282799,1.0,1.0,1.0,1.0
