,0,1,2,3,4,5,6,7
AKT1,0.729619956709955,0.2756669264069268,0.9983800000000003,0.7712691919191929,0.3867469298245648,0.0,0.958975,0.6968830409356772
AMPK,0.2552532034632034,0.8194291269841273,0.2483,0.79856,0.3568,0.9738,0.3568,0.9737285714285714
ATM/ATR,0.42979126984126986,0.5128558730158731,0.40054,0.4528946464646465,0.850570833333333,0.8914,0.8226625,0.8569722222222222
CDK2/4/6,0.5465140043290047,0.4324609740259739,0.60156,0.5201469696969699,0.06596194444444443,0.0529,0.0818875,0.07202833333333333
CDKN1A,0.3522764718614716,0.6286311688311688,0.222,0.42415191919191886,0.7708491666666658,0.897,0.6121125,0.7113194444444437
CDKN2A,0.0,0.0,0.0,0.0,0.9987691520467837,0.9966,0.999675,0.9987010860484544
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.823098528138527,0.5745001803751797,0.9962400000000001,0.831578080808081,0.00030285087719298244,0.0,0.0001125,0.0004406683375104428
EIF4EBP1,0.1590502669552669,0.7258996753246765,0.00106,0.4394188888888884,0.38352263157894556,1.0,0.0212,0.5790541269841245
FOXO3,0.15863437950937953,0.41131370851370846,0.07014,0.22391297979797983,0.5478747368421043,0.8016,0.363325,0.5812878028404337
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.5420684920634915,0.32794158730158773,1.0,1.0,0.000175,0.0,1.0,1.0
IKBKB,0.02856424963924962,0.02926331168831166,0.00296,0.0601219191919193,0.37749057017543536,0.0,0.9588625,0.6885055304928943
IL1B,0.02856424963924962,0.02766886724386725,0.00296,0.05788530303030312,0.37749057017543536,0.0,0.9588625,0.6527721971595613
IL6,0.02856424963924962,0.02766886724386725,0.00296,0.05788530303030312,0.37749057017543536,0.0,0.9588625,0.6527721971595613
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.7351685281385268,0.2656866883116885,1.0,0.7939580808080817,0.3593594298245642,0.0,1.0,0.6822830409356772
KRAS,0.7423033333333326,0.4807438888888887,0.8896,0.7382,0.594,0.3536,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9987691520467837,0.9966,0.999675,0.9987010860484544
MAPK1,0.7061784415584414,0.6389407936507934,0.7374,0.7105744444444442,0.7347888888888878,0.6006,0.9048,0.8184777777777769
MAPK14,0.0,0.0,0.0,0.0,0.9987691520467837,0.9966,0.999675,0.9987010860484544
MDM2,0.7907786868686851,0.5173148629148626,0.9986800000000003,0.842541414141415,0.00024035087719298244,0.0,5e-05,0.0005006683375104428
MTOR,0.8409497330447319,0.27410032467532475,0.9989399999999999,0.5605811111111115,0.6164773684210559,0.0,0.9788,0.4209458730158747
NAD+,0.5312733333333333,0.6942738888888889,0.5303,0.6873611111111111,0.5572,0.744,0.5572,0.744
NFKB1,0.02856424963924962,0.02766886724386725,0.00296,0.05788530303030312,0.37749057017543536,0.0,0.9588625,0.6527721971595613
NFKBIE,0.9714357503607493,0.9707366883116865,0.9970399999999999,0.9398780808080821,0.6225094298245667,1.0,0.0411375,0.31149446950710263
PDK1,0.729619956709955,0.2756669264069268,0.9983800000000003,0.7712691919191929,0.3867469298245648,0.0,0.958975,0.6968830409356772
PIK3CA,0.7252599567099552,0.26609359307359337,0.9998,0.7790380808080818,0.4103719298245651,0.0056,0.9998,0.7328830409356774
PPARGC1A,0.854323809523809,0.864332113997114,0.8753,0.8908556060606061,0.8313577777777785,0.8604,0.8838,0.90058253968254
PTEN,0.5333276984126988,0.6060995238095237,0.5168200000000001,0.5849441414141414,0.717825,0.718,0.717825,0.718
RB1,0.1769014718614716,0.4254998196248196,0.0037599999999999995,0.16842191919191918,0.9996971491228068,1.0,0.9998875,0.9995593316624894
RHEB,0.3413921356421356,0.2537472727272728,0.36491999999999997,0.29471727272727277,0.30467054093567275,0.2178,0.3546875,0.27162222222222226
ROS,0.23005119047619046,0.22078595238095242,0.2336,0.22843833333333333,0.6079491520467837,0.5928,0.619075,0.6065233082706767
S6K1,0.8409497330447319,0.27410032467532475,0.9989399999999999,0.5605811111111115,0.6164773684210559,0.0,0.9788,0.4209458730158747
SGK1,0.6935726190476188,0.5759812698412697,0.7608199999999999,0.6972789898989902,0.5988038742690072,0.4976,0.7514875,0.6793941520467848
SIRT1,0.5746190476190475,0.625106746031746,0.5744,0.6217611111111111,0.577,0.6424,0.577,0.6424
SOD2,0.5635616666666667,0.6236981746031746,0.5444,0.582293888888889,0.6545008479532163,0.7166,0.610525,0.6616628028404342
TP53,0.1381900432900432,0.49158841269841286,0.022220000000000004,0.34422484848484847,0.9997305555555555,1.0,0.999825,0.9997796825396825
TSC2,0.5046316089466087,0.7655657431457438,0.43472000000000005,0.6448285353535351,0.621029459064326,0.8738,0.4747125,0.7129555555555546
ULK1,0.11430891774891788,0.7203816594516603,0.0009599999999999999,0.48867393939393916,0.2875248538011691,1.0,0.0154,0.6504728571428551
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
