,0,1,2,3,4,5,6,7
AKT1,0.724106725773392,0.27653120653120705,0.9975675675675675,0.7691265507932182,0.3665957624290961,0.0,0.9384009009009009,0.6876042709376082
AMPK,0.24922958672958667,0.8172758472758472,0.2424924924924925,0.7980689022355689,0.34954954954954953,0.9768768768768769,0.34954954954954953,0.9768768768768769
ATM/ATR,0.43719910386577054,0.5187336145669478,0.40771771771771775,0.45784981951648623,0.8521917751084416,0.890990990990991,0.8295232732732732,0.8596930263596929
CDK2/4/6,0.5402025835359171,0.4286884828551494,0.5963363363363363,0.5153702945369613,0.06191733400066732,0.0512012012012012,0.07640765765765765,0.06892225558892225
CDKN1A,0.3555696172362839,0.630836041669375,0.2207207207207207,0.4264073164073164,0.7813292459125784,0.9009009009009009,0.6262950450450451,0.7206339673006332
CDKN2A,0.0,0.0,0.0,0.0,0.9990448782115449,0.9966966966966967,0.999512012012012,0.9985652318985652
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.8225863959197284,0.5772787397787398,0.9955555555555555,0.8322521764188431,0.000269019019019019,0.0,0.00016891891891891893,0.00031698365031698365
EIF4EBP1,0.16065065065065087,0.7258980300646966,0.0015915915915915915,0.4412209178875843,0.38820153486820097,1.0,0.03183183183183183,0.5856890223556871
FOXO3,0.1611773678440345,0.41265119015118984,0.06897897897897898,0.22468066551399887,0.5574315982649308,0.8024024024024023,0.38126876876876875,0.5916833500166825
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.5410670194003527,0.326500786500787,1.0,1.0,0.00026276276276276277,0.0,1.0,1.0
IKBKB,0.026311072977739686,0.029581453748120455,0.0032432432432432435,0.05989914156580827,0.3574845679012345,0.0,0.938231981981982,0.6792125458792088
IL1B,0.026311072977739686,0.027785014451681158,0.0032432432432432435,0.05813828980495652,0.3574845679012345,0.0,0.938231981981982,0.644277610944274
IL6,0.026311072977739686,0.027785014451681158,0.0032432432432432435,0.05813828980495652,0.3574845679012345,0.0,0.938231981981982,0.644277610944274
INSR,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897
IRS1,0.7305331521998185,0.26385245635245685,1.0,0.7956263839597181,0.3597076242909578,0.0,1.0,0.6912078745412118
KRAS,0.7344340769340766,0.4856794890128225,0.8831831831831832,0.7396396396396396,0.5933933933933934,0.36396396396396397,0.8831831831831832,0.7396396396396396
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9990448782115449,0.9966966966966967,0.999512012012012,0.9985652318985652
MAPK1,0.6997347347347347,0.636964941131608,0.733033033033033,0.7068059726393058,0.7285285285285277,0.6042042042042042,0.8951951951951952,0.8108775442108767
MAPK14,0.0,0.0,0.0,0.0,0.9990448782115449,0.9966966966966967,0.999512012012012,0.9985652318985652
MDM2,0.7904788121454779,0.5210214110214118,0.9980180180180179,0.8424615524615531,0.00017517517517517516,0.0,7.507507507507507e-05,0.00031698365031698365
MTOR,0.8393493493493488,0.2741019699353035,0.9984084084084084,0.5587790821124159,0.6117984651318007,0.0,0.9681681681681682,0.41431097764431185
NAD+,0.5291791791791792,0.6917792792792793,0.528078078078078,0.68506006006006,0.5543543543543543,0.7417417417417418,0.5543543543543543,0.7417417417417418
NFKB1,0.026311072977739686,0.027785014451681158,0.0032432432432432435,0.05813828980495652,0.3574845679012345,0.0,0.938231981981982,0.644277610944274
NFKBIE,0.9736889270222601,0.9704185462518788,0.9967567567567567,0.9401008584341927,0.6425154320987694,1.0,0.06176801801801802,0.320787454120787
PDK1,0.724106725773392,0.27653120653120705,0.9975675675675675,0.7691265507932182,0.3665957624290961,0.0,0.9384009009009009,0.6876042709376082
PIK3CA,0.7199025215691881,0.2687233987233993,0.9996996996996997,0.7837945521278863,0.4020687354020696,0.008408408408408409,0.9996996996996997,0.7416583249916623
PPARGC1A,0.8608015158015158,0.8702926302926302,0.8809309309309309,0.894523766190433,0.8412929596262935,0.8696696696696696,0.8897897897897898,0.9049382716049383
PTEN,0.34167322083988727,0.4329708279708279,0.32015015015015014,0.40534655867989206,0.5763138138138139,0.5765765765765766,0.5763138138138139,0.5765765765765766
RB1,0.1774136040802708,0.4227212602212599,0.0044444444444444444,0.1677478235811569,0.9997309809809809,1.0,0.9998310810810811,0.999683016349683
RHEB,0.3413941322274656,0.2517708942708943,0.36714714714714713,0.2929104862438196,0.301199115782449,0.21621621621621623,0.35478603603603603,0.27063730397063723
ROS,0.23133490633490633,0.22377055627055628,0.23483483483483483,0.23033783783783784,0.6135960960960962,0.5996996996996997,0.6238363363363363,0.6129796463129797
S6K1,0.8393493493493488,0.2741019699353035,0.9984084084084084,0.5587790821124159,0.6117984651318007,0.0,0.9681681681681682,0.41431097764431185
SGK1,0.6914047380714047,0.5767294675628007,0.7600900900900901,0.6951126884460219,0.5921734234234242,0.5003003003003003,0.7460773273273273,0.6766266266266275
SIRT1,0.5844129844129844,0.6343039468039469,0.5840840840840841,0.6313063063063064,0.5864864864864865,0.6513513513513514,0.5864864864864865,0.6513513513513514
SOD2,0.5660728585728585,0.6237245578912245,0.545045045045045,0.5824933266599934,0.6604029029029027,0.7186186186186186,0.6152027027027027,0.6645311978645309
TP53,0.13757912674579367,0.48831903331903265,0.02375375375375376,0.3438658355325023,0.9996705038371705,1.0,0.9997372372372373,0.9999332665999333
TSC2,0.5107583774250439,0.7712595170928507,0.4365165165165166,0.651457214790548,0.6291145311978634,0.878078078078078,0.4821509009009009,0.7184684684684677
ULK1,0.116421778921779,0.7195918429251758,0.0014414414414414415,0.49164641914641893,0.29314147480814173,1.0,0.02312312312312312,0.6588521855188505
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
