,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.729619956709955,0.2756669264069268,0.9983800000000003,0.7712691919191929,0.3867469298245648,0.0,0.958975,0.6968830409356772
AKT1,0.729619956709955,0.2756669264069268,0.9983800000000003,0.7712691919191929,0.3867469298245648,0.0,0.958975,0.6968830409356772
IKBKB,0.02856424963924962,0.02926331168831166,0.00296,0.0601219191919193,0.37749057017543536,0.0,0.9588625,0.6885055304928943
PTEN,0.5333276984126988,0.6060995238095237,0.5168200000000001,0.5849441414141414,0.717825,0.718,0.717825,0.718
E2F1,0.823098528138527,0.5745001803751797,0.9962400000000001,0.831578080808081,0.00030285087719298244,0.0,0.0001125,0.0004406683375104428
EIF4EBP1,0.1590502669552669,0.7258996753246765,0.00106,0.4394188888888884,0.38352263157894556,1.0,0.0212,0.5790541269841245
IL1B,0.02856424963924962,0.02766886724386725,0.00296,0.05788530303030312,0.37749057017543536,0.0,0.9588625,0.6527721971595613
IL6,0.02856424963924962,0.02766886724386725,0.00296,0.05788530303030312,0.37749057017543536,0.0,0.9588625,0.6527721971595613
S6K1,0.8409497330447319,0.27410032467532475,0.9989399999999999,0.5605811111111115,0.6164773684210559,0.0,0.9788,0.4209458730158747
ULK1,0.11430891774891788,0.7203816594516603,0.0009599999999999999,0.48867393939393916,0.2875248538011691,1.0,0.0154,0.6504728571428551
