,0,1,2,3,4,5,6,7
AKT1,0.720897893217892,0.2617958152958156,0.9998,0.7768630808080819,0.4057830409356761,0.0056,0.9998,0.728260818713455
AMPK,0.2554674891774891,0.8183019841269845,0.248,0.79674,0.3568,0.9738,0.3568,0.9737285714285714
ATM/ATR,0.430349761904762,0.5137777777777778,0.4002,0.45195520202020195,0.849377222222222,0.891,0.8202,0.8553611111111109
CDK2/4/6,0.5452694805194809,0.42867883116883104,0.602,0.5204603030303033,0.06656333333333332,0.0531,0.0834,0.0735172222222222
CDKN1A,0.3562138528138526,0.6361080735930734,0.2208,0.4222146969696966,0.7651805555555548,0.8952,0.5992,0.7014772222222215
CDKN2A,0.0,0.0,0.0,0.0,0.9990941520467838,0.9967,1.0,0.9989121971595656
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.8175393217893206,0.5643473232323225,0.9974,0.8313375252525251,0.00019035087719298244,0.0,0.0,0.0005073350041771094
EIF4EBP1,0.16382431457431446,0.7350433261183273,0.0002,0.43721777777777754,0.3739937426900567,0.9962,0.0002,0.5589919047619022
FOXO3,0.16136572871572866,0.41570299422799417,0.0694,0.22163909090909095,0.5433825146198821,0.7999,0.3528,0.5731989139515448
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.5390519841269835,0.3237468253968257,1.0,1.0,0.0,0.0,1.0,1.0
IKBKB,0.028516789321789294,0.029548232323232285,0.0024,0.06163691919191931,0.39661695906432404,0.0056,0.9998,0.7199277527151163
IL1B,0.028516789321789294,0.027850216450216438,0.0024,0.059325303030303145,0.39661695906432404,0.0054,0.9998,0.6836833082706724
IL6,0.028516789321789294,0.027850216450216438,0.0024,0.059325303030303145,0.39661695906432404,0.0054,0.9998,0.6836833082706724
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.7320693217893206,0.2614672438672442,1.0,0.7920630808080819,0.3515830409356751,0.0,1.0,0.6738608187134548
KRAS,0.7407452380952373,0.47938174603174594,0.8896,0.7382,0.594,0.3536,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9990941520467838,0.9967,1.0,0.9989121971595656
MAPK1,0.7059957431457431,0.639247222222222,0.7372,0.7109333333333331,0.7383777777777767,0.6014,0.9122,0.8240777777777768
MAPK14,0.0,0.0,0.0,0.0,0.9990941520467838,0.9967,1.0,0.9989121971595656
MDM2,0.7834099567099551,0.505711688311688,0.9998,0.8420730808080816,0.00019035087719298244,0.0,0.0,0.0005673350041771095
MTOR,0.8361756854256844,0.2649566738816737,0.9998,0.5627822222222225,0.626006257309945,0.0038,0.9998,0.44100809523809703
NAD+,0.5313447619047618,0.6941138888888888,0.5302,0.6872111111111111,0.5572,0.744,0.5572,0.744
NFKB1,0.028516789321789294,0.027850216450216438,0.0024,0.059325303030303145,0.39661695906432404,0.0054,0.9998,0.6836833082706724
NFKBIE,0.9714832106782092,0.9704517676767654,0.9976,0.938363080808082,0.6033830409356779,0.9944,0.0002,0.28007224728488006
PDK1,0.720897893217892,0.2617958152958156,0.9998,0.7768630808080819,0.4057830409356761,0.0056,0.9998,0.728260818713455
PIK3CA,0.720897893217892,0.2617958152958156,0.9998,0.7768630808080819,0.4057830409356761,0.0056,0.9998,0.728260818713455
PPARGC1A,0.8529626190476187,0.8629363997113997,0.8752,0.890830606060606,0.8319355555555563,0.861,0.8854,0.9020936507936511
PTEN,0.3648476190476194,0.5495375180375177,0.2786,0.4069190404040404,0.5662800000000008,0.7124,0.3342,0.43735365079365135
RB1,0.18246067821067796,0.4356526767676769,0.0026,0.1686624747474747,0.9998096491228069,1.0,1.0,0.999492664995823
RHEB,0.34022126262626257,0.2524094155844157,0.365,0.29500227272727275,0.3063941520467839,0.2186,0.3576,0.2730111111111112
ROS,0.23021785714285717,0.22066785714285717,0.2336,0.2284916666666667,0.6083741520467837,0.5929,0.62,0.6069344193817877
S6K1,0.8361756854256844,0.2649566738816737,0.9998,0.5627822222222225,0.626006257309945,0.0038,0.9998,0.44100809523809703
SGK1,0.6917926190476188,0.5738936507936507,0.7614,0.6991167676767679,0.6037274853801183,0.4994,0.7614,0.6864941520467847
SIRT1,0.5746190476190475,0.624906746031746,0.5744,0.6215611111111111,0.577,0.6424,0.577,0.6424
SOD2,0.5638700000000001,0.6239210317460318,0.5444,0.5813266666666668,0.6530758479532163,0.7161,0.6068,0.6596628028404342
TP53,0.14236155122655114,0.49665317460317493,0.0212,0.3419170707070707,0.9999055555555555,1.0,1.0,0.9997796825396825
TSC2,0.5068365295815292,0.7684921717171723,0.4344,0.6437546464646462,0.6148614035087705,0.8728,0.4624,0.7077444444444434
ULK1,0.11768582251082266,0.7296631673881685,0.0,0.48913505050505035,0.28117374269005807,0.9982,0.0002,0.6365884126984106
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
