,0,1,2,3,4,5,6,7
AKT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPK,0.283983983983984,0.8591591591591592,0.28313313313313315,0.8588088088088088,0.34954954954954953,0.9768768768768769,0.34954954954954953,0.9768768768768769
ATM/ATR,0.5050050050050048,0.5545045045045044,0.4974974974974974,0.5478978978978979,0.8698198198198198,0.890990990990991,0.8686186186186187,0.8882882882882883
CDK2/4/6,0.4213463463463463,0.38298298298298306,0.4232982982982983,0.3848348348348348,0.052402402402402404,0.0512012012012012,0.052702702702702706,0.0512012012012012
CDKN1A,0.6606356356356355,0.7516766766766766,0.6563313313313314,0.7474224224224224,0.8827327327327328,0.9009009009009009,0.8815315315315315,0.8996996996996997
CDKN2A,0.0,0.0,0.0,0.0,0.9984984984984985,0.9966966966966967,0.9984984984984985,0.9968468468468469
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.4161911911911912,0.43243243243243246,0.417092092092092,0.43368368368368365,0.00015015015015015014,0.0,0.00015015015015015014,0.0
EIF4EBP1,0.5658658658658658,0.924124124124124,0.5652652652652652,0.924124124124124,0.6147147147147147,1.0,0.6147147147147147,1.0
FOXO3,0.3775275275275275,0.5168918918918918,0.3638638638638639,0.5012762762762762,0.6636636636636637,0.8024024024024023,0.6516516516516516,0.7836336336336336
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.4165165165165165,0.25973473473473474,1.0,1.0,0.0003003003003003003,0.0,1.0,1.0
IKBKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSR,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897
IRS1,0.7093593593593593,0.21649149149149147,1.0,0.8384384384384385,0.5015015015015015,0.0,1.0,0.8384384384384385
KRAS,0.7050050050050051,0.45685685685685684,0.8831831831831832,0.7396396396396396,0.5933933933933934,0.36396396396396397,0.8831831831831832,0.7396396396396396
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9984984984984985,0.9966966966966967,0.9984984984984985,0.9968468468468469
MAPK1,0.6856856856856858,0.6226726726726726,0.7327327327327328,0.6963963963963964,0.6585585585585586,0.6042042042042042,0.7327327327327328,0.6963963963963964
MAPK14,0.0,0.0,0.0,0.0,0.9984984984984985,0.9966966966966967,0.9984984984984985,0.9968468468468469
MDM2,0.27397397397397394,0.3395145145145144,0.2729229229229229,0.3391641641641641,0.0,0.0,0.0,0.0
MTOR,0.43413413413413415,0.07587587587587587,0.4347347347347348,0.07587587587587587,0.3852852852852853,0.0,0.3852852852852853,0.0
NAD+,0.5386886886886887,0.7041291291291292,0.5386886886886887,0.7039289289289289,0.5543543543543543,0.7417417417417418,0.5543543543543543,0.7417417417417418
NFKB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFKBIE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PDK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPARGC1A,0.801001001001001,0.8579454454454455,0.801001001001001,0.8578453453453454,0.8054054054054054,0.8696696696696696,0.8054054054054054,0.8696696696696696
PTEN,0.3813313313313313,0.45620620620620617,0.3801301301301301,0.45490490490490487,0.5762762762762763,0.5765765765765766,0.5762762762762763,0.5765765765765766
RB1,0.5838088088088088,0.5675675675675677,0.5829079079079079,0.5663163163163163,0.9998498498498498,1.0,0.9998498498498498,1.0
RHEB,0.27677677677677676,0.22712712712712713,0.27677677677677676,0.22712712712712713,0.27087087087087086,0.21621621621621623,0.27087087087087086,0.21621621621621623
ROS,0.22432432432432434,0.2204704704704705,0.22522522522522523,0.22177177177177176,0.6081081081081081,0.5996996996996997,0.6093093093093093,0.6007507507507508
S6K1,0.43413413413413415,0.07587587587587587,0.4347347347347348,0.07587587587587587,0.3852852852852853,0.0,0.3852852852852853,0.0
SGK1,0.5003003003003003,0.5003003003003003,0.5003003003003003,0.5003003003003003,0.5003003003003003,0.5003003003003003,0.5003003003003003,0.5003003003003003
SIRT1,0.5855355355355355,0.6376126126126126,0.5855355355355355,0.6374124124124123,0.5864864864864865,0.6513513513513514,0.5864864864864865,0.6513513513513514
SOD2,0.6145645645645645,0.6481981981981982,0.6124124124124124,0.6449449449449449,0.6855855855855856,0.7186186186186186,0.6825825825825825,0.7118618618618618
TP53,0.3176176176176176,0.5681181181181182,0.3124124124124124,0.5648648648648649,0.9996996996996997,1.0,0.9996996996996997,1.0
TSC2,0.7134134134134135,0.8460960960960962,0.7128628628628629,0.8460960960960962,0.7288288288288288,0.878078078078078,0.7288288288288288,0.878078078078078
ULK1,0.4075075075075075,0.8971096096096096,0.4069069069069069,0.8969094094094094,0.4687687687687688,1.0,0.4687687687687688,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
