,0,1,2,3,4,5,6,7
AKT1,0.15165165165165165,0.1114114114114114,0.15195195195195196,0.1114114114114114,0.20960960960960962,0.20960960960960962,0.20960960960960962,0.20960960960960962
AMPK,0.2752752752752753,0.848073073073073,0.27492492492492493,0.8477227227227226,0.34954954954954953,0.9768768768768769,0.34954954954954953,0.9768768768768769
ATM/ATR,0.4901401401401402,0.5383633633633633,0.48548548548548537,0.5332582582582583,0.8614114114114114,0.8825825825825826,0.8605105105105105,0.8795795795795796
CDK2/4/6,0.4485485485485485,0.4036536536536537,0.45025025025025023,0.4050550550550551,0.05630630630630631,0.05540540540540541,0.05660660660660661,0.05540540540540541
CDKN1A,0.5911911911911911,0.6970720720720721,0.5884884884884884,0.6938688688688688,0.8274774774774775,0.8465465465465466,0.8256756756756757,0.8453453453453453
CDKN2A,0.0,0.0,0.0,0.0,0.9990990990990991,0.9978978978978978,0.9990990990990991,0.998048048048048
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.5083333333333334,0.4978728728728729,0.5095345345345346,0.49882382382382384,0.00015015015015015014,0.0,0.00015015015015015014,0.0
EIF4EBP1,0.48453453453453454,0.8502502502502501,0.48423423423423423,0.8502502502502501,0.4894894894894895,0.8831831831831832,0.4894894894894895,0.8831831831831832
FOXO3,0.33188188188188184,0.4753003003003003,0.32182182182182184,0.4617867867867868,0.606906906906907,0.7444444444444445,0.5945945945945946,0.725975975975976
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.44714714714714715,0.28998998998999,1.0,1.0,0.0003003003003003003,0.0,1.0,1.0
IKBKB,0.0003003003003003003,0.006606606606606606,0.0003003003003003003,0.006606606606606606,0.20960960960960962,0.20960960960960962,0.20960960960960962,0.20960960960960962
IL1B,0.0003003003003003003,0.006006006006006006,0.0003003003003003003,0.006006006006006006,0.20960960960960962,0.1987987987987988,0.20960960960960962,0.1987987987987988
IL6,0.0003003003003003003,0.006006006006006006,0.0003003003003003003,0.006006006006006006,0.20960960960960962,0.1987987987987988,0.20960960960960962,0.1987987987987988
INSR,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897
IRS1,0.7255755755755754,0.2403903903903904,1.0,0.8369369369369369,0.44294294294294295,0.0,1.0,0.7792792792792793
KRAS,0.7148148148148149,0.4687687687687688,0.8831831831831832,0.7396396396396396,0.5933933933933934,0.36396396396396397,0.8831831831831832,0.7396396396396396
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9990990990990991,0.9978978978978978,0.9990990990990991,0.998048048048048
MAPK1,0.6900900900900899,0.6273273273273272,0.7327327327327328,0.696996996996997,0.7,0.6477477477477478,0.7651651651651652,0.7303303303303303
