,"pik3ca, pten: (00, 01, 10, 11)"
0,1011
1,0011
2,0011
3,1011
4,0011
5,1011
6,0011
7,0011
8,1011
9,1011
10,0010
11,0010
12,0010
13,1011
14,0011
15,0011
16,0011
17,1011
18,0010
19,0011
20,0011
21,0011
22,0010
23,0010
24,0010
25,1011
26,1011
27,0010
28,0011
29,1011
30,0011
31,0011
32,1011
33,1011
34,1011
35,0010
36,0011
37,1011
38,0011
39,0011
40,1011
41,1011
42,0011
43,0011
44,0011
45,0011
46,1011
47,1011
48,1011
49,0011
50,0011
51,1011
52,0010
53,0011
54,0011
55,1011
56,0011
57,0011
58,0010
59,0011
60,0011
61,1011
62,1011
63,0010
64,0011
65,0010
66,0011
67,1011
68,0011
69,0010
70,0011
71,0011
72,0010
73,1011
74,1011
75,0011
76,0011
77,1011
78,0010
79,0010
80,0011
81,1011
82,0011
83,0011
84,0010
85,0011
86,1011
87,1011
88,1011
89,1011
90,0010
91,1011
92,0011
93,0011
94,1011
95,1011
96,0010
97,1011
98,1011
99,1011
100,0010
101,0011
102,1011
103,1011
104,1011
105,0010
106,0011
107,0010
108,0011
109,0011
110,0011
111,1011
112,1011
113,1011
114,0011
115,1011
116,0010
117,1011
118,0011
119,1011
120,1011
121,0010
122,1011
123,0011
124,1011
125,0010
126,0011
127,0010
128,0011
129,0011
130,0011
131,0010
132,0010
133,0011
134,0010
135,0010
136,1011
137,1011
138,0011
139,1011
140,0011
141,0011
142,0010
143,1011
144,0011
145,1011
146,1011
147,0011
148,0010
149,1011
150,0011
151,1011
152,0011
153,0011
154,1011
155,1011
156,1011
157,0011
158,0011
159,1011
160,0011
161,0011
162,1011
163,0011
164,0011
165,0011
166,0010
167,0011
168,0010
169,1011
170,0011
171,0010
172,0011
173,0011
174,0010
175,0010
176,0011
177,0011
178,0011
179,0011
180,0010
181,1011
182,0010
183,1011
184,1011
185,1011
186,1011
187,0011
188,1011
189,1011
190,0010
191,0010
192,0010
193,1011
194,0010
195,1011
196,0011
197,0011
198,0010
199,0010
200,1011
201,0010
202,0011
203,0011
204,0011
205,1011
206,0011
207,1011
208,0011
209,1011
210,0011
211,0011
212,0011
213,1011
214,0010
215,0010
216,1011
217,1011
218,1011
219,1011
220,0011
221,0011
222,1011
223,0011
224,0011
225,1011
226,1011
227,0010
228,1011
229,1011
230,0010
231,1011
232,0010
233,0011
234,0011
235,1011
236,0011
237,0010
238,0011
239,0011
240,0011
241,1011
242,0010
243,0010
244,1011
245,1011
246,0010
247,0011
248,0011
249,1011
250,0011
251,1011
252,1011
253,0011
254,0011
255,0011
256,0010
257,0011
258,1011
259,1011
260,1011
261,1011
262,0010
263,1011
264,0010
265,0011
266,1011
267,0011
