,"pik3ca, pten: (00, 01, 10, 11)"
0,0011
1,1011
2,0010
3,0010
4,0010
5,1011
6,0011
7,0010
8,0011
9,0011
10,0010
11,0010
12,0010
13,1011
14,0010
15,0011
16,1011
17,1011
18,0010
19,0011
20,0011
21,0011
22,0011
23,0011
24,1011
25,0011
26,0011
27,0010
28,0011
29,0011
30,0011
31,0011
32,0010
33,0011
34,1011
35,0010
36,0010
37,0011
38,0011
39,0010
40,0011
41,0010
42,1011
43,0011
44,0010
45,0010
46,1011
47,0011
48,0011
49,0010
50,0011
51,0010
52,0011
53,1011
54,0010
55,1011
56,1011
57,1011
58,0010
59,0011
60,0010
61,0011
62,0010
63,0011
64,0011
65,1011
66,0010
67,1011
68,0010
69,1011
70,0010
71,0011
72,0010
73,0011
74,0011
75,0011
76,0010
77,0010
78,0011
79,0010
80,0010
81,1011
82,1011
83,0011
84,0011
85,0010
86,0010
87,1011
88,1011
89,0011
90,0011
91,1011
92,0011
93,0011
94,0011
95,1011
96,0011
97,0011
98,0011
99,0010
100,0010
101,1011
102,0011
103,0010
104,0011
105,0011
106,0010
107,0010
108,0011
109,0011
110,0011
111,0010
112,1011
113,0010
114,0011
115,1011
116,1011
117,0010
118,0010
119,0010
120,1011
121,0010
122,1011
123,0011
124,0011
125,0010
126,0010
127,1011
128,0010
129,0011
130,0011
131,0011
132,0011
133,0011
134,0010
135,0010
136,1011
137,1011
138,0011
139,0011
140,0011
141,1011
142,0010
143,1011
144,0010
145,0010
146,0010
147,0011
148,0011
149,0010
150,0010
151,0010
152,0011
153,0011
154,0011
155,1011
156,0011
157,0011
158,0010
159,0011
160,0010
161,1011
162,0010
163,0010
164,1011
165,0010
166,1011
167,1011
168,0011
169,0010
170,0011
171,0010
172,0010
173,1011
174,0011
175,0011
176,0011
177,0010
178,0011
179,0010
180,0010
181,0011
182,0010
183,0010
184,0010
185,0011
186,0011
187,0010
188,0011
189,0011
190,0010
191,1011
192,1011
193,1011
194,0011
195,0010
196,0010
197,0011
198,0010
199,0010
200,0010
201,0011
202,0011
203,0010
204,0011
205,0011
206,0011
207,0010
208,0011
209,0010
210,0011
211,0010
212,1011
213,1011
214,1011
215,0010
216,0011
217,0011
218,0010
219,1011
220,0011
221,0010
222,0011
223,1011
224,0010
225,0010
226,1011
227,0010
228,0011
229,0011
230,0010
231,0011
232,0011
233,0011
234,0010
235,0011
236,0010
237,0011
238,0010
239,0011
240,0010
241,0011
242,1011
243,1011
244,0010
245,0010
246,0011
247,0010
248,1011
249,0011
250,0010
251,0011
252,0011
253,0011
254,0010
255,0011
256,1011
257,0010
258,0011
259,0011
260,0011
261,0011
262,0011
