,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.720897893217892,0.2617958152958156,0.9998,0.7768630808080819,0.4057830409356761,0.0056,0.9998,0.728260818713455
AKT1,0.720897893217892,0.2617958152958156,0.9998,0.7768630808080819,0.4057830409356761,0.0056,0.9998,0.728260818713455
IKBKB,0.028516789321789294,0.029548232323232285,0.0024,0.06163691919191931,0.39661695906432404,0.0056,0.9998,0.7199277527151163
PTEN,0.3648476190476194,0.5495375180375177,0.2786,0.4069190404040404,0.5662800000000008,0.7124,0.3342,0.43735365079365135
E2F1,0.8175393217893206,0.5643473232323225,0.9974,0.8313375252525251,0.00019035087719298244,0.0,0.0,0.0005073350041771094
EIF4EBP1,0.16382431457431446,0.7350433261183273,0.0002,0.43721777777777754,0.3739937426900567,0.9962,0.0002,0.5589919047619022
IL1B,0.028516789321789294,0.027850216450216438,0.0024,0.059325303030303145,0.39661695906432404,0.0054,0.9998,0.6836833082706724
IL6,0.028516789321789294,0.027850216450216438,0.0024,0.059325303030303145,0.39661695906432404,0.0054,0.9998,0.6836833082706724
S6K1,0.8361756854256844,0.2649566738816737,0.9998,0.5627822222222225,0.626006257309945,0.0038,0.9998,0.44100809523809703
ULK1,0.11768582251082266,0.7296631673881685,0.0,0.48913505050505035,0.28117374269005807,0.9982,0.0002,0.6365884126984106
