,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.7159370084370082,0.26573922407255807,0.9996996996996997,0.7812628537628545,0.39517851184517944,0.008408408408408409,0.9996996996996997,0.7347180513847219
AKT1,0.7159370084370082,0.26573922407255807,0.9996996996996997,0.7812628537628545,0.39517851184517944,0.008408408408408409,0.9996996996996997,0.7347180513847219
IKBKB,0.026203942037275406,0.0302114885448219,0.0024024024024024023,0.061980389480389544,0.38620286953620214,0.008408408408408409,0.9996996996996997,0.7263930597263891
PTEN,0.1795623003956337,0.3738896905563575,0.0912912912912913,0.21276048776048775,0.3487687687687688,0.5681681681681682,0.0003003003003003003,0.15531865198531855
E2F1,0.8175283616950274,0.5684328700995368,0.9972972972972973,0.834597021263688,0.00010010010010010009,0.0,0.0,0.00041708375041708373
EIF4EBP1,0.16461139711139727,0.7327453535786866,0.0003003003003003003,0.43512315345648667,0.3738938938938933,0.9942942942942943,0.0003003003003003003,0.5555655655655638
IL1B,0.026203942037275406,0.028302436635769996,0.0024024024024024023,0.06010692510692517,0.38620286953620214,0.008108108108108109,0.9996996996996997,0.690690690690687
IL6,0.026203942037275406,0.028302436635769996,0.0024024024024024023,0.06010692510692517,0.38620286953620214,0.008108108108108109,0.9996996996996997,0.690690690690687
S6K1,0.8353886028886025,0.26725464642131336,0.9996996996996997,0.5648768465435137,0.6261061061061083,0.005705705705705706,0.9996996996996997,0.4444344344344357
ULK1,0.1191212641212642,0.726922864422864,0.0,0.48953097036430354,0.2836052719386055,0.9972972972972973,0.0003003003003003003,0.6380046713380029
