,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.11396333333333336,0.08316666666666668,0.11416333333333337,0.08316666666666668,0.1396,0.1396,0.1396,0.1396
AKT1,0.11396333333333336,0.08316666666666668,0.11416333333333337,0.08316666666666668,0.1396,0.1396,0.1396,0.1396
IKBKB,0.00101,0.005279999999999998,0.00101,0.005279999999999998,0.1396,0.1396,0.1396,0.1396
PTEN,0.48717000000000016,0.5618166666666667,0.4865366666666668,0.5610833333333335,0.5782,0.5784,0.5782,0.5784
E2F1,0.48259666666666673,0.4806449999999998,0.48356333333333335,0.4817783333333331,0.0001,0.0,0.0001,0.0
EIF4EBP1,0.5212733333333334,0.8724133333333332,0.5210733333333334,0.8721133333333332,0.5484,0.9222,0.5484,0.9222
IL1B,0.00101,0.004879999999999999,0.00101,0.004879999999999999,0.1396,0.1324,0.1396,0.1324
IL6,0.00101,0.004879999999999999,0.00101,0.004879999999999999,0.1396,0.1324,0.1396,0.1324
S6K1,0.47872666666666663,0.1275866666666667,0.47892666666666667,0.1278866666666667,0.4516,0.0778,0.4516,0.0778
ULK1,0.3734983333333334,0.85321,0.3732983333333334,0.8527766666666666,0.4196,0.9366,0.4196,0.9366
