,0,1,2,3,4,5,6,7
AKT1,0.5445673376623376,0.18586645021645068,0.7586,0.5844103030303038,0.30866081871345197,0.0,0.7586,0.5474497076023428
AMPK,0.26265677489177486,0.8300948412698416,0.25705,0.81464,0.3568,0.9738,0.3568,0.9737285714285714
ATM/ATR,0.4477563492063492,0.5227365079365079,0.42305,0.47399409090909084,0.8540305555555553,0.8914,0.8301,0.8616722222222223
CDK2/4/6,0.5196507503607506,0.4180784343434342,0.5627,0.4888925252525254,0.06384944444444443,0.0529,0.0769,0.06822833333333334
CDKN1A,0.42468615440115426,0.6670798989898987,0.3213,0.5010324747474745,0.791511666666666,0.897,0.6653,0.7534477777777773
CDKN2A,0.0,0.0,0.0,0.0,0.9986941520467837,0.9966,0.9996,0.9985010860484544
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.7243888455988449,0.528453672438672,0.8652666666666667,0.7363725252525253,0.00029035087719298246,0.0,0.0001,0.0004406683375104428
EIF4EBP1,0.2591191558441555,0.7882929292929304,0.13145,0.5586827777777775,0.4326415204678345,1.0,0.1454,0.6712396825396804
FOXO3,0.20941676046176036,0.44214426406926377,0.13514999999999996,0.2857618686868687,0.57099029239766,0.8016,0.4196,0.620891136173767
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.5127908730158727,0.3087357142857143,1.0,1.0,0.0002,0.0,1.0,1.0
IKBKB,0.023794567099567118,0.022285533910533912,0.0018,0.04838969696969705,0.30093918128654823,0.0,0.7586,0.5403388638262288
IL1B,0.023794567099567118,0.02121608946608947,0.0018,0.046678080808080884,0.30093918128654823,0.0,0.7586,0.5142833082706734
IL6,0.023794567099567118,0.02121608946608947,0.0018,0.046678080808080884,0.30093918128654823,0.0,0.7586,0.5142833082706734
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.7271292424242415,0.25117002164502167,1.0,0.8014103030303039,0.38826081871345314,0.0,1.0,0.7130497076023433
KRAS,0.7352452380952377,0.4727460317460317,0.8896,0.7382,0.594,0.3536,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9986941520467837,0.9966,0.9996,0.9985010860484544
MAPK1,0.7039413780663781,0.6358972222222221,0.7372,0.7087055555555553,0.7185333333333324,0.6006,0.8722,0.7963666666666659
MAPK14,0.0,0.0,0.0,0.0,0.9986941520467837,0.9966,0.9996,0.9985010860484544
MDM2,0.6629849567099557,0.45873946608946636,0.8319,0.7220203030303036,0.00019035087719298244,0.0,0.0,0.0005006683375104428
MTOR,0.7408808441558434,0.21170707070707095,0.86855,0.4413172222222225,0.5673584795321663,0.0,0.8546,0.32876031746031825
NAD+,0.5337447619047618,0.6978603174603174,0.5329,0.6926111111111112,0.5572,0.744,0.5572,0.744
NFKB1,0.023794567099567118,0.02121608946608947,0.0018,0.046678080808080884,0.30093918128654823,0.0,0.7586,0.5142833082706734
NFKBIE,0.9762054329004318,0.9777144660894644,0.9982,0.951610303030304,0.699060818713455,1.0,0.2414,0.45966113617377086
PDK1,0.5445673376623376,0.18586645021645068,0.7586,0.5844103030303038,0.30866081871345197,0.0,0.7586,0.5474497076023428
PIK3CA,0.7165673376623367,0.2514664502164502,0.9998,0.7856103030303039,0.4260608187134535,0.0056,0.9998,0.7486497076023434
PPARGC1A,0.8408911904761901,0.8593756854256853,0.85875,0.8819556060606061,0.8249177777777784,0.8604,0.8672,0.8929825396825399
PTEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RB1,0.27561115440115436,0.4715463275613278,0.13473333333333332,0.2636274747474749,0.9997096491228069,1.0,0.9999,0.9995593316624894
RHEB,0.3238641197691198,0.2450379870129871,0.3426,0.27870227272727277,0.2984274853801171,0.2178,0.3366,0.25867777777777784
ROS,0.22861785714285715,0.21981428571428568,0.2316,0.2265166666666667,0.606916374269006,0.5928,0.6158,0.6038233082706768
S6K1,0.7408808441558434,0.21170707070707095,0.86855,0.4413172222222225,0.5673584795321663,0.0,0.8546,0.32876031746031825
SGK1,0.6435275396825395,0.5527757936507939,0.696,0.6494223232323234,0.5779608187134512,0.4976,0.696,0.6399163742690067
SIRT1,0.5749190476190476,0.6265103174603174,0.5748,0.6241361111111111,0.577,0.6424,0.577,0.6424
SOD2,0.5736178571428571,0.6302210317460317,0.5587,0.5961494444444445,0.6594336257309941,0.7166,0.6252,0.6712072472848788
TP53,0.17984099567099535,0.5155476190476194,0.08295,0.39546707070707077,0.9997055555555555,1.0,0.9998,0.9997796825396825
TSC2,0.5572940692640693,0.789585822510823,0.5027,0.6940018686868685,0.6421614035087707,0.8738,0.5278,0.7486777777777768
ULK1,0.18480129870129866,0.7764532467532477,0.09365,0.5896111616161616,0.32651485380116896,1.0,0.1114,0.7281028571428553
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
