,0,1,2,3,4,5,6,7
AKT1,0.7137071595404929,0.3148413456746793,0.9119934219934206,0.6674513241179907,0.2496395905709625,0.0,0.6378003003003003,0.4632573750220823
AMPK,0.2586658086658086,0.8296803946803946,0.25487487487487487,0.8201436051436054,0.34954954954954953,0.9768768768768769,0.34954954954954953,0.9768768768768769
ATM/ATR,0.4421614471614473,0.5191926450259783,0.41617474617474626,0.47347073263739936,0.8573302469135801,0.890990990990991,0.8406343843843844,0.86675008341675
CDK2/4/6,0.5367729634396302,0.4358674908674907,0.5757957957957957,0.49528247944914616,0.05873645704528057,0.0512012012012012,0.06890015015015015,0.06322636361852049
CDKN1A,0.3625277658610992,0.6156565331565332,0.2725125125125124,0.47399679983013304,0.8123629757208182,0.9009009009009009,0.706174924924925,0.7838799093210854
CDKN2A,0.0,0.0,0.0,0.0,0.9990723566703957,0.9966966966966967,0.999512012012012,0.9982924100571159
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.8112023928690589,0.5974135607468942,0.9274188474188466,0.7715796190796189,0.0002572425366543014,0.0,0.00016891891891891893,0.00030520716795226597
EIF4EBP1,0.17592390009056683,0.7082249565582897,0.06239096239096245,0.5071856513523182,0.46192221633398023,1.0,0.21831831831831833,0.7240743684861315
FOXO3,0.1739777873111207,0.40844825344825325,0.10091949091949089,0.26721189804523143,0.5919995485681754,0.8024024024024023,0.46565315315315314,0.651120336022296
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.517200772200772,0.31983614566947915,1.0,1.0,0.00026276276276276277,0.0,1.0,1.0
IKBKB,0.022081724581724606,0.026903256069922783,0.007626197626197616,0.05083719333719336,0.24264423737463017,0.0,0.6376313813813814,0.45674792439498185
IL1B,0.022081724581724606,0.025425349592016304,0.007626197626197616,0.049207486707486724,0.24264423737463017,0.0,0.6376313813813814,0.4363441873245783
IL6,0.022081724581724606,0.025425349592016304,0.007626197626197616,0.049207486707486724,0.24264423737463017,0.0,0.6376313813813814,0.4363441873245783
INSR,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897
IRS1,0.7326887601887603,0.2599725483058818,1.0,0.8051902626902632,0.40307648334609186,0.0,1.0,0.737396219749164
KRAS,0.7310549835549836,0.4813283521616855,0.8831831831831832,0.7396396396396396,0.5933933933933934,0.36396396396396397,0.8831831831831832,0.7396396396396396
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9990723566703957,0.9966966966966967,0.999512012012012,0.9982924100571159
MAPK1,0.6989757614757617,0.6348399590066258,0.7339339339339339,0.7054854854854854,0.7041207874541201,0.6042042042042042,0.8462462462462462,0.7776776776776769
MAPK14,0.0,0.0,0.0,0.0,0.9990723566703957,0.9966966966966967,0.999512012012012,0.9982924100571159
MDM2,0.7784042375709035,0.5497475614142286,0.9178993278993266,0.7681244972911636,0.00016339869281045753,0.0,7.507507507507507e-05,0.00030520716795226597
MTOR,0.8240760999094332,0.29177504344171024,0.9376090376090368,0.4928143486476818,0.5380777836660203,0.0,0.7816816816816817,0.27592563151386645
NAD+,0.5324538824538825,0.6964264264264263,0.531981981981982,0.6922807422807423,0.5543543543543543,0.7417417417417418,0.5543543543543543,0.7417417417417418
NFKB1,0.022081724581724606,0.025425349592016304,0.007626197626197616,0.049207486707486724,0.24264423737463017,0.0,0.6376313813813814,0.4363441873245783
NFKBIE,0.9779182754182767,0.9730967439300774,0.9923738023738027,0.9491628066628082,0.7573557626253741,1.0,0.36236861861861863,0.5432520756050189
PDK1,0.7137071595404929,0.3148413456746793,0.9119934219934206,0.6674513241179907,0.2496395905709625,0.0,0.6378003003003003,0.4632573750220823
PIK3CA,0.7243933218933224,0.2638353396686732,0.9996996996996997,0.7934785509785516,0.4256177746373836,0.008408408408408409,0.9996996996996997,0.7653241476770922
PPARGC1A,0.8604064779064781,0.8739416797750129,0.8750450450450451,0.892199892199892,0.8316232899566237,0.8696696696696696,0.8648648648648649,0.893526860193527
PTEN,0.17171564421564423,0.4927106868773529,0.10392249392249381,0.4053594378594381,0.9997019077901431,1.0,0.9997372372372373,0.9999646705529058
RB1,0.18879760713094043,0.4025864392531058,0.07258115258115264,0.2284203809203808,0.9997427574633456,1.0,0.9998310810810811,0.9996947928320477
RHEB,0.34022308022308034,0.2543995943995944,0.3584384384384384,0.28246158496158497,0.29198401833205745,0.21621621621621623,0.327759009009009,0.25122867966005213
