,0,1,2,3,4,5,6,7
AKT1,0.598872777777778,0.35032343434343455,0.7586,0.5813656565656572,0.585460818713452,0.3320666666666678,0.7586,0.551371929824565
AMPK,0.2268,0.6662,0.2268,0.6662,0.2268,0.6662,0.2268,0.6662
ATM/ATR,0.44035555555555556,0.49716722222222215,0.4228,0.4671583333333333,0.8354022222222222,0.8643883333333333,0.8254,0.8521827777777776
CDK2/4/6,0.5473527777777779,0.4936773232323235,0.5726,0.5322439898989902,0.13944222222222222,0.11460055555555555,0.1538,0.13364499999999999
CDKN1A,0.3587722222222221,0.4857476767676765,0.3002,0.3942560101010098,0.44145499999999976,0.563204444444444,0.378,0.48322388888888834
CDKN2A,0.0,0.0,0.0,0.0,0.9991274853801171,0.9978333333333333,0.9996,0.9986497076023392
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.7608833333333334,0.5882695454545454,0.8636,0.727091212121212,0.04222923976608187,0.028224444444444448,0.0498,0.040164795321637435
EIF4EBP1,0.20672444444444446,0.6043040404040401,0.1204,0.4661318181818179,0.21433040935672512,0.6144999999999987,0.1204,0.4837626315789456
FOXO3,0.18725555555555556,0.36111878787878793,0.1328,0.26859878787878794,0.4554941812865495,0.6262483333333329,0.3957,0.5575280701754378
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.6142,0.6142,1.0,1.0,0.6142,0.6142,1.0,1.0
IKBKB,0.013527222222222218,0.02437656565656565,0.0,0.039134343434343466,0.547439181286548,0.3073533333333324,0.7139,0.5102480701754354
IL1B,0.013527222222222218,0.02370156565656565,0.0,0.03808434343434347,0.547439181286548,0.29769777777777706,0.7139,0.49559251461987985
IL6,0.013527222222222218,0.02370156565656565,0.0,0.03808434343434347,0.547439181286548,0.29769777777777706,0.7139,0.49559251461987985
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.7962727777777779,0.48672343434343474,1.0,0.7997656565656573,0.7630608187134522,0.4382666666666685,1.0,0.7199719298245653
KRAS,0.7716,0.5848,0.8896,0.7382,0.7716,0.5848,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9991274853801171,0.9978333333333333,0.9996,0.9986497076023392
MAPK1,0.7101527777777777,0.6662394444444443,0.7372,0.7076449999999999,0.8066666666666663,0.7168666666666661,0.8641,0.7924999999999993
MAPK14,0.0,0.0,0.0,0.0,0.9991274853801171,0.9978333333333333,0.9996,0.9986497076023392
MDM2,0.6910283333333335,0.48687676767676796,0.8192,0.6696656565656571,0.0002070175438596491,0.00014444444444444444,0.0,0.0003847953216374269
MTOR,0.7932755555555557,0.3956959595959597,0.8796,0.5338681818181821,0.785669590643276,0.3855000000000009,0.8796,0.5162373684210545
NAD+,0.5264,0.6524,0.5264,0.6524,0.5264,0.6524,0.5264,0.6524
NFKB1,0.013527222222222218,0.02370156565656565,0.0,0.03808434343434347,0.547439181286548,0.29769777777777706,0.7139,0.49559251461987985
NFKBIE,0.986472777777778,0.9756234343434348,1.0,0.9608656565656573,0.45256081871345166,0.6926466666666692,0.2861,0.48975192982456445
PDK1,0.598872777777778,0.35032343434343455,0.7586,0.5813656565656572,0.585460818713452,0.3320666666666678,0.7586,0.551371929824565
PIK3CA,0.791672777777778,0.47692343434343476,0.9998,0.7825656565656574,0.7782608187134523,0.4586666666666686,0.9998,0.7525719298245652
PPARGC1A,0.8447166666666668,0.858424494949495,0.856,0.8745994949494951,0.8437622222222224,0.8574000000000002,0.856,0.8730444444444447
PTEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RB1,0.2391166666666667,0.41173045454545465,0.1364,0.27290878787878803,0.957770760233918,0.9717755555555555,0.9502,0.9598352046783625
RHEB,0.3335694444444445,0.2734772727272727,0.3464,0.29062449494949494,0.33214970760233925,0.2718666666666667,0.3464,0.2880608187134503
ROS,0.229875,0.2232333333333333,0.232,0.22620833333333332,0.6130802631578949,0.6017222222222222,0.6166,0.6071608187134503
S6K1,0.7932755555555557,0.3956959595959597,0.8796,0.5338681818181821,0.785669590643276,0.3855000000000009,0.8796,0.5162373684210545
SGK1,0.6574972222222223,0.5933077777777779,0.696,0.6491383333333335,0.6545608187134507,0.5885111111111115,0.696,0.64164970760234
SIRT1,0.5744,0.611,0.5744,0.611,0.5744,0.611,0.5744,0.611
SOD2,0.5689416666666667,0.6119944444444444,0.5584,0.5923222222222223,0.633372514619883,0.6766083333333333,0.6191,0.6578002923976606
TP53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC2,0.5341194444444444,0.7080588383838382,0.495,0.6537782828282825,0.5380502923976602,0.7129555555555549,0.495,0.6613391812865488
ULK1,0.13897444444444446,0.5790095959595958,0.0814,0.46983459595959576,0.14469818713450297,0.5866666666666658,0.0814,0.48345152046783507
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
