,0,1,2,3,4,5,6,7
AKT1,0.8379846513179848,0.600474717141384,1.0,0.8279271695938367,0.8252419085752433,0.5799466132799479,1.0,0.7966132799466159
AMPK,0.21981981981981982,0.6681681681681682,0.21981981981981982,0.6681681681681682,0.21981981981981982,0.6681681681681682,0.21981981981981982,0.6681681681681682
ATM/ATR,0.42375375375375374,0.47724891558224897,0.4066066066066066,0.446951951951952,0.8289289289289289,0.8581539873206538,0.8204204204204204,0.8469094094094093
CDK2/4/6,0.5743435101768436,0.5257933691267025,0.6009009009009009,0.5673557648557651,0.15642642642642643,0.13172422422422422,0.16996996996996996,0.14664581247914577
CDKN1A,0.270663997330664,0.3914363606030273,0.21081081081081082,0.29946105196105205,0.3565448782115449,0.4794703036369699,0.29219219219219217,0.3961928595261926
CDKN2A,0.0,0.0,0.0,0.0,0.9996996996996997,0.9985151818485152,1.0,0.9991157824491158
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.9043401735068403,0.7462880304546969,1.0,0.8756674098340763,0.052402402402402404,0.039439439439439436,0.06036036036036036,0.04814814814814814
EIF4EBP1,0.08554721388054723,0.46640921224254556,0.0,0.3346190887857554,0.09116282949616289,0.47780113446780054,0.0,0.35179679679679654
FOXO3,0.12035035035035034,0.2764196772530106,0.06546546546546547,0.1892199775533109,0.39629462796129455,0.5673314981648312,0.33903903903903904,0.4984868201534864
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.6156156156156156,0.6156156156156156,1.0,1.0,0.6156156156156156,0.6156156156156156,1.0,1.0
IKBKB,0.010964297630964296,0.026552309885643215,0.0,0.0402409985743319,0.7740073406740061,0.5431765098431753,0.9396396396396396,0.745128461795126
IL1B,0.010964297630964296,0.02587663420996754,0.0,0.03915240998574331,0.7740073406740061,0.5288121454788111,0.9396396396396396,0.7265765765765743
IL6,0.010964297630964296,0.02587663420996754,0.0,0.03915240998574331,0.7740073406740061,0.5288121454788111,0.9396396396396396,0.7265765765765743
INSR,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897
IRS1,0.7938405071738406,0.4899642066308734,1.0,0.7999992416659087,0.7393560226893573,0.40637303970637373,1.0,0.6617784451117806
KRAS,0.7639639639639639,0.5864864864864865,0.8831831831831832,0.7396396396396396,0.7639639639639639,0.5864864864864865,0.8831831831831832,0.7396396396396396
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9996996996996997,0.9985151818485152,1.0,0.9991157824491158
MAPK1,0.7041499833166499,0.662675175175175,0.7327327327327328,0.704254254254254,0.8420420420420419,0.7571404738071401,0.8963963963963963,0.8276443109776437
MAPK14,0.0,0.0,0.0,0.0,0.9996996996996997,0.9985151818485152,1.0,0.9991157824491158
MDM2,0.878591925258592,0.6905147571814241,1.0,0.8590416173749509,0.0,0.00010010010010010009,0.0,0.00025025025025025025
MTOR,0.9144527861194529,0.5335907877574545,1.0,0.6653809112142448,0.9088371705038379,0.5221988655321996,1.0,0.6482032032032043
NAD+,0.5237237237237238,0.648948948948949,0.5237237237237238,0.648948948948949,0.5237237237237238,0.648948948948949,0.5237237237237238,0.648948948948949
NFKB1,0.010964297630964296,0.02587663420996754,0.0,0.03915240998574331,0.7740073406740061,0.5288121454788111,0.9396396396396396,0.7265765765765743
NFKBIE,0.9890357023690359,0.9734476901143572,1.0,0.9597590014256685,0.2259926593259925,0.4568234901568243,0.06036036036036036,0.2548715382048711
PDK1,0.8379846513179848,0.600474717141384,1.0,0.8279271695938367,0.8252419085752433,0.5799466132799479,1.0,0.7966132799466159
PIK3CA,0.7896363029696364,0.4824566991233659,0.9996996996996997,0.7858851275517946,0.7612779446112792,0.44240907574240995,0.9996996996996997,0.7197364030697387
PPARGC1A,0.8686186186186187,0.8804429429429429,0.878078078078078,0.8917792792792792,0.8678845512178845,0.8796713380046713,0.878078078078078,0.8908491825158493
PTEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB1,0.09565982649315984,0.25371196954530284,0.0,0.12433259016592349,0.9475975975975977,0.9605605605605606,0.9396396396396396,0.951851851851852
RHEB,0.3555930930930931,0.2927211302211302,0.36936936936936937,0.30977985561318894,0.3544878211544878,0.29120787454120783,0.36936936936936937,0.3078411745078411
ROS,0.23303303303303302,0.22713963963963965,0.23513513513513515,0.2308933933933934,0.622484984984985,0.6136803470136803,0.6258258258258258,0.618335001668335
S6K1,0.9144527861194529,0.5335907877574545,1.0,0.6653809112142448,0.9088371705038379,0.5221988655321996,1.0,0.6482032032032043
SGK1,0.720357857857858,0.6547213880547215,0.760960960960961,0.7075617283950619,0.7175675675675678,0.6490323656990327,0.760960960960961,0.6997997997998002
SIRT1,0.5840840840840841,0.6192192192192192,0.5840840840840841,0.6192192192192192,0.5840840840840841,0.6192192192192192,0.5840840840840841,0.6192192192192192
SOD2,0.5580255255255255,0.5958875542208876,0.5441441441441441,0.5738905572238906,0.618506006006006,0.6628420086753419,0.6028528528528528,0.6437228895562227
TP53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC2,0.47120870870870873,0.6570035945035945,0.4306306306306306,0.6016816058482723,0.4747080413747078,0.6623957290623953,0.4306306306306306,0.6093259926593253
ULK1,0.06144394394394395,0.47620233870233875,0.0,0.36925789425789424,0.06585418752085422,0.4854671338004667,0.0,0.3834200867534197
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
