,0,1,2,3,4,5,6,7
AKT1,0.7685126118326104,0.33319901875901914,1.0,0.8035394949494957,0.48714970760234266,0.1452,1.0,0.7632274853801209
AMPK,0.2541788961038961,0.8154952380952384,0.248,0.7958294444444445,0.3568,0.9738,0.3568,0.9737285714285714
ATM/ATR,0.4254707936507936,0.5059590476190475,0.4002,0.44928166666666663,0.8467194444444441,0.8854,0.8202,0.8547833333333332
CDK2/4/6,0.5537333261183265,0.4422159235209233,0.602,0.5257033333333336,0.06783,0.0559,0.0834,0.07391722222222222
CDKN1A,0.3327109595959594,0.6007852669552667,0.2208,0.408438333333333,0.745730555555555,0.859,0.5992,0.6913599999999995
CDKN2A,0.0,0.0,0.0,0.0,0.9992052631578947,0.9975,1.0,0.9988899749373433
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.8515708658008653,0.6086295743145735,0.9976,0.8513250505050505,0.0001236842105263158,0.0,0.0,0.0003740016708437761
EIF4EBP1,0.1372989682539683,0.6876190115440127,0.0,0.4180820202020198,0.3228670760233907,0.9184,0.0,0.5395330158730138
FOXO3,0.1465438888888889,0.3918484415584415,0.0694,0.21307237373737375,0.5211141812865491,0.7613,0.3528,0.5641016917293228
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.5527396825396819,0.34273293650793685,1.0,1.0,0.0,0.0,1.0,1.0
IKBKB,0.023471911976912004,0.031299473304473246,0.0024,0.054898282828282935,0.4798502923976575,0.1452,1.0,0.7565610860484506
IL1B,0.023471911976912004,0.029339949494949467,0.0024,0.05268161616161625,0.4798502923976575,0.1378,1.0,0.7179944193817842
IL6,0.023471911976912004,0.029339949494949467,0.0024,0.05268161616161625,0.4798502923976575,0.1378,1.0,0.7179944193817842
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.7479327705627695,0.27862036796536815,1.0,0.7995017171717179,0.33634970760234106,0.0,1.0,0.6604274853801204
KRAS,0.7461738095238089,0.48648611111111095,0.8896,0.7382,0.594,0.3536,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9992052631578947,0.9975,1.0,0.9988899749373433
MAPK1,0.7062767532467532,0.6409610317460316,0.7372,0.7095861111111109,0.7565666666666658,0.6304,0.9122,0.8312999999999993
MAPK14,0.0,0.0,0.0,0.0,0.9992052631578947,0.9975,1.0,0.9988899749373433
MDM2,0.8242602308802294,0.5617609235209224,1.0,0.8644994949494954,0.0001236842105263158,0.0,0.0,0.00043400167084377614
MTOR,0.8627010317460306,0.31238098845598866,1.0,0.5819179797979799,0.6771329239766108,0.0816,1.0,0.4604669841269857
NAD+,0.5309392857142857,0.6933814285714285,0.5302,0.6867833333333333,0.5572,0.744,0.5572,0.744
NFKB1,0.023471911976912004,0.029339949494949467,0.0024,0.05268161616161625,0.4798502923976575,0.1378,1.0,0.7179944193817842
NFKBIE,0.9765280880230873,0.968700526695525,0.9976,0.9451017171717178,0.5201497076023428,0.8548,0.0,0.24343891395154596
PDK1,0.7685126118326104,0.33319901875901914,1.0,0.8035394949494957,0.48714970760234266,0.1452,1.0,0.7632274853801209
PIK3CA,0.7391803896103886,0.2783367965367968,0.9998,0.784461717171718,0.3967497076023419,0.0056,0.9998,0.7196274853801207
PPARGC1A,0.8569459523809521,0.8689703968253967,0.8752,0.8936616666666667,0.8395911111111117,0.8676,0.8854,0.9039825396825399
PTEN,0.32732340548340544,0.4929279653679654,0.2786,0.3902067171717172,0.48318666666666676,0.5728,0.334,0.4007358730158731
RB1,0.14842913419913406,0.3913704256854259,0.0024,0.14867494949494944,0.9998763157894737,1.0,1.0,0.9996259983291562
RHEB,0.3460488095238095,0.2595903679653681,0.3652,0.297699494949495,0.3160608187134505,0.2296,0.3578,0.2764333333333334
ROS,0.23047976190476194,0.22130595238095238,0.2336,0.22890833333333335,0.6093852631578948,0.5951,0.62,0.6073121971595656
S6K1,0.8627010317460306,0.31238098845598866,1.0,0.5819179797979799,0.6771329239766108,0.0816,1.0,0.4604669841269857
SGK1,0.7025588095238094,0.5900381746031744,0.7614,0.7044849494949498,0.6232052631578957,0.5328,0.7614,0.6932497076023401
SIRT1,0.5745,0.6245178571428571,0.5744,0.6213833333333334,0.577,0.6424,0.577,0.6424
SOD2,0.5611033333333333,0.6190996031746031,0.5444,0.579035808080808,0.6491202923976608,0.7065,0.6068,0.6575183583959899
TP53,0.11854461038961045,0.46544373015873014,0.0212,0.33196085858585855,0.99995,1.0,1.0,0.999824126984127
TSC2,0.4928863492063489,0.7511451082251087,0.4342,0.6376055050505048,0.5914947368421043,0.8414,0.4622,0.6999888888888882
ULK1,0.09928309523809534,0.6888556782106792,0.0,0.4718688383838381,0.24505818713450273,0.9348,0.0,0.6202473015872998
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
