,0,1,2,3,4,5,6,7
AKT1,0.8327950000000003,0.5799906060606065,1.0,0.8219796464646469,0.8441163742690072,0.6217688888888906,1.0,0.8153630409356755
AMPK,0.2268,0.6662,0.2268,0.6662,0.2268,0.6662,0.2268,0.6662
ATM/ATR,0.41777,0.47315333333333326,0.3998,0.4413677777777777,0.823211111111111,0.8519505555555555,0.8151,0.8414144444444442
CDK2/4/6,0.5773600000000002,0.5251000505050507,0.6058,0.5686077272727276,0.1586022222222222,0.13340499999999997,0.1724,0.1484205555555555
CDKN1A,0.275265,0.4005999494949493,0.2136,0.30339227272727254,0.34974999999999973,0.4625361111111107,0.293,0.3901338888888882
CDKN2A,0.0,0.0,0.0,0.0,0.9996163742690057,0.9984444444444446,1.0,0.9991497076023392
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.8977433333333334,0.7280522727272726,1.0,0.8692371717171716,0.05128479532163742,0.03729555555555555,0.0602,0.04733590643274852
EIF4EBP1,0.08943000000000002,0.47416742424242414,0.0,0.33225131313131295,0.08290596491228079,0.4528299999999992,0.0,0.3377026315789467
FOXO3,0.12340333333333334,0.2879127272727273,0.0678,0.19308631313131316,0.380918625730994,0.5480966666666665,0.3272,0.4848175146198827
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.6142,0.6142,1.0,1.0,0.6142,0.6142,1.0,1.0
IKBKB,0.011227222222222218,0.025653838383838376,0.0,0.0388856060606061,0.7945836257309927,0.5884711111111095,0.9398,0.7665769590643247
IL1B,0.011227222222222218,0.024753838383838378,0.0,0.037410606060606096,0.7945836257309927,0.5723155555555539,0.9398,0.7463102923976579
IL6,0.011227222222222218,0.024753838383838378,0.0,0.037410606060606096,0.7945836257309927,0.5723155555555539,0.9398,0.7463102923976579
INSR,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778,0.7146,0.0778
IRS1,0.798572777777778,0.48694616161616194,1.0,0.8008143939393947,0.7327163742690073,0.38754888888889005,1.0,0.6401430409356752
KRAS,0.7716,0.5848,0.8896,0.7382,0.7716,0.5848,0.8896,0.7382
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9996163742690057,0.9984444444444446,1.0,0.9991497076023392
MAPK1,0.7096,0.6661533333333332,0.7372,0.707406111111111,0.8524555555555555,0.7709666666666662,0.9014,0.8359777777777772
MAPK14,0.0,0.0,0.0,0.0,0.9996163742690057,0.9984444444444446,1.0,0.9991497076023392
MDM2,0.8709283333333334,0.6683994949494952,1.0,0.8533640909090913,0.00014035087719298245,0.0002111111111111111,0.0,0.00038479532163742693
MTOR,0.9105700000000001,0.525832575757576,1.0,0.6677486868686872,0.9170940350877199,0.5471700000000009,1.0,0.6622973684210541
NAD+,0.5264,0.6524,0.5264,0.6524,0.5264,0.6524,0.5264,0.6524
NFKB1,0.011227222222222218,0.024753838383838378,0.0,0.037410606060606096,0.7945836257309927,0.5723155555555539,0.9398,0.7463102923976579
NFKBIE,0.9887727777777782,0.9743461616161619,1.0,0.9611143939393944,0.20541637426900566,0.4115288888888901,0.0602,0.23342304093567282
PDK1,0.8327950000000003,0.5799906060606065,1.0,0.8219796464646469,0.8441163742690072,0.6217688888888906,1.0,0.8153630409356755
PIK3CA,0.793972777777778,0.47714616161616197,0.9998,0.7836143939393946,0.7579163742690073,0.4261488888888901,0.9998,0.7019430409356752
PPARGC1A,0.86135,0.8752611111111112,0.873,0.8893861111111111,0.8625111111111113,0.8793222222222222,0.873,0.8906777777777779
PTEN,0.29021388888888894,0.32010272727272726,0.2722,0.29129873737373735,0.13607111111111114,0.18590444444444448,0.1031,0.14407555555555562
RB1,0.10225666666666669,0.27194772727272737,0.0,0.13076282828282823,0.9487152046783626,0.9627044444444443,0.9398,0.9526640935672512
RHEB,0.3543527777777778,0.2925772727272727,0.3676,0.3111883838383838,0.35520526315789475,0.2965777777777777,0.3676,0.3113719298245614
ROS,0.231775,0.22605,0.2338,0.229325,0.6174691520467838,0.6082555555555555,0.6206,0.6127830409356726
S6K1,0.9105700000000001,0.525832575757576,1.0,0.6677486868686872,0.9170940350877199,0.5471700000000009,1.0,0.6622973684210541
SGK1,0.7176194444444445,0.6488883333333335,0.7614,0.7094668181818183,0.7210163742690062,0.6585244444444448,0.7614,0.7053741520467842
SIRT1,0.5744,0.611,0.5744,0.611,0.5744,0.611,0.5744,0.611
SOD2,0.55652,0.5962277777777778,0.5438,0.5738141414141414,0.613208625730994,0.6563083333333333,0.6,0.6397114035087718
TP53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC2,0.4701638888888889,0.6545088383838382,0.4284,0.5950643939393938,0.4672280701754382,0.6435777777777772,0.4284,0.5961947368421046
ULK1,0.06164944444444445,0.47900909090909083,0.0,0.3646929797979796,0.06034485380116964,0.46321888888888835,0.0,0.3694970760233911
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
