,0,1,2,3,4,5,6,7
AKT1,0.8251634968301638,0.5674750508083845,1.0,0.8159153850820523,0.8241408074741422,0.5768101434768116,1.0,0.7946446446446473
AMPK,0.21981981981981982,0.6681681681681682,0.21981981981981982,0.6681681681681682,0.21981981981981982,0.6681681681681682,0.21981981981981982,0.6681681681681682
ATM/ATR,0.4255555555555555,0.4811903570236904,0.4066066066066066,0.4476534868201535,0.8289289289289289,0.8584542876209542,0.8204204204204204,0.8469094094094093
CDK2/4/6,0.5697055388722057,0.518285861619195,0.6009009009009009,0.5649148390815061,0.15525859192525857,0.12870453787120453,0.16996996996996996,0.14479396062729394
CDKN1A,0.2780422088755422,0.405663087329754,0.21081081081081082,0.3041542299875634,0.35771271271271265,0.48248998998998954,0.29219219219219217,0.3980447113780445
CDKN2A,0.0,0.0,0.0,0.0,0.9996996996996997,0.9985151818485152,1.0,0.9991157824491158
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
E2F1,0.8957232232232235,0.7240324415324413,1.0,0.867044468711135,0.05123456790123456,0.03641975308641975,0.06036036036036036,0.0462962962962963
EIF4EBP1,0.09294210877544212,0.4846774805108139,0.0,0.34096376679710017,0.0915632298965633,0.48040373707040307,0.0,0.35323156489823127
FOXO3,0.12492992992992992,0.2896036946036946,0.06546546546546547,0.19301748718415387,0.3965949282615948,0.567915415415415,0.33903903903903904,0.49877043710376995
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IGF1R,0.6156156156156156,0.6156156156156156,1.0,1.0,0.6156156156156156,0.6156156156156156,1.0,1.0
IKBKB,0.011773440106773439,0.027453210786544113,0.0,0.04189029939029939,0.7748081414748068,0.54466132799466,0.9396396396396396,0.7466466466466442
IL1B,0.011773440106773439,0.026777535110868438,0.0,0.04080171080171079,0.7748081414748068,0.5302969636302957,0.9396396396396396,0.7280947614280922
IL6,0.011773440106773439,0.026777535110868438,0.0,0.04080171080171079,0.7748081414748068,0.5302969636302957,0.9396396396396396,0.7280947614280922
INSR,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897,0.6975975975975977,0.07897897897897897
IRS1,0.7930313646980316,0.48906330572997253,1.0,0.7983499408499414,0.7385552218885565,0.4047380714047388,1.0,0.6601101101101123
KRAS,0.7639639639639639,0.5864864864864865,0.8831831831831832,0.7396396396396396,0.7639639639639639,0.5864864864864865,0.8831831831831832,0.7396396396396396
MAP2K3/MAP2K6,0.0,0.0,0.0,0.0,0.9996996996996997,0.9985151818485152,1.0,0.9991157824491158
MAPK1,0.7042834501167834,0.6629212545879212,0.7327327327327328,0.7046338004671335,0.8423089756423088,0.7572572572572569,0.8963963963963963,0.8277610944277605
MAPK14,0.0,0.0,0.0,0.0,0.9996996996996997,0.9985151818485152,1.0,0.9991157824491158
MDM2,0.8684734734734736,0.6638213971547308,1.0,0.8488616646949986,0.0,0.00010010010010010009,0.0,0.00025025025025025025
MTOR,0.907057891224558,0.5153225194891862,1.0,0.6590362332029003,0.9084367701034375,0.5195962629295972,1.0,0.6467684351017697
NAD+,0.5237237237237238,0.648948948948949,0.5237237237237238,0.648948948948949,0.5237237237237238,0.648948948948949,0.5237237237237238,0.648948948948949
NFKB1,0.011773440106773439,0.026777535110868438,0.0,0.04080171080171079,0.7748081414748068,0.5302969636302957,0.9396396396396396,0.7280947614280922
NFKBIE,0.9882265598932268,0.9725467892134563,1.0,0.9581097006097011,0.22519185852519163,0.45533867200533956,0.06036036036036036,0.25335335335335285
PDK1,0.8251634968301638,0.5674750508083845,1.0,0.8159153850820523,0.8241408074741422,0.5768101434768116,1.0,0.7946446446446473
PIK3CA,0.7888271604938274,0.481555798222465,0.9996996996996997,0.7842358267358273,0.7604771438104785,0.440774107440775,0.9996996996996997,0.7180680680680704
PPARGC1A,0.8676426426426427,0.878003003003003,0.878078078078078,0.8910660660660661,0.8678845512178845,0.8793710377043711,0.878078078078078,0.8908491825158493
PTEN,0.10652318985652319,0.14389882306548973,0.08588588588588589,0.11260320926987596,0.033423423423423415,0.07986319652986326,0.004204204204204204,0.04360026693360028
RB1,0.1042767767767768,0.27596755846755844,0.0,0.13295553128886461,0.9487654320987654,0.9635802469135801,0.9396396396396396,0.9537037037037036
RHEB,0.3540165165165165,0.2882166257166257,0.36936936936936937,0.30790297873631206,0.3544878211544878,0.29120787454120783,0.36936936936936937,0.3078411745078411
ROS,0.23303303303303302,0.22713963963963965,0.23513513513513515,0.2308933933933934,0.622484984984985,0.6135468802135469,0.6258258258258258,0.6182015348682016
S6K1,0.907057891224558,0.5153225194891862,1.0,0.6590362332029003,0.9084367701034375,0.5195962629295972,1.0,0.6467684351017697
