,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
0,11101111
1,11111111
2,11111111
3,11101111
4,10001010
5,11111111
6,11101111
7,11001111
8,10001010
9,10001111
10,00000000
11,00000000
12,00001000
13,00001010
14,10101111
15,00000000
16,10001111
17,11001111
18,00000000
19,10001000
20,10001110
21,00001111
22,00000000
23,00000000
24,00000000
25,00001110
26,11111111
27,00000000
28,11111111
29,10101111
30,11101111
31,00001110
32,11001111
33,00001110
34,10001110
35,00000000
36,10001000
37,11001111
38,10001000
39,00001010
40,00001111
41,10101111
42,10001110
43,10101111
44,00001111
45,00001110
46,11101111
47,00001010
48,11111111
49,10001100
50,00000000
51,11111111
52,00000000
53,00000000
54,00001000
55,11001111
56,10001110
57,00001000
58,00000000
59,00001010
60,10101111
61,10101110
62,11001111
63,00000000
64,11001111
65,00001000
66,00001000
67,11111111
68,10001110
69,00000000
70,11111111
71,10001010
72,00000000
73,10001110
74,00001111
75,00001111
76,00000000
77,10101111
78,00001010
79,00001010
80,11101111
81,00001110
82,00000000
83,11001110
84,00000000
85,00000000
86,11101111
87,11101111
88,10001111
89,11111111
90,00000000
91,11001111
92,11111111
93,00000000
94,10001010
95,10101111
96,00001100
97,11001110
98,00001110
99,10101010
100,00000000
101,10001110
102,11111111
103,10101111
104,10001111
105,00000000
106,00001000
107,00000000
108,11101111
109,11001100
110,00001110
111,10001111
112,00001111
113,11101111
114,00001111
115,10001110
116,00000000
117,11001111
118,11111111
119,11111111
120,11001110
121,00000000
122,10001110
123,11001111
124,11101111
125,00000000
126,10101010
127,00000000
128,00001000
129,10001110
130,00001100
131,00001010
132,00000000
133,00001000
134,00001000
135,00001100
136,10001110
137,00001010
138,11101111
139,11001111
140,00001100
141,00001010
142,00000000
143,11001111
144,10101111
145,10001111
146,00001111
147,11111111
148,00000000
149,00001010
150,10001111
151,00001110
152,10001110
153,10001100
154,10001110
155,11001111
156,00001111
157,10001111
158,00001110
159,10101111
160,00001010
161,00001000
162,11101110
163,00001010
164,00001100
165,00000000
166,00000000
167,11111111
168,00001000
169,11001110
170,00001000
171,00000000
172,00000000
173,00000000
174,00000000
175,00000000
176,10001100
177,10001110
178,11111111
179,00000000
180,00000000
181,10001110
182,00000000
183,00001111
184,11101111
185,11101111
186,11101111
187,11101110
188,00001110
189,00001010
190,00001000
191,00001000
192,00000000
193,00001010
194,00000000
195,00001010
196,00001000
197,00000000
198,00000000
199,00000000
200,10001110
201,00000000
202,00001000
203,00000000
204,10101111
205,11101111
206,00001100
207,11111111
208,11001100
209,11101111
210,10101111
211,00000000
212,11101111
213,10101111
214,00000000
215,00001000
216,11111111
217,11101111
218,00001010
219,10101110
220,00001111
221,10101110
222,10101111
223,10001110
224,10001100
225,10101110
226,11101111
227,00000000
228,10101111
229,10001110
230,00000000
231,11111111
232,00000000
233,11101111
234,10101111
235,11101111
236,11001111
237,00001000
238,00001000
239,00000000
240,11101111
241,11111111
242,00000000
243,00000000
244,00001111
245,10101111
246,00000000
247,00001000
248,10001110
249,11101111
250,00000000
251,11101111
252,10001010
253,00001000
254,00001000
255,11111111
256,00000000
257,11001100
258,10101111
259,11101111
260,11001111
261,11001111
262,00000000
263,10001110
264,00000000
265,11111111
266,11101111
267,10001111
268,00000000
269,00001010
270,00000000
271,10001110
272,11101111
273,10001010
274,00000000
275,00001000
276,11001110
277,00000000
278,11101111
279,11111111
280,11101111
281,00000000
282,10101110
283,00001010
284,11111111
285,00000000
286,00000000
287,00001000
288,11001111
289,00000000
290,00000000
291,00000000
292,00001111
293,00001000
294,00000000
295,00000000
296,00000000
297,10101111
298,11111111
299,11101111
300,11001100
301,11111111
302,00001000
303,00000000
304,00001111
305,00001100
306,11101111
307,11111111
308,00000000
309,00000000
310,11111111
311,11001110
312,00001110
313,11101110
314,00001000
315,00000000
316,11001111
317,00000000
318,11111111
319,10101110
320,00000000
321,00000000
322,00000000
323,11111111
324,00001100
325,11101111
326,11101111
327,00001100
328,00000000
329,00001010
330,11001100
331,11001100
332,00000000
333,00000000
334,00000000
335,00000000
336,00000000
337,00001111
338,00001111
339,11111111
340,11111111
341,10001110
342,11101111
343,11101110
344,10001110
345,00000000
346,00001000
347,00000000
348,00000000
349,11001110
350,11111111
351,00001100
352,11101111
353,00000000
354,00001110
355,10101110
356,00000000
357,00000000
358,10001110
359,00000000
360,00001110
361,10001000
362,00000000
363,10001111
364,11001100
365,00000000
366,10001110
367,00000000
368,10001110
369,00000000
370,00001110
371,00000000
372,11001110
373,00000000
374,11001110
375,11111111
376,11001110
377,11001110
378,00000000
379,00001000
380,10001010
381,10001111
382,00001000
383,10001110
384,11111111
385,11001110
386,00000000
387,00000000
388,00001000
389,10001110
390,00000000
391,10001100
392,11001110
393,11101111
394,00001000
395,00000000
396,10001100
397,10001110
398,10001111
399,11111111
400,11101111
401,11101110
402,00001111
403,11101111
404,00001000
405,00000000
406,10001100
