,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
0,10001010
1,10001010
2,00000000
3,00000000
4,00001000
5,00001010
6,00000000
7,00000000
8,10001000
9,10001110
10,00000000
11,00000000
12,00000000
13,00001110
14,00000000
15,00001110
16,00001110
17,10001110
18,00000000
19,10001000
20,10001000
21,00001010
22,10001110
23,00001110
24,00001010
25,10001100
26,00000000
27,00000000
28,00000000
29,00001000
30,10001110
31,00001000
32,00000000
33,00001010
34,10101110
35,00000000
36,00001000
37,00001000
38,10001110
39,00000000
40,10001010
41,00000000
42,10001110
43,00000000
44,00001010
45,00001010
46,00001110
47,00000000
48,11001110
49,00000000
50,00000000
51,00000000
52,00000000
53,10001010
54,00001100
55,11001110
56,00001110
57,10101010
58,00000000
59,10001110
60,00000000
61,00001000
62,00000000
63,11001100
64,00001110
65,10001110
66,00000000
67,11001110
68,00000000
69,10001110
70,00000000
71,10101010
72,00000000
73,00001000
74,10001110
75,00001100
76,00001010
77,00000000
78,00001000
79,00001000
80,00001100
81,10001110
82,00001010
83,00001100
84,00001010
85,00000000
86,00000000
87,00001010
88,00001110
89,10001110
90,10001100
91,10001110
92,00001110
93,00001010
94,00001000
95,11101110
96,00001010
97,00001100
98,00000000
99,00000000
100,00001000
101,11001110
102,00001000
103,00000000
104,00000000
105,00000000
106,00000000
107,00000000
108,10001100
109,10001110
110,00000000
111,00000000
112,10001110
113,00000000
114,11101110
115,00001110
116,00001010
117,00001000
118,00001000
119,00000000
120,00001010
121,00000000
122,00001010
123,00001000
124,00000000
125,00000000
126,00000000
127,10001110
128,00000000
129,00001000
130,00000000
131,00001100
132,11001100
133,00000000
134,00000000
135,00001000
136,00001010
137,10101110
138,10101110
139,10001110
140,10001100
141,10101110
142,00000000
143,10001110
144,00000000
145,00000000
146,00001000
147,00001000
148,00000000
149,00000000
150,00000000
151,00000000
152,00001000
153,10001110
154,00000000
155,10001010
156,00001000
157,00001000
158,00000000
159,11001100
160,00000000
161,10001110
162,00000000
163,00000000
164,00001010
165,00000000
166,10001110
167,10001010
168,00000000
169,00001000
170,11001110
171,00000000
172,00000000
173,10101110
174,00001010
175,00000000
176,00000000
177,00001000
178,00000000
179,00000000
180,00000000
181,00001000
182,00000000
183,00000000
184,00000000
185,11001100
186,00001000
187,00000000
188,00001100
189,00000000
190,00000000
191,11001110
192,00001110
193,11101110
194,00001000
195,00000000
196,00000000
197,10101110
198,00000000
199,00000000
200,00000000
201,00001100
202,00001100
203,00000000
204,00001010
205,11001100
206,11001100
207,00000000
208,00000000
209,00000000
210,00000000
211,00000000
212,10001110
213,11101110
214,10001110
215,00000000
216,00001000
217,00000000
218,00000000
219,11001110
220,00001100
221,00000000
222,00001110
223,10101110
224,00000000
225,00000000
226,10001110
227,00000000
228,00001110
229,10001000
230,00000000
231,11001100
232,00000000
233,10001110
234,00000000
235,10001110
236,00000000
237,00001110
238,00000000
239,11001110
240,00000000
241,11001110
242,11001110
243,11001110
244,00000000
245,00001000
246,10001010
247,00001000
248,10001110
249,11001110
250,00000000
251,00000000
252,00001000
253,10001110
254,00000000
255,10001100
256,11001110
257,00001000
258,00000000
259,10001100
260,10001110
261,11101110
262,00001000
263,00000000
264,10001100
265,00000000
266,00001100
267,00001110
268,11001110
269,10001110
270,00000000
271,00001100
272,10001010
273,10101010
274,00000000
275,00001010
276,10001110
277,00001110
278,00000000
279,00000000
280,00001100
281,00001000
282,10001000
283,00001010
284,00001000
285,00000000
286,00000000
287,00001000
288,00000000
289,11101110
290,00000000
291,10001100
