,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.5445673376623376,0.18586645021645068,0.7586,0.5844103030303038,0.30866081871345197,0.0,0.7586,0.5474497076023428
AKT1,0.5445673376623376,0.18586645021645068,0.7586,0.5844103030303038,0.30866081871345197,0.0,0.7586,0.5474497076023428
IKBKB,0.023794567099567118,0.022285533910533912,0.0018,0.04838969696969705,0.30093918128654823,0.0,0.7586,0.5403388638262288
PTEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E2F1,0.7243888455988449,0.528453672438672,0.8652666666666667,0.7363725252525253,0.00029035087719298246,0.0,0.0001,0.0004406683375104428
EIF4EBP1,0.2591191558441555,0.7882929292929304,0.13145,0.5586827777777775,0.4326415204678345,1.0,0.1454,0.6712396825396804
IL1B,0.023794567099567118,0.02121608946608947,0.0018,0.046678080808080884,0.30093918128654823,0.0,0.7586,0.5142833082706734
IL6,0.023794567099567118,0.02121608946608947,0.0018,0.046678080808080884,0.30093918128654823,0.0,0.7586,0.5142833082706734
S6K1,0.7408808441558434,0.21170707070707095,0.86855,0.4413172222222225,0.5673584795321663,0.0,0.8546,0.32876031746031825
ULK1,0.18480129870129866,0.7764532467532477,0.09365,0.5896111616161616,0.32651485380116896,1.0,0.1114,0.7281028571428553
