,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,0.8327950000000003,0.5799906060606065,1.0,0.8219796464646469,0.8441163742690072,0.6217688888888906,1.0,0.8153630409356755
AKT1,0.8327950000000003,0.5799906060606065,1.0,0.8219796464646469,0.8441163742690072,0.6217688888888906,1.0,0.8153630409356755
IKBKB,0.011227222222222218,0.025653838383838376,0.0,0.0388856060606061,0.7945836257309927,0.5884711111111095,0.9398,0.7665769590643247
PTEN,0.29021388888888894,0.32010272727272726,0.2722,0.29129873737373735,0.13607111111111114,0.18590444444444448,0.1031,0.14407555555555562
E2F1,0.8977433333333334,0.7280522727272726,1.0,0.8692371717171716,0.05128479532163742,0.03729555555555555,0.0602,0.04733590643274852
EIF4EBP1,0.08943000000000002,0.47416742424242414,0.0,0.33225131313131295,0.08290596491228079,0.4528299999999992,0.0,0.3377026315789467
IL1B,0.011227222222222218,0.024753838383838378,0.0,0.037410606060606096,0.7945836257309927,0.5723155555555539,0.9398,0.7463102923976579
IL6,0.011227222222222218,0.024753838383838378,0.0,0.037410606060606096,0.7945836257309927,0.5723155555555539,0.9398,0.7463102923976579
S6K1,0.9105700000000001,0.525832575757576,1.0,0.6677486868686872,0.9170940350877199,0.5471700000000009,1.0,0.6622973684210541
ULK1,0.06164944444444445,0.47900909090909083,0.0,0.3646929797979796,0.06034485380116964,0.46321888888888835,0.0,0.3694970760233911
