before	pert	after
b1010	0	a0010
b1010	0	a1100
b1010	0	a1011
b0010	0	a0010
b0010	0	a0100
b0010	0	a1111
b1100	0	a1010
b1011	0	a1011
b1011	0	a0100
b1011	0	a1111
b1011	0	a0010
b1011	0	a1100
b1010	1	a1010
b0010	1	a0010
b0010	1	a1000
b0010	1	a1011
b1100	1	a1100
b1100	1	a1011
b1100	1	a0010
b1011	1	a1011
b1011	1	a0010
b1011	1	a1100
b1010	2	a0010
b1010	2	a1100
b1010	2	a1011
b0010	2	a0010
b0010	2	a1101
b0010	2	a0011
b0010	2	a0100
b0010	2	a1111
b1100	2	a1100
b1100	2	a1001
b1100	2	a0011
b1100	2	a0100
b1100	2	a1111
b1100	2	a0010
b1011	2	a1010
b1010	3	a1010
b0010	3	a0010
b0010	3	a1100
b0010	3	a1011
b1100	3	a1010
b1011	3	a1010
