TR:mock:CellLine,TR:DNADAMAGE,TR:RAPAMYCIN,TR:LOW,TR:ROS,TR:IGF1R,DA:EIF4EBP1,DA:ABL1,DA:AKT1,DA:AMPK,DA:BCL2,DA:BAX,DA:CASP3,DA:CASP9,DA:FOXO3,DA:HDAC1,DA:ERBB2,DA:HSP90AB1?,DA:IGF1R,DA:IRS1,DA:LIM1/LIM2,DA:MTOR,DA:MAPK14,DA:MAPK1,DA:TP53,DA:S6K1,DA:RPS6KB1,DA:RPS6KA1,DA:PAK2,DA:PDK1,DA:PIK3CA,DA:PRKCA,DA:PTEN,DA:RB1,DA:NTRK1,DV:EIF4EBP1,DV:ABL1,DV:AKT1,DV:AMPK,DV:BCL2,DV:BAX,DV:CASP3,DV:CASP9,DV:FOXO3,DV:HDVC1,DV:ERBB2,DV:HSP90AB1?,DV:IGF1R,DV:IRS1,DV:LIM1/LIM2,DV:MTOR,DV:MAPK14,DV:MAPK1,DV:TP53,DV:S6K1,DV:RPS6KB1,DV:RPS6KA1,DV:PAK2,DV:PDK1,DV:PIK3CA,DV:PRKCA,DV:PTEN,DV:RB1,DV:NTRK1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.113195897,0.536937432,0.149996885,0.005742077,-0.012181139,-0.220168966,0.141100256,0.21916852,-0.074578121,3.192129384,-0.015106892,0.007476881,0.08608276,0.264110442,1.288457486,-0.077520634,0.161836991,0.452706614,-0.083625735,0.220551075,0.187946592,-1.438116636,0.060372618,0.235141987,0.527897819,-2.466247315,0.083393041,0.279403478,0.189653688
1,1,0,1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.720337632,-2.9117192,0.743735211,0.383040935,0.585215184,0.558810213,0.763804851,0.672088539,0.749391514,3.049601618,0.77148947,0.674575081,0.889315301,1.020839291,-2.178134311,0.604778868,0.749163182,0.928498145,0.202587017,0.790431619,0.689493084,-1.152820471,0.58194517,-0.618648508,0.458433,-1.858274836,0.326418025,0.377897514,0.762106752
1,1,0,1,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0.316615446,-0.949670046,0.524868851,-0.281272792,0.174718432,0.139144693,0.448821376,0.360899326,0.333946071,4.098545378,0.277674857,0.113956189,0.460450831,0.576595899,-2.553017301,-0.013071926,0.368355456,0.600715164,0.325590397,0.324134613,0.194207846,0.103849302,-0.007417472,-0.955683495,0.660844313,-2.36417794,0.027534729,-0.05180243,0.261647866
1,1,0,1,0,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,0.558730959,0.186285301,0.398948157,0.263913148,0.610262602,0.379658992,0.514700952,0.085440844,0.454436132,0.269118428,0.619608644,0.538095896,0.491966378,0.663772115,-0.61740481,0.584094714,0.621545085,0.784499581,-0.039728103,0.546422039,0.652455705,-1.492521037,0.334532421,0.485635891,0.752154188,-2.050050559,0.738028112,-0.019419256,0.578016435
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.332690875,-0.828574942,-0.10970566,-0.375159301,-0.069101106,-0.327436073,-0.182277055,0.86123464,-0.197354642,3.898253754,-0.031333207,-0.190602082,-0.015375226,0.014459203,-0.226052841,0.169250101,0.007917594,0.093930607,-0.349329328,-0.038225497,-0.107556829,-1.580252334,-0.27541813,-1.353555649,0.280015639,-2.848567852,-0.144346877,-0.297770623,-0.154546103
