"SUID","interaction","name","selected","shared interaction","shared name"
"574","1","CHK1/CHK2 (1) TP53_s15","false","1","CHK1/CHK2 (1) TP53_s15"
"575","1","TP53_s15 (1) BAX","false","1","TP53_s15 (1) BAX"
"576","1","DNAdamage_high (1) ATM/ATR_2","false","1","DNAdamage_high (1) ATM/ATR_2"
"577","1","ATM/ATR_2 (1) CHK1/CHK2","false","1","ATM/ATR_2 (1) CHK1/CHK2"
"578","1","RHEB (1) MTOR","false","1","RHEB (1) MTOR"
"579","1","PPARGC1A (1) CDKN1A","false","1","PPARGC1A (1) CDKN1A"
"580","-1","SGK1 (-1) FOXO3","false","-1","SGK1 (-1) FOXO3"
"581","-1","SGK1 (-1) FOXO3_ac","false","-1","SGK1 (-1) FOXO3_ac"
"582","1","PDK1 (1) AKT1","false","1","PDK1 (1) AKT1"
"583","1","PDK1 (1) SGK1","false","1","PDK1 (1) SGK1"
"584","1","NFKB1 (1) BCL2","false","1","NFKB1 (1) BCL2"
"585","1","NFKB1 (1) TNF","false","1","NFKB1 (1) TNF"
"586","1","NFKB1 (1) IL6","false","1","NFKB1 (1) IL6"
"587","1","NFKB1 (1) IL1B","false","1","NFKB1 (1) IL1B"
"588","1","ULK1 (1) ATG13","false","1","ULK1 (1) ATG13"
"589","1","ULK1 (1) ATG5","false","1","ULK1 (1) ATG5"
"590","1","MAPK14 (1) CDKN2A","false","1","MAPK14 (1) CDKN2A"
"591","1","MAPK14 (1) TP53","false","1","MAPK14 (1) TP53"
"592","1","MAP2K3/MAP2K6 (1) MAPK14","false","1","MAP2K3/MAP2K6 (1) MAPK14"
"593","1","lowNutrition (1) AMPK","false","1","lowNutrition (1) AMPK"
"594","1","PIK3CA (1) PDK1","false","1","PIK3CA (1) PDK1"
"595","-1","NFKBIE (-1) NFKB1","false","-1","NFKBIE (-1) NFKB1"
"596","-1","PTEN (-1) PDK1","false","-1","PTEN (-1) PDK1"
"597","1","IRS1 (1) PIK3CA","false","1","IRS1 (1) PIK3CA"
"598","1","IGF1R (1) IRS1","false","1","IGF1R (1) IRS1"
"599","1","IGF1 (1) IGF1R","false","1","IGF1 (1) IGF1R"
"600","-1","SOD2 (-1) ROS","false","-1","SOD2 (-1) ROS"
"601","1","SIRT1 (1) FOXO3","false","1","SIRT1 (1) FOXO3"
"602","1","SIRT1 (1) PPARGC1A","false","1","SIRT1 (1) PPARGC1A"
"603","-1","SIRT1 (-1) NFKB1","false","-1","SIRT1 (-1) NFKB1"
"604","-1","SIRT1 (-1) TP53","false","-1","SIRT1 (-1) TP53"
"605","-1","SIRT1 (-1) BAX","false","-1","SIRT1 (-1) BAX"
"606","-1","SIRT1 (-1) FOXO3_ac","false","-1","SIRT1 (-1) FOXO3_ac"
"607","-1","HDAC1 (-1) SIRT1","false","-1","HDAC1 (-1) SIRT1"
"608","1","E2F1 (1) HDAC1","false","1","E2F1 (1) HDAC1"
"609","1","ROS (1) MAP2K3/MAP2K6","false","1","ROS (1) MAP2K3/MAP2K6"
"610","1","DNAdamage (1) ROS","false","1","DNAdamage (1) ROS"
"611","1","DNAdamage (1) ATM/ATR","false","1","DNAdamage (1) ATM/ATR"
"612","-1","CDKN2A (-1) CDK4","false","-1","CDKN2A (-1) CDK4"
"613","-1","CDKN2A (-1) MDM2","false","-1","CDKN2A (-1) MDM2"
"614","-1","RB1 (-1) E2F1","false","-1","RB1 (-1) E2F1"
"615","-1","CDK4 (-1) RB1","false","-1","CDK4 (-1) RB1"
"616","1","BAX (1) CASP3","false","1","BAX (1) CASP3"
"617","-1","TP53 (-1) IGF1R","false","-1","TP53 (-1) IGF1R"
"618","1","TP53 (1) CDKN1A","false","1","TP53 (1) CDKN1A"
"619","1","TP53 (1) MDM2","false","1","TP53 (1) MDM2"
"620","1","TP53 (1) AMPK","false","1","TP53 (1) AMPK"
"621","1","TP53 (1) PTEN","false","1","TP53 (1) PTEN"
"622","1","ATM/ATR (1) TP53","false","1","ATM/ATR (1) TP53"
