name,shared name,Senescence,quiescence,apoptosis,proliferation
ABL1,ABL1,,,,
AKT1,AKT1,,,,
AMPK,AMPK,,,,
ATG13,ATG13,,,,
ATG5,ATG5,,,,
ATM/ATR,ATM/ATR,,,,
ATM/ATR_2,ATM/ATR_2,,,,
BAX,BAX,,,,
BCL2,BCL2,1,,,
CASP3,CASP3,0,0,1,0
CASP9,CASP9,,,,
CDK4,CDK4,,,,
CDKN1A,CDKN1A,,,,
CDKN2A,CDKN2A,,,,
DNAdamage,DNAdamage,1,1,0,0
DNAdamage_high,DNAdamage_high,0,0,1,0
E2F1,E2F1,?,0,0,1
EIF4EBP1,EIF4EBP1,0,1,1,0
FOXO3,FOXO3,,,,
HDAC1,HDAC1,,,,
HIPK2,HIPK2,,,,
IGF1,IGF1,1,0,0,1
IGF1R,IGF1R,,,,
IKBKB,IKBKB,,,,
IL1B,IL1B,1,0,0,0
IL6,IL6,1,0,0,0
IRS1,IRS1,,,,
lowNutrition,lowNutrition,0,1,1,0
MAP2K3/MAP2K6,MAP2K3/MAP2K6,,,,
MAPK14,MAPK14,,,,
MDM2,MDM2,,,,
MTOR,MTOR,,,,
NAD+,NAD+,,,,
NFKB1,NFKB1,,,,
NFKBIE,NFKBIE,,,,
PDK1,PDK1,,,,
PIK3CA,PIK3CA,,,,
PPARGC1A,PPARGC1A,,,,
PTEN,PTEN,,,,
RB1,RB1,,,,
RHEB,RHEB,,,,
ROS,ROS,,,,
S6K1,S6K1,1,0,0,1
SGK1,SGK1,,,,
SIRT1,SIRT1,,,,
SOD2,SOD2,,,,
TNF,TNF,1,0,0,0
TP53,TP53,,,,
TP53_s46,TP53_s46,,,,
TSC2,TSC2,,,,
ULK1,ULK1,,,,
