"SUID","interaction","name","selected","shared interaction","shared name"
"239","-1","CDKN2A (-1) MDM2","false","-1","CDKN2A (-1) MDM2"
"241","1","E2F1 (1) PPARGC1A","false","1","E2F1 (1) PPARGC1A"
"243","1","IGF1R (1) IRS1","false","1","IGF1R (1) IRS1"
"244","1","NAD+ (1) SIRT1","false","1","NAD+ (1) SIRT1"
"245","1","AMPK (1) FOXO3","false","1","AMPK (1) FOXO3"
"247","1","AMPK (1) TP53","false","1","AMPK (1) TP53"
"248","1","AMPK (1) PPARGC1A","false","1","AMPK (1) PPARGC1A"
"249","-1","AMPK (-1) ULK1","false","-1","AMPK (-1) ULK1"
"250","-1","AMPK (-1) MTOR","false","-1","AMPK (-1) MTOR"
"251","1","AMPK (1) NAD+","false","1","AMPK (1) NAD+"
"252","1","AMPK (1) TSC2","false","1","AMPK (1) TSC2"
"253","-1","SOD2 (-1) ROS","false","-1","SOD2 (-1) ROS"
"254","1","ATM/ATR (1) E2F1","false","1","ATM/ATR (1) E2F1"
"255","1","ATM/ATR (1) ABL1","false","1","ATM/ATR (1) ABL1"
"256","1","ATM/ATR (1) TP53","false","1","ATM/ATR (1) TP53"
"257","-1","SIRT1 (-1) TP53","false","-1","SIRT1 (-1) TP53"
"258","1","SIRT1 (1) TSC2","false","1","SIRT1 (1) TSC2"
"259","-1","SIRT1 (-1) TP53_s46","false","-1","SIRT1 (-1) TP53_s46"
"260","1","SIRT1 (1) FOXO3","false","1","SIRT1 (1) FOXO3"
"261","1","SIRT1 (1) PPARGC1A","false","1","SIRT1 (1) PPARGC1A"
"262","-1","SIRT1 (-1) NFKB1","false","-1","SIRT1 (-1) NFKB1"
"263","-1","SIRT1 (-1) BAX","false","-1","SIRT1 (-1) BAX"
"264","1","RHEB (1) MTOR","false","1","RHEB (1) MTOR"
"265","1","BAX (1) CASP3","false","1","BAX (1) CASP3"
"266","1","BAX (1) CASP9","false","1","BAX (1) CASP9"
"267","-1","S6K1 (-1) IRS1","false","-1","S6K1 (-1) IRS1"
"268","-1","S6K1 (-1) MDM2","false","-1","S6K1 (-1) MDM2"
"271","-1","NFKBIE (-1) IKBKB","false","-1","NFKBIE (-1) IKBKB"
"272","-1","NFKBIE (-1) NFKB1","false","-1","NFKBIE (-1) NFKB1"
"273","-1","PTEN (-1) PDK1","false","-1","PTEN (-1) PDK1"
"274","1","TP53_s46 (1) BAX","false","1","TP53_s46 (1) BAX"
"275","1","TP53_s46 (1) MDM2","false","1","TP53_s46 (1) MDM2"
"276","1","TP53_s46 (1) PTEN","false","1","TP53_s46 (1) PTEN"
"277","-1","TP53_s46 (-1) IGF1R","false","-1","TP53_s46 (-1) IGF1R"
"278","1","TP53 (1) AMPK","false","1","TP53 (1) AMPK"
"279","1","TP53 (1) BAX","false","1","TP53 (1) BAX"
"280","1","TP53 (1) SGK1","false","1","TP53 (1) SGK1"
"281","-1","TP53 (-1) BCL2","false","-1","TP53 (-1) BCL2"
"282","-1","TP53 (-1) IGF1","false","-1","TP53 (-1) IGF1"
"284","-1","TP53 (-1) IGF1R","false","-1","TP53 (-1) IGF1R"
"285","1","TP53 (1) CDKN1A","false","1","TP53 (1) CDKN1A"
"286","1","TP53 (1) MDM2","false","1","TP53 (1) MDM2"
"287","1","TP53 (1) PTEN","false","1","TP53 (1) PTEN"
"288","-1","RB1 (-1) E2F1","false","-1","RB1 (-1) E2F1"
"289","-1","RB1 (-1) ABL1","false","-1","RB1 (-1) ABL1"
"290","-1","RB1 (-1) E2F1","false","-1","RB1 (-1) E2F1"
