"SUID","name","selected","shared name"
"880","RPS6KB1","false","RPS6KB1"
"881","HIF1A","false","HIF1A"
"882","PRKCA","false","PRKCA"
"884","PAK2","false","PAK2"
"886","LIM1/LIM2","false","LIM1/LIM2"
"888","HDAC1","false","HDAC1"
"889","AMP/ATP","false","AMP/ATP"
"890","ADP/ATP","false","ADP/ATP"
"893","BCL2L11","false","BCL2L11"
"894","TCA cycle","false","TCA cycle"
"895","ATP","false","ATP"
"896","Glucose","false","Glucose"
"897","G6PC","false","G6PC"
"898","SLC2A4","false","SLC2A4"
"902","BMI1","false","BMI1"
"823","AKT1","false","AKT1"
"824","CASP9","false","CASP9"
"825","MTOR","false","MTOR"
"826","BCL2","false","BCL2"
"827","TSC2","false","TSC2"
"828","FOXO3","false","FOXO3"
"829","CDKN1A","false","CDKN1A"
"830","MDM2","false","MDM2"
"831","IKBKB","false","IKBKB"
"832","CDK4","false","CDK4"
"833","RB1","false","RB1"
"834","TP53","false","TP53"
"835","TP53_s46","false","TP53_s46"
"836","PTEN","false","PTEN"
"837","NFKBIE","false","NFKBIE"
"838","ULK1","false","ULK1"
"839","EIF4EBP1","false","EIF4EBP1"
"840","S6K1","false","S6K1"
"841","BAX","false","BAX"
"842","RHEB","false","RHEB"
"843","SIRT1","false","SIRT1"
"844","ATM/ATR","false","ATM/ATR"
"845","SOD2","false","SOD2"
"846","AMPK","false","AMPK"
"847","NAD+","false","NAD+"
"848","IGF1R","false","IGF1R"
"849","E2F1","false","E2F1"
"850","CDKN2A","false","CDKN2A"
"851","DNAdamage","false","DNAdamage"
"852","ROS","false","ROS"
"853","MAP2K3/MAP2K6","false","MAP2K3/MAP2K6"
"854","NFKB1","false","NFKB1"
"855","PPARGC1A","false","PPARGC1A"
"856","IGF1","false","IGF1"
"857","IRS1","false","IRS1"
"858","PIK3CA","false","PIK3CA"
"859","PDK1","false","PDK1"
"860","lowNutrition","false","lowNutrition"
"861","MAPK14","false","MAPK14"
"862","ATG5;ULK1","false","ATG5;ULK1"
"863","ATG13;ULK1","false","ATG13;ULK1"
"864","IL1B","false","IL1B"
"865","IL6","false","IL6"
"866","TNF","false","TNF"
"867","SGK1","false","SGK1"
"868","ATM/ATR_2","false","ATM/ATR_2"
"869","ABL1","false","ABL1"
"870","HIPK2","false","HIPK2"
"871","DNAdamage_high","false","DNAdamage_high"
"872","CASP3","false","CASP3"
"873","MAP2K1","false","MAP2K1"
"874","MAPK1","false","MAPK1"
"875","Glycolysis","false","Glycolysis"
"876","INSR","false","INSR"
"877","KRAS","false","KRAS"
