"SUID","canonicalName","description","enabled","increment","interaction","k","name","scenario","selected","shared interaction","shared name"
"1553","PTEN --| PDK1","","true","-1","-1","0.004","PTEN (-1) PDK1","0","false","-1","PTEN (-1) PDK1"
"1548","TP53 --| SIRT1","","true","-1","-1","0.004","TP53 (-1) SIRT1","0","false","-1","TP53 (-1) SIRT1"
"1547","TP53 --> PTEN","","true","1","1","0.004","TP53 (1) PTEN","0","false","1","TP53 (1) PTEN"
"1546","TP53 --| IGF1R","","true","-1","-1","0.004","TP53 (-1) IGF1R","0","false","-1","TP53 (-1) IGF1R"
"1545","TP53 --| IGF1","","true","-1","-1","0.004","TP53 (-1) IGF1","0","false","-1","TP53 (-1) IGF1"
"1544","TP53 --> SGK1","","true","1","1","0.004","TP53 (1) SGK1","0","false","1","TP53 (1) SGK1"
"1542","TP53 --> AMPK","","true","1","1","0.004","TP53 (1) AMPK","0","false","1","TP53 (1) AMPK"
"1541","TP53 --> MDM2","","true","1","1","0.004","TP53 (1) MDM2","0","false","1","TP53 (1) MDM2"
"1540","TP53 --> CDKN1A","","true","1","1","0.004","TP53 (1) CDKN1A","0","false","1","TP53 (1) CDKN1A"
"1539","TP53 --| BCL2","","true","-1","-1","0.004","TP53 (-1) BCL2","0","false","-1","TP53 (-1) BCL2"
"1537","RB1 --| E2F1","","true","-1","-1","0.004","RB1 (-1) E2F1","0","false","-1","RB1 (-1) E2F1"
"1536","CDK4 --| RB1","","true","-1","-1","0.004","CDK4 (-1) RB1","0","false","-1","CDK4 (-1) RB1"
"1535","IKBKB --| PTEN","","true","-1","-1","0.004","IKBKB (-1) PTEN","0","false","-1","IKBKB (-1) PTEN"
"1534","IKBKB --| NFKBIE","","true","-1","-1","0.004","IKBKB (-1) NFKBIE","0","false","-1","IKBKB (-1) NFKBIE"
"1533","IKBKB --| IRS1","","true","-1","-1","0.004","IKBKB (-1) IRS1","0","false","-1","IKBKB (-1) IRS1"
"1532","MDM2 --| RB1","","true","-1","-1","0.004","MDM2 (-1) RB1","0","false","-1","MDM2 (-1) RB1"
"1531","MDM2 --| TP53","","true","-1","-1","0.004","MDM2 (-1) TP53","0","false","-1","MDM2 (-1) TP53"
"1529","MDM2 --| FOXO3","","true","-1","-1","0.004","MDM2 (-1) FOXO3","0","false","-1","MDM2 (-1) FOXO3"
"1528","CDKN1A --| CDK4","","true","-1","-1","0.004","CDKN1A (-1) CDK4","0","false","-1","CDKN1A (-1) CDK4"
"1527","FOXO3 --| BCL2","","true","-1","-1","0.004","FOXO3 (-1) BCL2","0","false","-1","FOXO3 (-1) BCL2"
"1526","FOXO3 --> SIRT1","","true","1","1","0.004","FOXO3 (1) SIRT1","0","false","1","FOXO3 (1) SIRT1"
"1525","FOXO3 --> ATM/ATR","","true","1","1","0.004","FOXO3 (1) ATM/ATR","0","false","1","FOXO3 (1) ATM/ATR"
"1524","FOXO3 --> CDKN1A","","true","1","1","0.004","FOXO3 (1) CDKN1A","0","false","1","FOXO3 (1) CDKN1A"
