"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"27119","1505.94647229","-1","MAPK1 (-1) IRS1","false","-1","MAPK1 (-1) IRS1"
"35065","3247.54118023","1","ATR (1) E2F1","false","1","ATR (1) E2F1"
"35073","14908.66736118","1","ATR (1) TP53","false","1","ATR (1) TP53"
"27147","2024.63529397","1","MAPK1 (1) CDKN1A","false","1","MAPK1 (1) CDKN1A"
"23310","679.61584593","1","CDK4 (1) RB1","false","1","CDK4 (1) RB1"
"35091","7936.31998678","1","ATR (1) ATM","false","1","ATR (1) ATM"
"27159","1784.92197255","-1","MAPK1 (-1) FOXO3","false","-1","MAPK1 (-1) FOXO3"
"40479","3667.2720926","-1","CDKN2A (-1) E2F1","false","-1","CDKN2A (-1) E2F1"
"40480","3667.2720926","-1","CDKN2A (-1) E2F1","false","-1","CDKN2A (-1) E2F1"
"40482","15387.51508841","1","CDKN2A (1) TP53","false","1","CDKN2A (1) TP53"
"40483","15387.51508841","1","CDKN2A (1) TP53","false","1","CDKN2A (1) TP53"
"40488","11750.36388368","-1","CDKN2A (-1) CDK4","false","-1","CDKN2A (-1) CDK4"
"40489","11750.36388368","-1","CDKN2A (-1) CDK4","false","-1","CDKN2A (-1) CDK4"
"37161","1860.67855958","1","PDK1 (1) AKT1","false","1","PDK1 (1) AKT1"
"24875","15093.20252321","1","TP53 (1) PTEN","false","1","TP53 (1) PTEN"
"35117","3182.11103512","-1","ATR (-1) MDM2","false","-1","ATR (-1) MDM2"
"40494","13845.38309828","1","CDKN2A (1) ATR","false","1","CDKN2A (1) ATR"
"25134","6497.20532645","1","TP53 (1) CDKN2A","false","1","TP53 (1) CDKN2A"
"40495","3238.7346209","-1","CDKN2A (-1) MDM2","false","-1","CDKN2A (-1) MDM2"
"37169","1127.38333447","1","PDK1 (1) SGK1","false","1","PDK1 (1) SGK1"
"25651","13807.88481837","1","FOXO3 (1) ATM","false","1","FOXO3 (1) ATM"
"40501","13845.38309828","1","CDKN2A (1) ATR","false","1","CDKN2A (1) ATR"
"40502","3238.7346209","-1","CDKN2A (-1) MDM2","false","-1","CDKN2A (-1) MDM2"
"24889","8410.12524093","-1","TP53 (-1) E2F1","false","-1","TP53 (-1) E2F1"
"18751","14356.58708665","1","IRS1 (1) MAPK1","false","1","IRS1 (1) MAPK1"
"18755","16887.98153499","1","IRS1 (1) AKT1","false","1","IRS1 (1) AKT1"
"36166","3435.78341166","-1","SGK1 (-1) MAPK1","false","-1","SGK1 (-1) MAPK1"
"18759","401.00882436","1","IRS1 (1) PIK3CA","false","1","IRS1 (1) PIK3CA"
"33352","3297.05598242","1","MAP2K3 (1) MAPK1","false","1","MAP2K3 (1) MAPK1"
"27976","24375.32542926","-1","BCL2 (-1) TP53","false","-1","BCL2 (-1) TP53"
"9289","2361.2153121","1","E2F1 (1) SIRT1","false","1","E2F1 (1) SIRT1"
"33354","1888.13720527","1","MAP2K3 (1) MAPK14","false","1","MAP2K3 (1) MAPK14"
"21835","12043.76845545","1","IGF1R (1) MAPK1","false","1","IGF1R (1) MAPK1"
"9294","10840.97807621","1","E2F1 (1) TP53","false","1","E2F1 (1) TP53"
"36182","303.83425707","1","SGK1 (1) FOXO3","false","1","SGK1 (1) FOXO3"
"9304","1988.20028587","-1","E2F1 (-1) NFKB1","false","-1","E2F1 (-1) NFKB1"
"21848","824.4621876","1","IGF1R (1) IRS1","false","1","IGF1R (1) IRS1"
"9309","1749.19359088","1","E2F1 (1) RB1","false","1","E2F1 (1) RB1"
"10336","10815.05088798","1","MDM2 (1) E2F1","false","1","MDM2 (1) E2F1"
"10338","22117.13866457","1","MDM2 (1) IGF1R","false","1","MDM2 (1) IGF1R"
"20068","990.37867215","1","INSR (1) IRS1","false","1","INSR (1) IRS1"
"9316","18862.44672868","1","E2F1 (1) ATM","false","1","E2F1 (1) ATM"
"10341","32864.03918104","1","MDM2 (1) TP53","false","1","MDM2 (1) TP53"
"33383","1819.41534818","1","MAP2K6 (1) MAPK14","false","1","MAP2K6 (1) MAPK14"
"10346","8853.37244248","1","MDM2 (1) RB1","false","1","MDM2 (1) RB1"
"9326","1538.8714633","1","E2F1 (1) CDKN2A","false","1","E2F1 (1) CDKN2A"
"21616","5086.15657691","1","PTEN (1) E2F1","false","1","PTEN (1) E2F1"
"9328","773.21310397","1","E2F1 (1) CDKN1A","false","1","E2F1 (1) CDKN1A"
"10609","405.25917775","-1","NFKBIE (-1) NFKB1","false","-1","NFKBIE (-1) NFKB1"
"10354","7553.51544242","-1","MDM2 (-1) CDKN2A","false","-1","MDM2 (-1) CDKN2A"
"10355","5247.74961555","-1","MDM2 (-1) CDKN1A","false","-1","MDM2 (-1) CDKN1A"
"36980","5424.98749288","-1","SIRT1 (-1) E2F1","false","-1","SIRT1 (-1) E2F1"
"21621","16296.48550481","-1","PTEN (-1) AKT1","false","-1","PTEN (-1) AKT1"
"30839","5600.915488","1","MAPK14 (1) MAPK1","false","1","MAPK14 (1) MAPK1"
"36983","19053.97363691","-1","SIRT1 (-1) TP53","false","-1","SIRT1 (-1) TP53"
"24953","6151.02514511","-1","TP53 (-1) BCL2","false","-1","TP53 (-1) BCL2"
"24955","9618.34154785","1","TP53 (1) RB1","false","1","TP53 (1) RB1"
"36987","3574.21377303","1","SIRT1 (1) RB1","false","1","SIRT1 (1) RB1"
"35965","17840.69063314","1","NFKB1 (1) IKBKB","false","1","NFKB1 (1) IKBKB"
"30845","10880.53741275","1","MAPK14 (1) TP53","false","1","MAPK14 (1) TP53"
"19843","4560.86264279","-1","RB1 (-1) E2F1","false","-1","RB1 (-1) E2F1"
"34180","16121.48495974","1","TNF (1) AKT1","false","1","TNF (1) AKT1"
"10373","7553.51544242","-1","MDM2 (-1) CDKN2A","false","-1","MDM2 (-1) CDKN2A"
"34183","5867.13367064","1","TNF (1) IKBKB","false","1","TNF (1) IKBKB"
"19847","19753.07903656","1","RB1 (1) TP53","false","1","RB1 (1) TP53"
"37000","2241.14929464","1","SIRT1 (1) FOXO3","false","1","SIRT1 (1) FOXO3"
"34185","2659.08174208","1","TNF (1) IRS1","false","1","TNF (1) IRS1"
"18057","3162.23707824","1","ATM (1) E2F1","false","1","ATM (1) E2F1"
"34186","939.95872296","1","TNF (1) PIK3CA","false","1","TNF (1) PIK3CA"
"9354","1538.8714633","1","E2F1 (1) CDKN2A","false","1","E2F1 (1) CDKN2A"
"10124","5316.35770434","-1","CDKN1A (-1) E2F1","false","-1","CDKN1A (-1) E2F1"
"14222","4145.76214523","-1","IKBKB (-1) TNF","false","-1","IKBKB (-1) TNF"
"14223","1521.67772765","1","IKBKB (1) NFKB1","false","1","IKBKB (1) NFKB1"
"10127","24439.3881135","1","CDKN1A (1) TP53","false","1","CDKN1A (1) TP53"
"18067","12687.15054547","1","ATM (1) TP53","false","1","ATM (1) TP53"
"30867","1010.95541263","-1","MAPK14 (-1) BCL2","false","-1","MAPK14 (-1) BCL2"
"30868","3002.54533153","1","MAPK14 (1) RB1","false","1","MAPK14 (1) RB1"
"19610","8276.18992804","1","AKT1 (1) IKBKB","false","1","AKT1 (1) IKBKB"
"19867","2065.14796541","1","RB1 (1) CDKN1A","false","1","RB1 (1) CDKN1A"
"14236","2519.97137538","-1","IKBKB (-1) IRS1","false","-1","IKBKB (-1) IRS1"
"24988","66163.20629657","1","TP53 (1) ATM","false","1","TP53 (1) ATM"
"10140","4424.95778359","-1","CDKN1A (-1) RB1","false","-1","CDKN1A (-1) RB1"
"10142","20901.89508671","-1","CDKN1A (-1) CDK4","false","-1","CDKN1A (-1) CDK4"
"19614","2163.17366615","1","AKT1 (1) IRS1","false","1","AKT1 (1) IRS1"
"19871","3928.330051","-1","RB1 (-1) MDM2","false","-1","RB1 (-1) MDM2"
"40361","1468.2246719","1","KRAS (1) PIK3CA","false","1","KRAS (1) PIK3CA"
"18091","27664.7690238","1","ATM (1) AKT1","false","1","ATM (1) AKT1"
"14252","5462.53646629","-1","IKBKB (-1) CDKN2A","false","-1","IKBKB (-1) CDKN2A"
