,sen,qui,IGF1_only,DNAdamage_only,,,,,,,,,,,,,,,,,,
AR,9,9,9,1,,,IGF1* = IGF1,,,,,,,,,,,,,,,
CHEK1,1,1,0,1,,,LowNutrition* = LowNutrition,,,,,,,,,,,,,,,
DNAdamage,1,1,0,1,,,DNAdamage* = DNAdamage,,,,,,,,,,,,,,,
HSPB1,0,1,9,1,,,AR* = RB1 or not RELA or HSPB1,,,,,,,,,,,,,,,
IGF1,1,0,1,0,,,CHEK1* = DNAdamage,,,,,,,,,,,,,,,
IKBKB,1,0,1,0,,,HSPB1* = not RPS6KB1 and AR,,,,,,,,,,,,,,,
IL6,1,0,0,0,,,IKBKB* = (PRKCQ or NFKB1) and not HSPB1,,,,,,,,,,,,,,,
IRS1,1,0,1,0,,,IL2* = JUN and NFKB1,,,,,,,,,,,,,,,
JUN,1,9,9,9,,,IRS1* = IGF1 or not ((PRKCQ and IKBKB) or RPS6KB1),,,,,,,,,,,,,,,
LowNutrition,0,1,0,0,,,JUN* = RB1 or (NFKB1 and RELA) or AR,,,,,,,,,,,,,,,
NFKB1,1,0,1,0,,,NFKB1* = (IKBKB or RELA),,,,,,,,,,,,,,,
PRKCQ,1,0,1,0,,,PRKCQ* = IGF1,,,,,,,,,,,,,,,
RB1,1,1,9,1,,,RB1* = CHEK1,,,,,,,,,,,,,,,
RELA,1,0,91,0,,,RELA* = IKBKB or NFKB1,,,,,,,,,,,,,,,
RPS6KB1,1,0,1,0,,,RPS6KB1* = not LowNutrition and IRS1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
C1,form,pub,C2,form,pub,,,,,,,,,,,,,,,,,
Androgen Receptor (Phospho-Ser650),,,Androgen Receptor (Ab-650),,,,,,,,,,,,,,,,,,,
Chk1 (Phospho-Ser301),,,Chk1 (Phospho-Ser296),,,,,,,,,,,,,,,,,,,
