,AKT1,AMPK,ATM/ATR,CDK4,CDKN1A,CDKN2A,DNAdamage,E2F1,EIF4EBP1,FOXO3,IGF1,IGF1R,IKBKB,IL1B,IL6,INSR,IRS1,KRAS,MAP2K3/MAP2K6,MAPK1,MAPK14,MDM2,MTOR,NAD+,NFKB1,NFKBIE,PDK1,PIK3CA,PPARGC1A,PTEN,RB1,RHEB,ROS,S6K1,SGK1,SIRT1,SOD2,TNF,TP53,TSC2,ULK1,lowNutrition
AKT1,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,-1.7208456881689926e-15,-1.5681900222830336e-15,-8.673617379884035e-19,0.0,0.0,0.0,-1.7486012637846216e-15,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-6.661338147750939e-16,-8.673617379884035e-19,-7.216449660063518e-16,-8.673617379884035e-19,0.0,0.0,-1.5265566588595902e-15,0.0,-8.673617379884035e-19,-1.7694179454963432e-15,-1.609823385706477e-15,-1.7139067942650854e-15,-2.220446049250313e-16,0.0,-3.885780586188048e-16,-1.444157293750692e-15,0.0,-4.440892098500626e-16,-1.7520707107365752e-15,-2.7842311789427754e-16,0.0,0.0,0.0,0.0,0.0
AMPK,0.0,0.0,4.019956220100741e-05,0.00023833323483502325,0.0006913445497321747,0.00026586497442954507,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,0.007570296239578158,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,0.0002751617905687176,-5.551115123125783e-17,0.0001887322317932344,0.00026586497442954507,0.001243269858832191,0.00026586497442954507,-5.551115123125783e-17,-5.551115123125783e-17,0.010107013761138137,-5.551115123125783e-17,0.0008095549469779226,0.0023847502396779074,0.0068280542004576505,0.005833568965362981,0.0011707106610900353,-5.551115123125783e-17,3.0150908528356335e-05,0.00032337310167641735,-5.551115123125783e-17,7.654428331171914e-07,0.0029713067989313663,0.0001884685619960142,-5.551115123125783e-17,-5.551115123125783e-17,0.010122593684328555,-5.551115123125783e-17,-5.551115123125783e-17
ATM/ATR,0.0,0.0,0.0,0.00021231789238081947,0.0008087966407831102,0.0003904479714086444,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0.021527373942443827,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0006741868318111237,-1.7763568394002505e-15,0.00023635271998676162,0.0003904479714086444,0.0034573746696219404,0.0003904479714086444,-1.7763568394002505e-15,-1.7763568394002505e-15,0.00022039507923540032,-1.7763568394002505e-15,9.237668064558733e-05,0.00014965587115651482,5.797862705320361e-05,0.0007031435786505006,7.248300214965017e-05,-1.7763568394002505e-15,0.0001364016993021886,0.0005467623598522592,-1.7763568394002505e-15,0.00045615670371392143,0.005621999087138213,0.002950498084026659,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0005437440504533319,-1.7763568394002505e-15,-1.7763568394002505e-15
CDK4,0.0,0.0,0.0,0.0,0.00405256482065923,0.00032474194585985477,-1.7208456881689926e-15,-1.7208456881689926e-15,-1.7208456881689926e-15,0.0005264173830908016,-1.7208456881689926e-15,-1.7208456881689926e-15,-1.7208456881689926e-15,-1.7208456881689926e-15,-1.7208456881689926e-15,3.6136704928795005e-06,-1.7208456881689926e-15,0.00013545866788397531,0.00032474194585985477,0.0003919491515217838,0.00032474194585985477,-1.7208456881689926e-15,-1.7208456881689926e-15,0.00010110533138620037,-1.7208456881689926e-15,4.497120310473484e-05,2.0314864945714453e-05,0.00023996747164296145,2.8368182727632474e-05,3.049249370098983e-06,-1.7208456881689926e-15,6.921086310704427e-05,0.00037069621541777325,-1.7208456881689926e-15,1.3885126545085114e-05,0.00010498130008865583,9.833276288358662e-05,-1.7208456881689926e-15,-1.7208456881689926e-15,3.576197000410095e-05,-1.7208456881689926e-15,-1.7208456881689926e-15
CDKN1A,0.0,0.0,0.0,0.0,0.0,0.0008479070254454311,-1.5681900222830336e-15,-1.5681900222830336e-15,-1.5681900222830336e-15,0.023971128304237976,-1.5681900222830336e-15,-1.5681900222830336e-15,-1.5681900222830336e-15,-1.5681900222830336e-15,-1.5681900222830336e-15,3.6750711321204737e-05,-1.5681900222830336e-15,0.00039024233706011664,0.0008479070254454311,0.0007125205900616605,0.0008479070254454311,-1.5681900222830336e-15,-1.5681900222830336e-15,0.0001875155228132563,-1.5681900222830336e-15,0.00011327597169248096,1.9751186488827562e-05,2.2956965268170924e-05,9.32969285305943e-05,0.0009033127249651381,-1.5681900222830336e-15,0.0003737650780664759,0.0006232341024898069,-1.5681900222830336e-15,0.001471572281296839,0.009022130582503219,0.0017579710334138304,-1.5681900222830336e-15,-1.5681900222830336e-15,6.587131083673667e-05,-1.5681900222830336e-15,-1.5681900222830336e-15
CDKN2A,0.0,0.0,0.0,0.0,0.0,0.0,-8.673617379884035e-19,-8.673617379884035e-19,-8.673617379884035e-19,0.006358338080373491,-8.673617379884035e-19,-8.673617379884035e-19,-8.673617379884035e-19,-8.673617379884035e-19,-8.673617379884035e-19,0.00013890007336654913,-8.673617379884035e-19,0.000389019316171863,0.04326977233722336,0.00028219671756613473,0.04326977233722336,-8.673617379884035e-19,-8.673617379884035e-19,9.552791141605697e-06,-8.673617379884035e-19,4.730687489017636e-06,2.454643660688917e-05,7.902374911949051e-05,5.587774146026403e-05,0.000496987410448243,-8.673617379884035e-19,2.1966458653258168e-05,0.011169303956744286,-8.673617379884035e-19,0.0011655794480493749,0.0004770910344488472,0.007171135745405904,-8.673617379884035e-19,-8.673617379884035e-19,8.079031569674681e-05,-8.673617379884035e-19,-8.673617379884035e-19
DNAdamage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7486012637846216e-15,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-6.661338147750939e-16,-8.673617379884035e-19,-7.216449660063518e-16,-8.673617379884035e-19,0.0,0.0,-1.5265566588595902e-15,0.0,-8.673617379884035e-19,-1.7694179454963432e-15,-1.609823385706477e-15,-1.7139067942650854e-15,-2.220446049250313e-16,0.0,-3.885780586188048e-16,-1.444157293750692e-15,0.0,-4.440892098500626e-16,-1.7520707107365752e-15,-2.7842311789427754e-16,0.0,0.0,0.0,0.0,0.0
E2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7486012637846216e-15,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-6.661338147750939e-16,-8.673617379884035e-19,-7.216449660063518e-16,-8.673617379884035e-19,0.0,0.0,-1.5265566588595902e-15,0.0,-8.673617379884035e-19,-1.7694179454963432e-15,-1.609823385706477e-15,-1.7139067942650854e-15,-2.220446049250313e-16,0.0,-3.885780586188048e-16,-1.444157293750692e-15,0.0,-4.440892098500626e-16,-1.7520707107365752e-15,-2.7842311789427754e-16,0.0,0.0,0.0,0.0,0.0
EIF4EBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7486012637846216e-15,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-6.661338147750939e-16,-8.673617379884035e-19,-7.216449660063518e-16,-8.673617379884035e-19,0.0,0.0,-1.5265566588595902e-15,0.0,-8.673617379884035e-19,-1.7694179454963432e-15,-1.609823385706477e-15,-1.7139067942650854e-15,-2.220446049250313e-16,0.0,-3.885780586188048e-16,-1.444157293750692e-15,0.0,-4.440892098500626e-16,-1.7520707107365752e-15,-2.7842311789427754e-16,0.0,0.0,0.0,0.0,0.0
FOXO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7486012637846216e-15,-1.7486012637846216e-15,-1.7486012637846216e-15,-1.7486012637846216e-15,-1.7486012637846216e-15,0.00016212601235403475,-1.7486012637846216e-15,0.0016776987195554587,0.00635833808037349,0.021890560174337825,0.00635833808037349,-1.7486012637846216e-15,-1.7486012637846216e-15,0.0019468734795454745,-1.7486012637846216e-15,0.00022004376264473866,0.0002365399463362082,0.0002097172669592931,0.0023670989196992714,0.00015810032043321424,-1.7486012637846216e-15,0.000291657060305559,0.008392329025244914,-1.7486012637846216e-15,0.013626777008394826,0.08283267545697193,0.03878994749918915,-1.7486012637846216e-15,-1.7486012637846216e-15,0.005277959016910574,-1.7486012637846216e-15,-1.7486012637846216e-15
