,AKT1,AMPK,ATM/ATR,CDK4,CDKN1A,CDKN2A,DNAdamage,E2F1,EIF4EBP1,FOXO3,IGF1,IGF1R,IKBKB,IL1B,IL6,INSR,IRS1,KRAS,MAP2K3/MAP2K6,MAPK1,MAPK14,MDM2,MTOR,NAD+,NFKB1,NFKBIE,PDK1,PIK3CA,PPARGC1A,PTEN,RB1,RHEB,ROS,S6K1,SGK1,SIRT1,SOD2,TNF,TP53,TSC2,ULK1,lowNutrition
AKT1,0.0,-4.996003610813204e-16,-1.609823385706477e-15,-1.6930901125533637e-15,-8.326672684688674e-16,0.0,0.0,0.0,0.0,-1.169203622808368e-15,0.0,0.0,0.0,0.0,0.0,-1.582067810090848e-15,0.0,-1.6653345369377348e-15,0.0,-1.5959455978986625e-15,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-1.7747305361415222e-15,0.0,0.0,-1.6106907474444654e-15,-2.1094237467877974e-15,0.0,3.3306690738754696e-16,-1.3877787807814457e-15,0.0,-1.3877787807814457e-16,-1.1136924715771102e-15,-7.225123277443402e-16,0.0,0.0,0.0,0.0,0.0
AMPK,0.0,0.0,0.002019565498041699,0.0004723292021251704,0.0012526087685197224,-4.996003610813204e-16,-4.996003610813204e-16,-4.996003610813204e-16,-4.996003610813204e-16,0.03278411698830477,-4.996003610813204e-16,-4.996003610813204e-16,-4.996003610813204e-16,-4.996003610813204e-16,-4.996003610813204e-16,0.00013349657900574297,-4.996003610813204e-16,5.53240504780339e-06,-4.996003610813204e-16,0.00024849542146643255,-4.996003610813204e-16,-4.996003610813204e-16,-4.996003610813204e-16,0.0489125827091475,-4.996003610813204e-16,0.00010231901354500737,0.059242047609926185,0.009493217770879026,0.11313854553901818,0.0008543422940596734,-4.996003610813204e-16,0.0021280682137501637,0.00030424233019622163,-4.996003610813204e-16,0.000649651398126852,0.03433614331810794,0.0012617970353692512,-4.996003610813204e-16,-4.996003610813204e-16,0.047941710670677186,-4.996003610813204e-16,-4.996003610813204e-16
ATM/ATR,0.0,0.0,0.0,0.002294685220049118,0.005113887918376305,-1.609823385706477e-15,-1.609823385706477e-15,-1.609823385706477e-15,-1.609823385706477e-15,0.03563359451221337,-1.609823385706477e-15,-1.609823385706477e-15,-1.609823385706477e-15,-1.609823385706477e-15,-1.609823385706477e-15,0.0012070135050820674,-1.609823385706477e-15,0.0011047525027432113,-1.609823385706477e-15,0.0005788692145687634,-1.609823385706477e-15,-1.609823385706477e-15,-1.609823385706477e-15,0.0022054950529509683,-1.609823385706477e-15,0.0001885127624660565,0.0009143613778780611,0.0007164948021780044,0.0032399243871565403,2.647429088323966e-05,-1.609823385706477e-15,0.006241055696456253,0.0019967130863654974,-1.609823385706477e-15,6.996306043723999e-05,0.017067514541453607,0.0015819374366933172,-1.609823385706477e-15,-1.609823385706477e-15,0.009665592275896487,-1.609823385706477e-15,-1.609823385706477e-15
CDK4,0.0,0.0,0.0,0.0,0.015203226155839543,-1.6930901125533637e-15,-1.6930901125533637e-15,-1.6930901125533637e-15,-1.6930901125533637e-15,0.003030797195688096,-1.6930901125533637e-15,-1.6930901125533637e-15,-1.6930901125533637e-15,-1.6930901125533637e-15,-1.6930901125533637e-15,0.00029797799156601424,-1.6930901125533637e-15,0.0010584414321197092,-1.6930901125533637e-15,2.4634913298470862e-05,-1.6930901125533637e-15,-1.6930901125533637e-15,-1.6930901125533637e-15,0.00022558950413074192,-1.6930901125533637e-15,9.068359939336094e-05,2.128276427297137e-05,6.97251795690895e-05,0.001764993215380544,0.00042903760453722514,-1.6930901125533637e-15,0.0002644567454153919,0.00048202885619604095,-1.6930901125533637e-15,0.00031620857811744205,0.00204618570949067,0.0002664129026857705,-1.6930901125533637e-15,-1.6930901125533637e-15,0.0009370348421332128,-1.6930901125533637e-15,-1.6930901125533637e-15
CDKN1A,0.0,0.0,0.0,0.0,0.0,-8.326672684688674e-16,-8.326672684688674e-16,-8.326672684688674e-16,-8.326672684688674e-16,0.0402195639971155,-8.326672684688674e-16,-8.326672684688674e-16,-8.326672684688674e-16,-8.326672684688674e-16,-8.326672684688674e-16,0.00047675042258871984,-8.326672684688674e-16,0.00043221670198352255,-8.326672684688674e-16,0.0017245449242587751,-8.326672684688674e-16,-8.326672684688674e-16,-8.326672684688674e-16,0.0009475789704444879,-8.326672684688674e-16,0.000208694608238736,0.0003023107605404744,6.790017784936726e-05,0.004267638983246697,0.0002887304835957243,-8.326672684688674e-16,0.001970362974332907,0.0038163506675982905,-8.326672684688674e-16,8.409110643409559e-05,0.014578136480680081,0.00470527174071423,-8.326672684688674e-16,-8.326672684688674e-16,0.0035448615820504546,-8.326672684688674e-16,-8.326672684688674e-16
CDKN2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.169203622808368e-15,0.0,0.0,0.0,0.0,0.0,-1.582067810090848e-15,0.0,-1.6653345369377348e-15,0.0,-1.5959455978986625e-15,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-1.7747305361415222e-15,0.0,0.0,-1.6106907474444654e-15,-2.1094237467877974e-15,0.0,3.3306690738754696e-16,-1.3877787807814457e-15,0.0,-1.3877787807814457e-16,-1.1136924715771102e-15,-7.225123277443402e-16,0.0,0.0,0.0,0.0,0.0
DNAdamage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.169203622808368e-15,0.0,0.0,0.0,0.0,0.0,-1.582067810090848e-15,0.0,-1.6653345369377348e-15,0.0,-1.5959455978986625e-15,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-1.7747305361415222e-15,0.0,0.0,-1.6106907474444654e-15,-2.1094237467877974e-15,0.0,3.3306690738754696e-16,-1.3877787807814457e-15,0.0,-1.3877787807814457e-16,-1.1136924715771102e-15,-7.225123277443402e-16,0.0,0.0,0.0,0.0,0.0
E2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.169203622808368e-15,0.0,0.0,0.0,0.0,0.0,-1.582067810090848e-15,0.0,-1.6653345369377348e-15,0.0,-1.5959455978986625e-15,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-1.7747305361415222e-15,0.0,0.0,-1.6106907474444654e-15,-2.1094237467877974e-15,0.0,3.3306690738754696e-16,-1.3877787807814457e-15,0.0,-1.3877787807814457e-16,-1.1136924715771102e-15,-7.225123277443402e-16,0.0,0.0,0.0,0.0,0.0
EIF4EBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.169203622808368e-15,0.0,0.0,0.0,0.0,0.0,-1.582067810090848e-15,0.0,-1.6653345369377348e-15,0.0,-1.5959455978986625e-15,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-1.7747305361415222e-15,0.0,0.0,-1.6106907474444654e-15,-2.1094237467877974e-15,0.0,3.3306690738754696e-16,-1.3877787807814457e-15,0.0,-1.3877787807814457e-16,-1.1136924715771102e-15,-7.225123277443402e-16,0.0,0.0,0.0,0.0,0.0
FOXO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.169203622808368e-15,-1.169203622808368e-15,-1.169203622808368e-15,-1.169203622808368e-15,-1.169203622808368e-15,0.0009688250654672761,-1.169203622808368e-15,0.0005240161683565375,-1.169203622808368e-15,0.010470692711414004,-1.169203622808368e-15,-1.169203622808368e-15,-1.169203622808368e-15,0.01597588280763155,-1.169203622808368e-15,0.0003972801602610404,0.0081380904779083,0.0009718020656983954,0.020228056258852253,0.0004187301009650644,-1.169203622808368e-15,0.007347146549332769,0.006879719569315178,-1.169203622808368e-15,0.0035284115725750017,0.11566952817232243,0.035140439583448285,-1.169203622808368e-15,-1.169203622808368e-15,0.0226741999757785,-1.169203622808368e-15,-1.169203622808368e-15
