,GeneID,symbol
c-Jun (Phospho-Ser63),3725,JUN
GSK3 beta (Phospho-Ser9),2932,GSK3B
c-Jun (Phospho-Ser73),3725,JUN
Elk1 (Phospho-Ser383),2002,ELK1
PDK1 (Phospho-Ser241),5170,PDPK1
Raf1 (Phospho-Ser259),5894,RAF1
GSK3 alpha (Phospho-Ser21),2931,GSK3A
MEK2 (Phospho-Thr394),5605,MAP2K2
PTEN (Phospho-Ser380),5728,PTEN
NFkB-p65 (Phospho-Thr254),5970,RELA
NFkB-p65 (Phospho-Ser276),5970,RELA
NFkB-p65 (Phospho-Thr435),5970,RELA
NFkB-p65 (Phospho-Ser468),5970,RELA
NFkB-p65 (Phospho-Ser536),5970,RELA
NFkB-p100/p52 (Phospho-Ser865),4791,NFKB2
NFkB-p100/p52 (Phospho-Ser869),4791,NFKB2
MKK4/SEK1 (Phospho-Ser80),6416,MAP2K4
ASK1 (Phospho-Ser966),4217,MAP3K5
HDAC4 (Phospho-Ser632),9759,HDAC4
HDAC5 (Phospho-Ser498),10014,HDAC5
HDAC8 (Phospho-Ser39),55869,HDAC8
HSP27 (Phospho-Ser15),3315,HSPB1
SMC1 (Phospho-Ser957),8243,SMC1A
BCR (Phospho-Tyr177),613,BCR
MSK1 (Phospho-Ser376),9252,RPS6KA5
Paxillin (Phospho-Tyr31),5829,PXN
Ezrin (Phospho-Thr566),7430,EZR
Rac1/cdc42 (Phospho-Ser71),5879,RAC1
Raf1 (Phospho-Ser338),5894,RAF1
MEK1 (Phospho-Ser217),5604,MAP2K1
p21Cip1 (Phospho-Thr145),1026,CDKN1A
p27Kip1 (Phospho-Ser10),1027,CDKN1B
p27Kip1 (Phospho-Thr187),1027,CDKN1B
Histone H3.1 (Phospho-Ser10),8350/8351/8352/8353/8354/8355/8356/8357/8358/8968,HIST1H3A/HIST1H3D/HIST1H3C/HIST1H3E/HIST1H3I/HIST1H3G/HIST1H3J/HIST1H3H/HIST1H3B/HIST1H3F
ASK1 (Phospho-Ser83),4217,MAP3K5
NFkB-p105/p50 (Ab-893),4790,NFKB1
NFkB-p105/p50 (Ab-907),4790,NFKB1
Rel (Ab-503),5966,REL
c-Jun (Ab-91),3725,JUN
c-Jun (Ab-93),3725,JUN
c-Jun (Ab-170),3725,JUN
c-Jun (Ab-239),3725,JUN
c-Jun (Ab-243),3725,JUN
JunB (Ab-79),3726,JUNB
JunB (Ab-259),3726,JUNB
JunD (Ab-255),3726,JUNB
ATF2 (Ab-62/44),1386,ATF2
ATF2 (Ab-69/51),1386,ATF2
ATF2 (Ab-71/53),1386,ATF2
ATF2 (Ab-73/55),1386,ATF2
ATF2 (Ab-112/94),1386,ATF2
Myc (Ab-58),4609,MYC
Myc (Ab-358),4609,MYC
Myc (Ab-373),4609,MYC
FAK (Ab-397),5747,PTK2
Pyk2 (Ab-402),2185,PTK2B
NFkB-p65 (Ab-529),5970,RELA
Catenin beta (Ab-37),1499,CTNNB1
EGFR (Ab-1172),1956,EGFR
mTOR (Ab-2448),2475,MTOR
4E-BP1 (Ab-36),1978,EIF4EBP1
4E-BP1 (Ab-45),1978,EIF4EBP1
Stathmin 1 (Ab-24),3925,STMN1
Stathmin 1 (Ab-37),3925,STMN1
PDGFR beta (Ab-751),5159,PDGFRB
Met (Ab-1234),4233,MET
EGFR (Ab-1197),1956,EGFR
EGFR (Ab-869),1956,EGFR
IRS-1 (Ab-636),3667,IRS1
IRS-1 (Ab-639),3667,IRS1
S6 Ribosomal Protein (Ab-235),6194,RPS6
eIF4E (Ab-209),1977,EIF4E
Stathmin 1 (Ab-15),3925,STMN1
DYN1 (Phospho-Ser774),1759,DNM1
E2F1 (Phospho-Thr433),1869,E2F1
FAK (Phospho-Tyr576),5747,PTK2
Fos (Phospho-Ser362),2353,FOS
GRF-1 (Phospho-Tyr1105),2909,ARHGAP35
HDAC5 (Phospho-Ser259),10014,HDAC5
HSL (Phospho-Ser552/563),3991,LIPE
IkB-beta (Phospho-Thr19),4793,NFKBIB
IKK-alpha/beta (Phospho-Ser180/181),1147/3551,CHUK/IKBKB
IKK-beta (Phospho-Tyr188),3551,IKBKB
IKK-gamma (Phospho-Ser31),8517,IKBKG
IRS-1 (Phospho-Ser1101),3667,IRS1
IRS-1 (Phospho-Ser612),3667,IRS1
AKT1S1 (Phospho-Thr246),84335,AKT1S1
Arrestin-1 (Phospho-Ser412),408,ARRB1
BCL-2 (Phospho-Ser87),596,BCL2
BID (Phospho-Ser78),637,BID
CD3Z (Phospho-Tyr142),919,CD247
CDK1/CDC2 (Phospho-Thr14),983,CDK1
FAK (Phospho-Ser910),5747,PTK2
FosB (Phospho-Ser27),2354,FOSB
GRK1 (Phospho-Ser21),6011,GRK1
HDAC3 (Phospho-Ser424),8841,HDAC3
HDAC6 (Phospho-Ser22),10013,HDAC6
HER3/ErbB3 (Phospho-Tyr1222),2065,ERBB3
HER3/ErbB3 (Phospho-Tyr1289),2065,ERBB3
HER4/ErbB4 (Phospho-Tyr1284),2066,ERBB4
PKA-R2B (Phospho-Ser113),5577,PRKAR2B
Smad1 (Phospho-Ser187),4086,SMAD1
Smad2 (Phospho-Ser250),4087,SMAD2
Smad2 (Phospho-Thr220),4087,SMAD2
Smad2/3 (Phospho-Thr8),4088/4087,SMAD3/SMAD2
Smad3 (Phospho-Thr179),4088,SMAD3
Smad3 (Phospho-Ser204),4088,SMAD3
Smad3 (Phospho-Ser208),4088,SMAD3
Smad3 (Phospho-Ser213),4088,SMAD3
STAT5A (Phospho-Ser725),6776,STAT5A
Calsenilin/KCNIP3 (Phospho-Ser63),30818,KCNIP3
NMDAR2B (Phospho-Tyr1472),2904,GRIN2B
PECAM-1 (Phospho-Tyr713),5175,PECAM1
PTPRA (Phospho-Tyr798),5796,PTPRK
TFII-I (Phospho-Tyr248),2969,GTF2I
ACK1 (Phospho-Tyr284),10188,TNK2
ALK (Phospho-Tyr1507),238,ALK
ALK (Phospho-Tyr1604),238,ALK
BLNK (Phospho-Tyr96),29760,BLNK
ETK (Phospho-Tyr40),660,BMX
Pim-1 (Phospho-Tyr309),18712,Pim1
PLD1 (Phospho-Ser561),5337,PLD1
BCR (Phospho-Tyr360),613,BCR
Breast tumor kinase (Phospho-Tyr447),5753,PTK6
ADD1 (Phospho-Ser726),118,ADD1
CD5 (Phospho-Tyr453),921,CD5
M-CSF Receptor (Phospho-Tyr561),1436,CSF1R
DAPP1 (Phospho-Tyr139),27071,DAPP1
DDX5/DEAD-box protein 5 (Phospho-Tyr593),1655,DDX5
HCK (Phospho-Tyr410),3055,HCK
Raf1 (Ab-296),5894,RAF1
Cyclin B1 (Ab-147),891,CCNB1
Cyclin E1 (Ab-77),898,CCNE1
eIF4G (Ab-1108),1981,EIF4G1
IRS-1 (Ab-794),3667,IRS1
LAT (Ab-171),27040,LAT
LKB1 (Ab-428),6794,STK11
LKB1 (Ab-189),6794,STK11
MEK1 (Ab-298),5604,MAP2K1
MEK1 (Ab-286),5604,MAP2K1
MSK1 (Ab-360),9252,RPS6KA5
MSK1 (Ab-581),9252,RPS6KA5
mTOR (Ab-2481),2475,MTOR
PAK4 (Ab-474),10298,PAK4
PKC alpha/beta II (Ab-638),5578,PRKCA
PKC delta (Ab-505),5580,PRKCD
Cyclin E2 (Phospho-Thr392),9134,CCNE2
PKD1/PKC mu (Ab-744/748),5587,PRKD1
PKD1/PKC mu (Ab-910),5587,PRKD1
NFkB-p105/p50 (Phospho-Ser337),4790,NFKB1
NFkB-p105/p50 (Phospho-Ser893),4790,NFKB1
NFkB-p105/p50 (Phospho-Ser907),4790,NFKB1
Rel (Phospho-Ser503),5966,REL
c-Jun (Phospho-Thr91),3725,JUN
c-Jun (Phospho-Thr93),3725,JUN
c-Jun (Phospho-Tyr170),3725,JUN
c-Jun (Phospho-Thr239),3725,JUN
c-Jun (Phospho-Ser243),3725,JUN
JunB (Phospho-Ser79),3726,JUNB
JunB (Phospho-Ser259),3726,JUNB
JunD (Phospho-Ser255),3726,JUNB
ATF2 (Phospho-Ser62/44),1386,ATF2
ATF2 (Phospho-Thr69/51),1386,ATF2
ATF2 (Phospho-Thr71/53),1386,ATF2
ATF2 (Phospho-Thr73/55),1386,ATF2
ATF2 (Phospho-Ser112/94),1386,ATF2
Myc (Phospho-Thr58),4609,MYC
Myc (Phospho-Thr358),4609,MYC
VASP (Phospho-Ser157),7408,VASP
Pyk2 (Phospho-Tyr402),2185,PTK2B
NFkB-p65 (Phospho-Ser529),5970,RELA
Catenin beta (Phospho-Ser33),1499,CTNNB1
Catenin beta (Phospho-Ser37),1499,CTNNB1
EGFR (Phospho-Tyr1172),1956,EGFR
mTOR (Phospho-Ser2448),2475,MTOR
4E-BP1 (Phospho-Thr36),1978,EIF4EBP1
4E-BP1 (Phospho-Thr45),1978,EIF4EBP1
Stathmin 1 (Phospho-Ser24),3925,STMN1
Stathmin 1 (Phospho-Ser37),3925,STMN1
PDGFR beta (Phospho-Tyr751),5159,PDGFRB
Met (Phospho-Tyr1234),4233,MET
EGFR (Phospho-Tyr1197),1956,EGFR
EGFR (Phospho-Tyr869),1956,EGFR
IRS-1 (Phospho-Ser636),3667,IRS1
IRS-1 (Phospho-Ser639),3667,IRS1
S6 Ribosomal Protein (Phospho-Ser235),6194,RPS6
eIF4E (Phospho-Ser209),1977,EIF4E
Elk1 (Ab-389),2002,ELK1
Elk1 (Ab-417),2002,ELK1
MEF2A (Ab-312),4205,MEF2A
MEF2A (Ab-319),4205,MEF2A
GATA1 (Ab-142),2623,GATA1
GATA1 (Ab-310),2623,GATA1
HNF4 alpha (Ab-313),3172,HNF4A
STAT1 (Ab-701),6772,STAT1
STAT3 (Ab-705),6774,STAT3
STAT3 (Ab-727),6774,STAT3
STAT4 (Ab-693),6775,STAT4
STAT5A (Ab-694),6776,STAT5A
STAT5A (Ab-780),6776,STAT5A
STAT6 (Ab-641),6778,STAT6
STAT6 (Ab-645),6778,STAT6
CREB (Ab-133),1385,CREB1
ATF4 (Ab-245),468,ATF4
AKT1 (Ab-473),207,AKT1
