"","V1","V2","V3","V4","V5","V6","V7"
"1","p38 mapk signaling pathway","0.999930012757817",NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3","regulation of eif-4e and p70s6 kinase","0.953434179336402",NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6","melanocyte development and pigmentation pathway","0.590115219755813",NA,NA,NA,NA,NA
"7","stat3 signaling pathway","0.152702479192657",NA,NA,NA,NA,NA
"8","il-7 signal transduction","0.931051480599915",NA,NA,NA,NA,NA
"9","ifn gamma signaling pathway","0.203341275528662",NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA
"11","hiv-1 defeats host-mediated resistance by cem15","0.553644795991082",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA
"17","role of mitochondria in apoptotic signaling","0.423182875033411",NA,NA,NA,NA,NA
"18","tsp-1 induced apoptosis in microvascular endothelial cell","0.36554979836642",NA,NA,NA,NA,NA
"19","angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling","0.823191132927925",NA,NA,NA,NA,NA
"20","stathmin and breast cancer resistance to antimicrotubule agents","0.414325042322526",NA,NA,NA,NA,NA
"21","integrin signaling pathway","0.238531916751283",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA
"23","tpo signaling pathway","0.236345442058031",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
"25","il-2 receptor beta chain in t cell activation","0.474243429326477",NA,NA,NA,NA,NA
"26","pelp1 modulation of estrogen receptor activity","0.471602610141771",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA
"28","akt signaling pathway","0.704842158343872",NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA
"31","mtor signaling pathway","0.780329149389279",NA,NA,NA,NA,NA
"32","ras signaling pathway","0.179579667584861",NA,NA,NA,NA,NA
"33","phospholipase c signaling pathway","0.929290921722221",NA,NA,NA,NA,NA
"34","p53 signaling pathway","0.964354753512237",NA,NA,NA,NA,NA
"35","cxcr4 signaling pathway","0.809451573023124",NA,NA,NA,NA,NA
"36","corticosteroids and cardioprotection","0.831023023495268",NA,NA,NA,NA,NA
"37","reversal of insulin resistance by leptin","0.538984913988274",NA,NA,NA,NA,NA
"38","overview of telomerase rna component gene hterc transcriptional regulation","0.634970652532899",NA,NA,NA,NA,NA
"39","cell cycle: g1/s check point","0.914786362753589",NA,NA,NA,NA,NA
"40","cdc25 and chk1 regulatory pathway in response to dna damage","0.624071322716346",NA,NA,NA,NA,NA
"41","lck and fyn tyrosine kinases in initiation of tcr activation","0.418348940959234",NA,NA,NA,NA,NA
"42","ca-calmodulin-dependent protein kinase activation","0.341073018537528",NA,NA,NA,NA,NA
"43","atm signaling pathway","0.913723415408787",NA,NA,NA,NA,NA
"44","role of mef2d in t-cell apoptosis","0.183726309634955",NA,NA,NA,NA,NA
"45","role of nicotinic acetylcholine receptors in the regulation of apoptosis","0.98996621148678",NA,NA,NA,NA,NA
"46","fc epsilon receptor i signaling in mast cells","0.394951117601783",NA,NA,NA,NA,NA
"47","pdgf signaling pathway","0.115331979632811",NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA
"50","phospholipids as signalling intermediaries","0.0594385504094536",NA,NA,NA,NA,NA
"51","il22 soluble receptor signaling pathway","0.188933338292009",NA,NA,NA,NA,NA
