"","V1","V2","V3","V4","V5","V6"
"1",NA,NA,NA,NA,NA,NA
"2","Citrate cycle (TCA cycle)","0.512940407790787","0.452249999999999","-0.0667500000000008","-0.0867500000000003","-0.29875"
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA
"8","Fatty acid biosynthesis","0.0399388854793132","-0.366250000000001","0.0567499999999992","0.900749999999999","-0.59125"
"9",NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA
"30","Tryptophan metabolism","0.924049025985879","-0.276","0.679","-0.31","-0.093"
"31",NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA
"47","Inositol phosphate metabolism","0.189979350010084","-0.388951308985235","-0.482030893137429","1.65159276944616","-0.780610567323489"
"48",NA,NA,NA,NA,NA,NA
"49","Glycerophospholipid metabolism","0.080377658855952","0.0643980348319629","0.118868145970796","0.41180344527121","-0.595069626073973"
"50","Ether lipid metabolism","0.080377658855952","0.0643980348319629","0.118868145970796","0.41180344527121","-0.595069626073973"
"51","Arachidonic acid metabolism","0.276771661519325","-0.128750000000002","0.184249999999999","0.324249999999999","-0.37975"
"52","Linoleic acid metabolism","0.276771661519325","-0.128750000000002","0.184249999999999","0.324249999999999","-0.37975"
"53","alpha-Linolenic acid metabolism","0.276771661519325","-0.128750000000002","0.184249999999999","0.324249999999999","-0.37975"
"54",NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA
"58","Pyruvate metabolism","0.0399388854793132","-0.366250000000001","0.0567499999999992","0.900749999999999","-0.59125"
"59","Glyoxylate and dicarboxylate metabolism","0.924049025985879","-0.276","0.679","-0.31","-0.093"
"60","Propanoate metabolism","0.0399388854793132","-0.366250000000001","0.0567499999999992","0.900749999999999","-0.59125"
"61",NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA
"81","EGFR tyrosine kinase inhibitor resistance","0.235808881285179","-0.373989450999348","-0.744467905926316","2.30644499312809","-1.18798763620242"
"82","Endocrine resistance","0.152473100722428","-0.708774262389268","-0.633736299572384","2.39535868933791","-1.05284812737626"
"83","Antifolate resistance","0.0100691902208135","0.910538864819972","0.200168514781939","-1.58768003127678","0.476972651674871"
"84","Platinum drug resistance","0.278890641375373","-0.294093629153196","-0.932560828724353","2.45088916117488","-1.22423470329733"
"85",NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA
"89","Homologous recombination","0.829317559491606","-0.148000000000001","-0.291","-0.0609999999999999","0.499999999999998"
"90","Fanconi anemia pathway","0.829317559491606","-0.148000000000001","-0.291","-0.0609999999999999","0.499999999999998"
"91","MAPK signaling pathway","0.0699631212943356","-2.3066349224353","-0.629836180691827","2.32415219096814","0.612318912158987"
"92","ErbB signaling pathway","0.423194078808298","-0.241694815288304","0.94317584155945","-2.066662621902","1.36518159563086"
"93","Ras signaling pathway","0.0985475935907439","-0.778437095418046","-0.351352840270696","2.84638868892851","-1.71659875323977"
"94","Rap1 signaling pathway","0.0577356237836194","-1.37661091847908","-0.278921145175107","1.76570783833661","-0.110175774682422"
"95","Calcium signaling pathway","0.353573850259453","1.87508361612548","-0.0143273516110196","-0.706953464643433","-1.15380279987102"
"96","cGMP-PKG signaling pathway","0.114144188371128","-0.857091222105386","-0.565769371228666","2.34761276520016","-0.924752171866111"
"97","cAMP signaling pathway","0.110228999966251","-0.854848798979787","-0.515316435974712","2.62015357848611","-1.24998834353161"
"98","Cytokine-cytokine receptor interaction","0.992451778478196","0.826775540926833","-0.596242479551649","0.585876304166271","-0.816409365541453"
"99","Chemokine signaling pathway","0.0170612415030486","-1.97608266380646","-0.728193677108807","2.33903903168068","0.365237309234579"
"100","NF-kappa B signaling pathway","0.0939931669133215","-1.7396818714008","-0.331384678062107","1.81070491880155","0.260361630661358"
"101","HIF-1 signaling pathway","0.171416081529939","-0.591395446004045","-0.622092187185348","2.30959479416055","-1.09610716097117"
"102","FoxO signaling pathway","0.433408675011078","0.272593166589852","-1.22037422350621","2.46633990779476","-1.51855885087841"
"103","Phosphatidylinositol signaling system","0.189979350010084","-0.388951308985235","-0.482030893137429","1.65159276944616","-0.780610567323489"
"104","Sphingolipid signaling pathway","0.328601080621969","-0.0523370232795628","0.822030630497583","-2.46035971997969","1.69066611276167"
"105","Phospholipase D signaling pathway","0.113566805436219","-1.25789328474825","-1.05507678660564","0.999596695705948","1.31337337564794"
"106",NA,NA,NA,NA,NA,NA
"107","Cell cycle","0.400854278732364","-0.0221220067607307","-1.66740389521422","-1.73197126859706","3.42149717057202"
"108","Oocyte meiosis","0.320579587501831","1.53136103208982","0.120427593611417","-0.540892992038326","-1.11089563366291"
"109","p53 signaling pathway","0.139554778925304","-1.11988352382218","0.172884337142086","1.63318744658737","-0.686188259907273"
"110",NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA
"112","Autophagy - other","0.979592936240171","-0.142750000000001","0.74325","-0.0757500000000011","-0.524750000000001"
"113","Mitophagy - animal","0.115429982541134","-0.167493622391472","-0.0425995291847252","1.22512859562189","-1.01503544404569"
"114","Autophagy - animal","0.324679199765026","-0.104150240033737","0.724369396626531","-2.43317389007814","1.81295473348534"
"115",NA,NA,NA,NA,NA,NA
