"","V1","V2","V3","V4","V5","V6"
"1","p38 mapk signaling pathway","0.590817464259474","0.000423464291895805","-0.825156229292216","0.660685032610066","0.164047732390254"
"2",NA,NA,NA,NA,NA,NA
"3","regulation of eif-4e and p70s6 kinase","0.982704772791795","-1.42326870617714","1.81672016314128","-0.914165446582998","0.520713989618865"
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6","melanocyte development and pigmentation pathway","0.35986029875816","0.837835508330315","0.320480807173158","0.0520927388391803","-1.21040905434265"
"7","stat3 signaling pathway","0.979592936240171","-0.142750000000001","0.74325","-0.0757500000000011","-0.524750000000001"
"8","il-7 signal transduction","0.121481213410013","-1.02384185795838","-0.382053376332216","0.512051772426991","0.8938434618636"
"9","ifn gamma signaling pathway","0.253254329934684","-0.0867500000000003","-0.217749999999999","0.657250000000001","-0.35275"
"10","hemoglobins chaperone","0.161453161241877","0.27","0.119","-0.0619999999999994","-0.327"
"11",NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA
"15","granzyme a mediated apoptosis pathway","0.892551491461592","-0.491250000000001","1.10075","-0.0622500000000006","-0.54725"
"16",NA,NA,NA,NA,NA,NA
"17","role of mitochondria in apoptotic signaling","0.0133482730832775","-0.55271722349918","-0.138340851829207","1.10101170955265","-0.409953634224268"
"18","tsp-1 induced apoptosis in microvascular endothelial cell","0.774485228055376","-0.806657831305109","1.07722148809305","0.166571250767679","-0.437134907555623"
"19","angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling","0.119634823963961","-1.36659481293266","-0.640329298167159","0.422930485096753","1.58399362600306"
"20","stathmin and breast cancer resistance to antimicrotubule agents","0.839297087989126","-0.354240148146046","-0.00065522923515852","-0.162380118879386","0.51727549626059"
"21","integrin signaling pathway","0.620367832547384","-0.312258232928131","-0.97801699806467","0.295379279040427","0.99489595195237"
"22","basic mechanism of action of ppara pparb(d) and pparg and effects on gene expression","0.978236232327824","0.240499999999999","-0.1135","0.1755","-0.3025"
"23","tpo signaling pathway","0.89201771049784","0.678668744417034","0.26986316502749","0.528109044804362","-1.47664095424888"
"24",NA,NA,NA,NA,NA,NA
"25","il-2 receptor beta chain in t cell activation","0.605642455319904","-0.714938825416897","0.759065374006124","-1.56825719573222","1.524130647143"
"26",NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA
"28","akt signaling pathway","0.264098265224778","0.367535698741202","0.903551779201426","-2.33926410514209","1.06817662719947"
"29",NA,NA,NA,NA,NA,NA
"30","downregulated of mta-3 in er-negative breast tumors","0.459824734689036","-0.135246285874039","-1.51140936847265","-1.37971205471876","3.02636770906545"
"31","mtor signaling pathway","0.973202017776452","-1.49154220764924","1.78323580731908","-0.912643450325838","0.620949850656001"
"32","ras signaling pathway","0.310116034049228","-0.17891189228209","-0.964375619166468","2.37264359346739","-1.22935608201884"
"33",NA,NA,NA,NA,NA,NA
"34","p53 signaling pathway","0.707155340685055","0.705439096168265","-0.87110965037508","-0.302422774923476","0.468093329130289"
"35","cxcr4 signaling pathway","0.575233811712911","-0.0195000000000007","0.3665","-0.339499999999999","-0.00750000000000028"
"36","corticosteroids and cardioprotection","0.530814586379275","0.411427908614396","-0.867485537629492","1.55335072573774","-1.09729309672265"
"37","reversal of insulin resistance by leptin","0.0198542547330904","-0.364719556719583","-0.0231596562856343","1.03523045791046","-0.64735124490525"
"38","overview of telomerase rna component gene hterc transcriptional regulation","0.950403872438314","-0.236705399231493","0.901540571891594","-0.264452102253148","-0.400383070406952"
"39","cell cycle: g1/s check point","0.419103205510014","-0.11134214241983","-1.59359780183774","-1.57576592745662","3.28070587171419"
"40","cdc25 and chk1 regulatory pathway in response to dna damage","0.127682493679143","-0.15719087794693","-0.088427061538576","0.855071547536654","-0.60945360805115"
