,1,6,24,96
SYMBOL:HDAC1,14.459000000000001,15.88,15.755,11.368
SYMBOL:EIF4EBP1,11.312000000000001,13.969000000000001,12.385,12.722999999999999
SYMBOL:NFKB2,12.543,11.540999999999999,10.163,10.719000000000001
SYMBOL:GRK2,12.203,10.575999999999999,9.985,10.36
SYMBOL:PDPK1,9.937000000000001,11.67,9.997,11.622
SYMBOL:BAD,10.747,10.838,12.669,10.64
SYMBOL:KRT8,11.252,10.152000000000001,12.274000000000001,11.75
SYMBOL:PIKFYVE,10.17,10.027000000000001,11.68,9.685
SYMBOL:FCGR2B,11.321,12.227,12.777000000000001,13.28
SYMBOL:PTK2B,12.414000000000001,11.788,10.782,10.724
SYMBOL:RPS6KA1,10.617,10.797,12.245,11.870999999999999
SYMBOL:CALM1,11.640999999999998,10.19,10.088,9.972999999999999
SYMBOL:BAD,10.275,10.187999999999999,11.62,9.868
SYMBOL:INSR,11.245,11.498,12.94,11.509
SYMBOL:NFKB1,10.228,10.360999999999999,11.852,10.375
SYMBOL:CASP3,10.446,12.038,10.875,10.39
SYMBOL:LIMK1,13.468,13.811,13.745999999999999,12.18
SYMBOL:PTK2B,12.847000000000001,13.145999999999999,12.800999999999998,11.459000000000001
SYMBOL:AKT1,10.749,10.587,12.196,10.802
SYMBOL:CASP9,10.102,10.542,11.749,10.262
SYMBOL:IKBKB,11.557,10.215,9.968,10.065
SYMBOL:CD22,10.328,10.880999999999998,11.679,10.005
SYMBOL:AKT1,10.085,10.033999999999999,11.318,9.687000000000001
SYMBOL:CASP9,11.9,10.685,11.28,10.274000000000001
SYMBOL:IL7R,10.603,11.648,10.354000000000001,11.665999999999999
SYMBOL:PTEN,10.261,10.387,11.734000000000002,10.515999999999998
SYMBOL:MERTK,10.978,10.700999999999999,12.245999999999999,11.255999999999998
SYMBOL:SHC1,11.912,11.309000000000001,12.224,12.919
SYMBOL:RELA,11.019,10.895999999999999,10.041,11.671
SYMBOL:MAP2K1,10.812999999999999,11.052999999999999,10.511,12.050999999999998
SYMBOL:ACACA,10.439,10.862,11.706,10.214
SYMBOL:ERBB2,11.072000000000001,9.879,9.769,9.668
SYMBOL:PRKDC,10.407,11.525,10.625,9.994
SYMBOL:MAP2K1,10.27,10.255999999999998,11.47,11.257
SYMBOL:FER,12.708,11.609000000000002,12.630999999999998,13.115
SYMBOL:JUN,10.674000000000001,9.697000000000001,9.341000000000001,9.302999999999999
SYMBOL:TP53,12.943,13.002,12.095999999999998,13.647
SYMBOL:ABL1,13.623,13.595999999999998,13.762,14.91
SYMBOL:CASP9,10.868,9.913,9.935,9.398
SYMBOL:LMNA,10.565,11.594000000000001,10.732999999999999,10.139
SYMBOL:Atp1a1,11.087,11.025,12.289000000000001,11.137
SYMBOL:MAP3K7,10.094,9.956,9.894,11.173
SYMBOL:TP53,11.434000000000001,10.304,10.347999999999999,10.115
SYMBOL:RB1,9.961,11.148,10.014,9.914
SYMBOL:CDH5,13.329,12.762,13.499,14.199000000000002
SYMBOL:CCND1,12.004000000000001,10.764000000000001,10.845999999999998,10.89
SYMBOL:WEE1,10.249,10.156,11.203,9.857999999999999
SYMBOL:FRS2,10.987,12.202,11.315,10.96
SYMBOL:CASP9,11.745999999999999,11.831,13.002,12.319
SYMBOL:PTK2,10.600999999999999,11.137,9.811,10.37
SYMBOL:KDR,12.600999999999999,13.884,13.542,13.495999999999999
SYMBOL:STK11,11.453,11.242,11.847000000000001,12.474
SYMBOL:MTOR,10.286,11.172,10.353,9.904
SYMBOL:ALK,10.665,10.639000000000001,11.764000000000001,11.197000000000001
SYMBOL:RPS6KA5,10.089,11.075,9.951,10.026
SYMBOL:INSR,10.41,10.404000000000002,11.26,10.081
SYMBOL:PEA15,11.708,10.648,10.672,10.874
SYMBOL:RPS6KA1,11.040999999999999,10.637,11.18,10.083
SYMBOL:Atp1a1,10.661,10.759,11.583,11.530999999999999
SYMBOL:TP53,10.716,10.044,10.247,9.54
SYMBOL:SMAD3,11.023,10.915999999999999,11.874,10.812999999999999
SYMBOL:HDAC6,10.863,10.575,9.951,9.872
SYMBOL:ZAP70,10.384,10.122,10.567,11.244000000000002
SYMBOL:VAV2,10.716,10.724,9.865,9.975
SYMBOL:CAT,10.939,11.894,10.905,11.122
SYMBOL:FER,10.985999999999999,11.187000000000001,10.825999999999999,11.875
SYMBOL:CASP9,11.11,11.245999999999999,11.362,10.359000000000002
SYMBOL:STAT1,10.431,10.3,11.175,10.165
SYMBOL:DAXX,10.198,11.27,10.748,10.53
SYMBOL:RAF1,11.9,12.323,11.681,12.690999999999999
SYMBOL:YWHAZ,12.370999999999999,12.155999999999999,11.638,12.658
SYMBOL:CCNE2,11.082,10.319,10.432,10.074
SYMBOL:STK4,10.398,9.758,9.86,9.385
SYMBOL:CASP6,10.311,10.950999999999999,10.154,10.013
SYMBOL:NF2,13.345,12.782,13.718,13.547
SYMBOL:IKBKG,11.811,12.408,12.197000000000001,12.783
SYMBOL:YWHAZ,10.318,11.097000000000001,10.292,10.862
SYMBOL:RAF1,11.092,11.182,11.263,10.389000000000001
SYMBOL:TSC2,10.597999999999999,9.898,9.967,9.67
SYMBOL:MYL9,11.003,11.26,11.645999999999999,11.895
SYMBOL:VAV1,10.474,10.352,9.995,10.947000000000001
SYMBOL:HDAC5,11.085999999999999,10.465,11.390999999999998,10.837
SYMBOL:JUN,10.523,10.497,10.176,9.684
SYMBOL:PLCG2,10.495999999999999,10.205,10.423,9.642999999999999
SYMBOL:BRAF,12.782,12.106,12.459000000000001,12.975999999999999
SYMBOL:JUNB,9.917,9.916,10.597999999999999,9.74
SYMBOL:GRK1,10.339,10.202,10.307,11.019
SYMBOL:KRT18,10.577,10.540999999999999,11.008,10.11
SYMBOL:DUSP1,10.75,10.258,10.142000000000001,9.874
SYMBOL:SHC1,11.947000000000001,11.544,11.665999999999999,11.077
SYMBOL:JUN,10.397,10.302999999999999,9.651,9.824
SYMBOL:FGFR1,10.632,10.2,10.038,9.782
SYMBOL:PRKACA,10.421,10.544,10.258,11.072000000000001
SYMBOL:CHUK,13.095,13.026,13.786,13.162
SYMBOL:PRKAA1,10.238,10.16,10.835,10.057
SYMBOL:ATF1,9.988999999999999,9.442,9.523,9.151
SYMBOL:LCK,10.366,10.288,10.122,10.922
SYMBOL:BRCA1,11.748,11.605,11.835,12.395999999999999
SYMBOL:GAB2,10.494000000000002,10.917,10.578,10.075
SYMBOL:BLNK,11.524000000000001,11.055,11.214,11.834000000000001
SYMBOL:NFKB1,10.147,10.227,10.829,10.083
SYMBOL:HSPB1,10.111,9.762,9.692,9.279
SYMBOL:MEF2D,10.369000000000002,10.440999999999999,10.113999999999999,9.687999999999999
SYMBOL:FOSB,10.057,9.957,9.826,10.595999999999998
SYMBOL:EGFR,11.636,11.395,11.088,10.875
SYMBOL:MET,10.582,10.888,10.940999999999999,10.214
SYMBOL:KRT18,10.043,9.613,9.674,9.227
SYMBOL:LCK,10.847000000000001,10.520999999999999,10.558,11.243
SYMBOL:IL13RA1,11.877,11.854000000000001,11.677999999999999,12.446
SYMBOL:NTRK1,10.362,10.817,10.654000000000002,10.062999999999999
SYMBOL:MAP2K3,10.097999999999999,9.898,9.886000000000001,9.33
SYMBOL:PLD1,10.425,10.647,10.376,11.095999999999998
SYMBOL:EIF4EBP1,10.615,10.792,10.83,10.118
SYMBOL:IRS1,12.87,12.453,12.3,12.981
SYMBOL:TP53,11.700999999999999,11.66,12.065,12.345
SYMBOL:LYN,13.907,13.889000000000001,14.218,14.574000000000002
SYMBOL:PTK6,11.117,11.07,11.755999999999998,11.165
SYMBOL:LIPE,10.991,11.713,11.34,11.097999999999999
SYMBOL:HNF4A,9.914,9.609,9.297,9.214
SYMBOL:ACLY,10.543,10.024,10.004,9.792
SYMBOL:BLNK,12.116,12.277000000000001,12.587,12.828
SYMBOL:RPS6KB1,10.279000000000002,10.567,10.919,10.23
SYMBOL:CBL,11.127,10.690999999999999,10.445,11.044
SYMBOL:RPS6KB1,10.652000000000001,10.455,10.447000000000001,11.123
SYMBOL:TP53,11.526,10.966,10.780999999999999,11.083
SYMBOL:LIPE,10.124,10.274000000000001,10.852,10.332
SYMBOL:TSC2,9.95,10.076,9.937999999999999,9.368
SYMBOL:PLA2G4A,10.107999999999999,10.421,10.561,9.857000000000001
SYMBOL:PRKCD,10.296,10.123,10.177999999999999,9.584
SYMBOL:CHEK1,10.118,10.56,10.457,9.873
SYMBOL:XIAP,10.298,10.094,10.652999999999999,9.921
SYMBOL:ACACA,12.112,12.126,11.818,12.58
SYMBOL:IL10RA,10.824000000000002,11.318,11.012,11.53
SYMBOL:STAT4,9.925,9.549,9.43,9.17
SYMBOL:MAP2K3,10.275,9.971,10.440999999999999,9.738
SYMBOL:PPP2CA,11.770999999999999,11.395,11.323,11.982999999999999
SYMBOL:SMAD3,10.312999999999999,10.252,10.22,9.641
SYMBOL:RYR2,10.562000000000001,10.32,10.25,9.818999999999999
SYMBOL:CTNNB1,10.132,10.134,10.334000000000001,9.612
SYMBOL:SMAD3,10.104,10.8,10.219,10.277000000000001
SYMBOL:RAF1,9.814,10.392999999999999,9.711,9.852
SYMBOL:RAPGEF1,9.831,9.488,9.602,9.102
SYMBOL:SMAD2,10.135,10.517000000000001,10.78,10.177
